pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
305.407753,967.352486,342.321628,865.474783,301.614973,927.672727,371.245404,828.849749,310.383623,995.995710,318.371767,890.817640
305.359673,967.566149,342.220323,865.474783,302.040000,928.000000,371.145237,828.949916,310.383623,995.995710,317.970000,891.010000
305.407753,967.637369,342.119017,865.774907,302.090000,928.020000,370.944903,828.949916,310.383623,995.995710,317.980000,891.000000
305.455834,967.708590,342.119017,865.774907,302.140000,928.000000,370.744568,829.050084,310.383623,995.995710,317.990000,891.000000
305.503914,967.708590,342.017712,866.075031,302.210000,928.010000,370.644401,829.150251,310.383623,995.995710,317.970000,891.000000
305.600075,967.851032,342.017712,866.075031,302.240000,928.010000,370.043399,829.651086,310.083798,995.995710,318.000000,890.980000
305.600075,967.922253,341.916406,866.225093,302.260000,928.010000,370.143566,829.550919,310.083798,995.995710,317.980000,890.990000
305.600075,967.922253,341.916406,866.225093,302.330000,928.040000,370.143566,829.651086,310.083798,995.995710,317.980000,890.990000
305.648156,968.064694,341.815101,866.375155,302.370000,928.020000,370.143566,829.851421,310.183740,995.847667,317.980000,891.010000
305.648156,968.064694,341.612490,866.675279,302.460000,928.060000,370.143566,829.951588,310.183740,995.847667,318.010000,891.030000
305.744317,968.135915,341.612490,866.825341,302.660000,928.150000,370.143566,830.252089,310.283682,995.847667,317.990000,890.990000
305.744317,968.278357,341.409879,867.125465,302.660000,928.170000,370.143566,830.452423,310.283682,995.847667,317.990000,891.000000
305.744317,968.349578,341.409879,867.125465,302.720000,928.270000,370.143566,830.552590,310.283682,995.847667,317.990000,891.010000
305.792397,968.492019,341.409879,867.125465,302.630000,928.150000,369.843064,830.752925,310.283682,995.847667,318.020000,890.980000
305.888558,968.563240,341.409879,867.125465,303.010000,928.630000,369.843064,830.752925,310.283682,995.847667,317.990000,890.970000
305.936639,968.705682,341.409879,867.125465,303.110000,929.140000,369.742897,830.953259,310.283682,995.847667,318.000000,890.990000
306.032800,968.848124,341.308574,867.425589,303.160000,930.020000,369.442396,831.153593,310.283682,995.847667,317.960000,891.030000
306.032800,968.919344,341.207269,867.725713,303.200000,930.770000,369.442396,831.253760,310.283682,995.847667,317.990000,891.000000
306.128961,969.061786,341.105963,867.875775,303.240000,931.790000,368.841393,831.554262,310.283682,995.847667,318.010000,890.980000
306.128961,969.631553,340.903353,868.175899,303.310000,932.420000,368.841393,831.554262,310.283682,995.847667,317.990000,891.000000
306.225122,969.987657,340.903353,868.325961,303.410000,932.300000,368.841393,831.554262,310.283682,995.847667,317.980000,891.000000
306.321283,970.130098,340.802047,868.626085,303.540000,931.780000,368.641059,831.754596,310.283682,995.551583,317.980000,891.000000
306.369363,970.486203,340.802047,868.776147,303.690000,930.910000,368.340557,832.055097,310.283682,995.551583,317.990000,891.000000
306.417444,970.628644,340.498131,869.076271,303.670000,930.320000,368.340557,832.055097,310.283682,995.699625,317.990000,891.000000
306.417444,970.984748,340.498131,869.076271,303.730000,930.290000,368.240390,832.155264,310.283682,995.699625,317.970000,891.020000
306.417444,971.127190,340.396826,869.526457,303.850000,930.380000,368.040056,832.355599,310.283682,995.699625,318.000000,891.020000
306.417444,971.269632,340.194215,869.526457,303.890000,930.640000,367.739555,832.656100,310.283682,995.699625,317.990000,891.020000
306.417444,971.554515,340.092909,869.826581,303.970000,931.210000,367.539220,832.756267,310.283682,995.699625,317.980000,891.010000
306.465524,971.768177,340.092909,869.826581,303.990000,932.050000,367.338886,833.056769,310.283682,995.699625,318.010000,891.020000
306.513605,971.839398,339.890299,870.126705,304.100000,932.830000,367.238719,833.056769,310.283682,995.699625,317.980000,890.990000
306.513605,971.839398,339.586382,870.426829,304.060000,933.550000,367.238719,833.357270,310.283682,995.403541,317.990000,891.020000
306.609766,971.910619,339.282466,870.726953,304.100000,933.660000,366.938218,833.357270,310.283682,995.403541,317.980000,891.010000
306.609766,971.981840,339.181161,870.877015,304.080000,933.780000,366.938218,833.457437,310.283682,995.403541,317.990000,890.990000
306.657846,972.266723,339.181161,871.027077,304.150000,933.750000,366.237048,834.258774,310.283682,995.403541,317.990000,891.020000
306.754007,972.409165,338.877245,871.627325,304.170000,933.770000,366.036713,834.559275,310.283682,995.403541,317.970000,891.010000
306.754007,972.551607,338.775939,871.627325,304.220000,933.890000,366.036713,834.659443,310.383623,995.403541,317.980000,891.010000
306.850168,973.050152,339.079856,871.327201,304.250000,933.880000,366.036713,834.659443,310.383623,995.403541,317.990000,891.000000
306.994409,973.904802,338.775939,871.477263,304.340000,934.040000,366.036713,834.759610,310.383623,995.403541,317.980000,891.000000
307.042490,974.332127,338.674634,871.627325,304.340000,934.030000,365.936546,834.759610,310.383623,995.403541,318.000000,890.990000
306.994409,974.759452,338.370718,871.927449,304.470000,934.110000,365.836379,834.959944,310.483565,995.403541,318.000000,890.980000
306.994409,975.186777,337.661580,872.527697,304.570000,934.130000,365.636045,835.060111,310.483565,995.403541,317.980000,890.990000
306.994409,975.542881,337.458969,872.827821,304.800000,934.280000,365.535878,835.260445,310.483565,995.403541,317.980000,890.990000
306.994409,975.827765,336.749832,873.428069,304.850000,934.410000,365.335544,835.360613,310.483565,995.403541,317.990000,891.000000
306.994409,976.112648,336.547221,873.728193,304.970000,934.980000,365.335544,835.360613,310.483565,995.403541,318.000000,890.970000
307.090570,976.397531,336.445915,874.028317,305.070000,935.010000,365.135209,835.560947,310.483565,995.403541,317.990000,890.980000
307.186731,976.539973,336.141999,874.478503,305.120000,935.040000,365.035042,835.661114,310.483565,995.403541,318.025920,890.817640
307.186731,976.682415,335.838083,874.778627,305.180000,935.100000,364.834708,835.661114,310.483565,995.403541,318.025920,890.817640
