pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.016796,0.043968,0.029346,0.019887,0.051613,0.036679,0.017466,0.044016,0.028785
0.018503,0.037788,0.027080,0.021266,0.050342,0.037167,0.017756,0.046568,0.030007
0.016736,0.040864,0.028527,0.020198,0.047407,0.033727,0.017291,0.049126,0.031930
0.017085,0.044060,0.031031,0.020467,0.045892,0.034952,0.017776,0.044717,0.028875
0.016981,0.038648,0.027518,0.017687,0.049529,0.033956,0.017356,0.044580,0.030238
0.017803,0.042124,0.028882,0.020262,0.047772,0.036928,0.018028,0.045692,0.031139
0.017255,0.042677,0.028019,0.019861,0.047903,0.034868,0.018322,0.043851,0.028122
0.017935,0.041432,0.029517,0.021399,0.045446,0.035079,0.017909,0.046052,0.030332
0.019036,0.040372,0.030909,0.021599,0.045329,0.034724,0.017724,0.044358,0.030541
0.016708,0.043668,0.030708,0.020863,0.052028,0.035852,0.017707,0.047426,0.032586
0.017475,0.039930,0.029976,0.019880,0.047901,0.034213,0.017054,0.048492,0.030509
0.017221,0.044964,0.029287,0.018923,0.050058,0.035096,0.019194,0.044597,0.032041
0.017574,0.048438,0.031889,0.020233,0.050628,0.033717,0.018046,0.041713,0.029587
0.017812,0.044600,0.029486,0.019127,0.052219,0.035498,0.017592,0.043304,0.030085
0.018197,0.043600,0.032426,0.019890,0.049832,0.036581,0.019039,0.045438,0.031108
0.016420,0.043903,0.031703,0.021710,0.047067,0.035550,0.017837,0.042471,0.030055
0.017727,0.043648,0.028967,0.020856,0.051387,0.038491,0.017396,0.044464,0.030482
0.017973,0.042504,0.028808,0.020008,0.049471,0.034171,0.018290,0.046289,0.030353
0.017272,0.043369,0.029458,0.019102,0.047250,0.036743,0.017774,0.043481,0.030128
0.017351,0.041022,0.029106,0.021319,0.049208,0.036031,0.017785,0.044197,0.029127
0.017132,0.043282,0.030445,0.021567,0.047637,0.033692,0.016796,0.043196,0.031254
0.016816,0.041483,0.028062,0.020445,0.045562,0.034735,0.016187,0.047471,0.031576
0.017674,0.041097,0.030485,0.020277,0.051691,0.038874,0.017521,0.047235,0.031028
0.018614,0.041608,0.028779,0.019851,0.049648,0.035755,0.018058,0.045220,0.029495
0.018251,0.040718,0.028515,0.021103,0.044322,0.033597,0.016625,0.045642,0.030506
0.016305,0.043126,0.029989,0.020839,0.045872,0.033381,0.016326,0.049324,0.034024
0.016898,0.042541,0.029510,0.019793,0.050926,0.034270,0.017713,0.045058,0.031528
0.016563,0.043630,0.031750,0.019117,0.047706,0.033761,0.016221,0.046513,0.028928
0.017058,0.041121,0.030326,0.019187,0.049542,0.037135,0.017236,0.041804,0.027827
