pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
10.294415,1.758723,13.933995,10.042611,2.430053,13.618887,10.512842,1.135059,14.121254
10.294251,1.756643,13.935667,10.042524,2.426555,13.617520,10.512145,1.134452,14.120084
10.294138,1.754496,13.937351,10.042476,2.423012,13.616221,10.511463,1.133866,14.118944
10.294075,1.752282,13.939047,10.042465,2.419423,13.614990,10.510796,1.133301,14.117837
10.294063,1.750002,13.940756,10.042493,2.415789,13.613828,10.510144,1.132758,14.116761
10.294100,1.747654,13.942477,10.042557,2.412109,13.612734,10.509507,1.132236,14.115717
10.294188,1.745240,13.944211,10.042660,2.408385,13.611708,10.508885,1.131736,14.114705
10.294326,1.742759,13.945957,10.042800,2.404615,13.610750,10.508278,1.131257,14.113724
10.294515,1.740211,13.947715,10.042978,2.400800,13.609861,10.507687,1.130799,14.112775
10.294754,1.737596,13.949486,10.043194,2.396939,13.609039,10.507110,1.130363,14.111857
10.295043,1.734914,13.951270,10.043448,2.393034,13.608286,10.506549,1.129948,14.110971
10.295382,1.732166,13.953066,10.043739,2.389083,13.607602,10.506003,1.129555,14.110117
10.295772,1.729350,13.954874,10.044068,2.385086,13.606985,10.505473,1.129183,14.109295
10.296212,1.726468,13.956695,10.044434,2.381045,13.606437,10.504957,1.128832,14.108504
10.296702,1.723518,13.958529,10.044839,2.376958,13.605957,10.504457,1.128503,14.107744
10.297243,1.720502,13.960375,10.045281,2.372826,13.605545,10.503973,1.128195,14.107017
10.297833,1.717419,13.962233,10.045761,2.368649,13.605202,10.503505,1.127909,14.106321
10.298474,1.714269,13.964104,10.046279,2.364427,13.604927,10.503053,1.127644,14.105656
10.299166,1.711052,13.965987,10.046834,2.360159,13.604720,10.502617,1.127400,14.105024
10.299907,1.707768,13.967883,10.047427,2.355846,13.604581,10.502197,1.127178,14.104422
10.300699,1.704418,13.969791,10.048058,2.351487,13.604510,10.501794,1.126977,14.103853
10.301541,1.701000,13.971711,10.048726,2.347084,13.604508,10.501408,1.126798,14.103315
10.302434,1.697516,13.973644,10.049433,2.342635,13.604574,10.501039,1.126640,14.102809
10.303377,1.693964,13.975590,10.050177,2.338141,13.604708,10.500689,1.126503,14.102335
10.304370,1.690346,13.977548,10.050959,2.333602,13.604911,10.500356,1.126388,14.101892
10.305413,1.686661,13.979518,10.051778,2.329017,13.605181,10.500042,1.126294,14.101481
10.306507,1.682909,13.981501,10.052635,2.324387,13.605520,10.499747,1.126222,14.101101
10.307650,1.679090,13.983497,10.053530,2.319712,13.605927,10.499473,1.126170,14.100753
10.308845,1.675205,13.985504,10.054463,2.314992,13.606403,10.499218,1.126141,14.100437
10.310089,1.671252,13.987525,10.055433,2.310226,13.606946,10.498984,1.126132,14.100152
10.311384,1.667232,13.989557,10.056441,2.305415,13.607558,10.498773,1.126146,14.099900
10.312729,1.663146,13.991603,10.057487,2.300559,13.608238,10.498583,1.126180,14.099678
10.314124,1.658993,13.993660,10.058571,2.295658,13.608987,10.498417,1.126236,14.099489
10.315570,1.654773,13.995730,10.059692,2.290711,13.609803,10.498275,1.126313,14.099331
10.317066,1.650486,13.997813,10.060851,2.285719,13.610688,10.498158,1.126412,14.099204
10.318612,1.646132,13.999908,10.062048,2.280682,13.611641,10.498067,1.126532,14.099109
10.320208,1.641711,14.002015,10.063283,2.275599,13.612663,10.498002,1.126673,14.099046
10.321855,1.637223,14.004135,10.064555,2.270471,13.613752,10.497966,1.126836,14.099015
10.323552,1.632669,14.006268,10.065865,2.265298,13.614910,10.497959,1.127020,14.099015
10.325299,1.628047,14.008413,10.067213,2.260080,13.616136,10.497981,1.127226,14.099047
10.327097,1.623359,14.010570,10.068598,2.254817,13.617431,10.498035,1.127453,14.099111
10.328945,1.618604,14.012740,10.070021,2.249508,13.618793,10.498121,1.127701,14.099206
10.330843,1.613782,14.014922,10.071482,2.244154,13.620224,10.498240,1.127971,14.099333
10.332791,1.608893,14.017117,10.072981,2.238754,13.621723,10.498394,1.128262,14.099491
10.334790,1.603937,14.019324,10.074517,2.233310,13.623290,10.498584,1.128575,14.099681
10.336839,1.598914,14.021543,10.076092,2.227820,13.624926,10.498812,1.128909,14.099903
