pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
10.292893,1.755412,13.942617,10.037768,2.441044,13.610478,10.500905,1.133766,14.111657
10.294617,1.754118,13.943997,10.036338,2.428674,13.607608,10.504733,1.125882,14.109009
10.294772,1.751263,13.9458,10.038079,2.423623,13.604818,10.504651,1.126069,14.109024
10.294585,1.749955,13.945806,10.039515,2.418788,13.602656,10.504544,1.126274,14.109137
10.29462,1.747251,13.946977,10.039855,2.415346,13.60165,10.504758,1.125865,14.108911
10.294246,1.744635,13.946989,10.044588,2.403767,13.599256,10.506362,1.133924,14.112968
10.295066,1.742709,13.947948,10.043674,2.405092,13.59916,10.506552,1.133532,14.112841
10.295066,1.742709,13.947948,10.043032,2.403531,13.599487,10.506552,1.133532,14.112841
10.295698,1.739476,13.948912,10.042263,2.402911,13.600755,10.505636,1.131375,14.110406
10.297096,1.735926,13.949564,10.041507,2.400862,13.600908,10.505268,1.132023,14.110942
10.296245,1.733689,13.950417,10.039646,2.396412,13.602025,10.504952,1.129051,14.109016
10.297884,1.729841,13.952337,10.039211,2.396639,13.604178,10.504928,1.129068,14.109115
10.298005,1.72969,13.952969,10.038759,2.395158,13.605259,10.504904,1.129086,14.109214
10.297939,1.728229,13.953607,10.04172,2.392017,13.6039,10.504656,1.129647,14.109257
10.297445,1.725759,13.952986,10.040076,2.382105,13.603131,10.505001,1.129017,14.108819
10.297378,1.7243,13.953625,10.040873,2.377006,13.607156,10.504845,1.129256,14.109129
10.297347,1.720136,13.955438,10.044691,2.368423,13.612823,10.505176,1.128507,14.109072
10.297809,1.718445,13.957872,10.045521,2.36602,13.619956,10.504928,1.129068,14.109115
10.298135,1.714049,13.958211,10.052471,2.351739,13.624545,10.504763,1.129443,14.109144
10.300497,1.709296,13.963927,10.053121,2.34879,13.62925,10.504928,1.129068,14.109115
10.300127,1.706459,13.967313,10.052253,2.346705,13.626857,10.505035,1.128864,14.109002
10.300096,1.702294,13.969126,10.052052,2.341151,13.62015,10.504551,1.129469,14.106348
10.300032,1.700619,13.973138,10.051883,2.334096,13.609903,10.504445,1.129673,14.106461
10.302423,1.693593,13.973285,10.050968,2.335839,13.604921,10.504686,1.12937,14.107788
10.303023,1.692848,13.976452,10.051305,2.332706,13.603693,10.504852,1.128996,14.107759
10.30325,1.691237,13.980989,10.052246,2.326111,13.60257,10.504531,1.129609,14.108098
10.305604,1.686915,13.979964,10.0548,2.31922,13.603849,10.504638,1.129405,14.107985
10.306428,1.684774,13.984295,10.057092,2.312376,13.606532,10.504769,1.129183,14.107774
10.306481,1.683166,13.98557,10.059784,2.306633,13.614392,10.504424,1.129814,14.108211
10.307695,1.678296,13.98623,10.061462,2.300457,13.618733,10.504818,1.129149,14.107576
10.310155,1.672728,13.985739,10.062288,2.300272,13.628644,10.504154,1.130012,14.105333
10.312121,1.664686,13.984632,10.065285,2.29329,13.62563,10.504285,1.12979,14.105121
10.312942,1.662759,13.985594,10.065392,2.293639,13.62795,10.504227,1.129959,14.105037
10.312758,1.661231,13.988972,10.070152,2.27956,13.626548,10.504154,1.130012,14.105333
10.31413,1.653515,13.991449,10.071394,2.275577,13.627111,10.504392,1.129585,14.105008
10.315429,1.651197,13.991568,10.071042,2.274284,13.628505,10.503659,1.127296,14.103815
10.313194,1.653388,13.995231,10.070828,2.273601,13.62802,10.503577,1.127483,14.103829
10.316528,1.642306,13.998997,10.070284,2.271284,13.629242,10.503684,1.127278,14.103716
10.31764,1.638475,14.002505,10.071289,2.269365,13.627997,10.503494,1.12767,14.103844
10.321127,1.633172,14.006443,10.071129,2.264476,13.627809,10.502892,1.125157,14.102439
10.327833,1.619091,14.008115,10.072319,2.258341,13.625339,10.503082,1.124766,14.102311
10.329836,1.614785,14.011939,10.071626,2.25095,13.624451,10.503082,1.124766,14.102311
10.336309,1.600995,14.012346,10.073339,2.245749,13.623623,10.502951,1.124988,14.102523
10.338193,1.596834,14.015537,10.073557,2.241712,13.627117,10.502917,1.12514,14.10234
10.338404,1.59236,14.018622,10.07453,2.235682,13.625721,10.502999,1.124953,14.102325
10.340142,1.584376,14.019623,10.075043,2.232635,13.625158,10.503008,1.125405,14.101128
10.34285,1.578491,14.020405,10.076804,2.227206,13.622584,10.503008,1.125405,14.101128
10.34374,1.57782,14.0241,10.077055,2.223216,13.62149,10.505473,1.120689,14.098519
10.34516,1.57535,14.024856,10.079721,2.214541,13.621723,10.504241,1.123047,14.099823
10.348107,1.569166,14.026905,10.080632,2.212102,13.62039,10.503827,1.123345,14.10151
10.347096,1.569573,14.029324,10.079714,2.211693,13.61931,10.503605,1.130995,14.104102
10.348915,1.564151,14.029785,10.081211,2.20148,13.616008,10.502381,1.134816,14.101651
10.354487,1.557098,14.037014,10.081116,2.195295,13.619517,10.502381,1.134816,14.101651
10.36031,1.552629,14.046967,10.084595,2.192873,13.630789,10.500331,1.139234,14.102575
10.361093,1.54364,14.048297,10.088292,2.181858,13.639029,10.500331,1.139234,14.102575
