pt1_dltres,pt2_dltres,pt3_dltres
0.236686,0.027805,0.021232
0.104157,0.168364,0.225621
0.263710,0.147523,0.217121
0.206937,0.031932,0.215169
0.418832,0.039481,0.219073
0.305291,0.484720,0.226569
0.371142,0.397173,0.237021
0.371142,0.433706,0.237021
0.380224,0.575263,0.350197
0.616600,0.602507,0.357437
0.653547,0.713104,0.326332
0.785246,0.829220,0.332880
0.732908,0.815370,0.339428
0.623805,1.103609,0.313928
0.562615,0.714248,0.313237
0.453514,0.481209,0.324380
0.556327,0.021885,0.358380
0.720328,0.467032,0.332880
0.724997,0.902242,0.315880
0.542673,1.371437,0.332880
0.370306,1.293088,0.334832
0.473144,0.752924,0.552620
0.305207,0.127735,0.550668
0.452514,0.562682,0.441774
0.190828,0.664442,0.458774
0.400664,0.757879,0.452918
0.336024,0.819924,0.454870
0.343017,0.499570,0.450274
0.181597,0.117704,0.450966
0.361214,0.445283,0.437179
0.617581,0.773591,0.672657
0.812800,0.797741,0.668062
0.878636,0.818459,0.653014
0.763050,0.138832,0.672657
1.102272,0.081098,0.670014
1.017595,0.053594,0.659241
0.386083,0.058027,0.650741
0.096997,0.002709,0.652693
0.297252,0.024777,0.642241
0.350576,0.104452,0.626872
0.132007,0.185796,0.637325
0.157398,0.204418,0.637325
0.165792,0.209873,0.641921
0.192721,0.220088,0.620325
0.190929,0.080655,0.628825
0.431956,0.021947,0.515501
0.583535,0.031514,0.515501
0.699551,0.023325,0.560518
0.562471,0.366473,0.538009
0.609335,0.377334,0.649824
0.427968,0.152560,0.753850
0.404662,0.266731,0.373392
0.061380,0.259011,0.373392
0.175057,0.606010,0.216556
0.217966,0.809530,0.216556
0.243463,0.648754,0.216556
0.371488,1.421836,0.082230
0.005859,1.442909,0.082230
0.142092,1.252702,0.082230
0.200959,0.999318,0.163910
0.121780,0.847733,0.283345
0.173252,0.757130,0.082230
0.159465,0.723670,0.104743
0.071638,0.661192,0.104743
0.027422,0.628346,0.012975
0.182022,0.714857,0.012975
0.091632,0.729544,0.012975
0.140980,0.812785,0.121867
0.161781,1.114378,0.166890
0.069187,1.601121,0.301219
0.174712,1.997594,0.301219
0.021933,2.088980,0.157019
0.075497,2.172367,0.030467
0.072286,2.001242,0.037074
0.296529,2.606985,0.247065
0.237055,2.589875,0.078962
0.513053,2.877828,0.704331
0.787565,2.304240,0.404464
0.080216,1.772986,0.102004
0.381158,0.777363,0.955810
0.187724,0.050575,0.199166
0.397241,0.036743,0.101272
0.180325,0.065260,0.025290
0.094187,0.084430,0.506380
0.057015,0.255969,0.598166
0.247881,0.544464,0.848115
0.139531,0.922080,0.079554
0.057954,1.009302,0.370230
0.087492,0.989317,0.347741
