pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
538.106325,519.557887,570.069015,489.744436,523.873120,492.774624,583.146908,462.544234,555.509738,541.705682,559.564090,513.648014
538.010000,520.010000,570.010000,490.010000,524.173621,493.225376,582.445738,463.045070,556.000000,542.010000,559.990000,514.000000
538.040000,520.020000,570.020000,490.020000,524.173621,493.225376,582.445738,463.045070,556.000000,542.010000,559.980000,514.010000
538.070000,520.010000,570.020000,490.040000,524.474123,493.375627,582.445738,463.045070,556.000000,542.020000,559.980000,514.000000
538.110000,520.010000,570.030000,490.050000,524.774624,493.525877,582.445738,463.045070,556.010000,542.000000,559.990000,514.000000
538.130000,520.020000,570.030000,490.080000,524.766277,493.701170,582.445738,463.245404,555.990000,541.990000,559.990000,514.000000
538.160000,520.030000,570.040000,490.090000,524.766277,493.701170,582.345571,463.445738,556.000000,542.010000,559.980000,513.990000
538.200000,520.060000,570.030000,490.120000,524.766277,493.701170,582.345571,463.646073,556.000000,542.000000,559.990000,514.010000
538.220000,520.070000,570.020000,490.140000,524.766277,493.701170,582.245404,463.545905,555.990000,541.990000,559.980000,513.990000
538.260000,520.120000,570.010000,490.180000,524.766277,493.701170,582.245404,463.646073,556.000000,541.990000,559.980000,514.000000
538.310000,520.180000,570.010000,490.210000,524.833055,493.701170,582.145237,463.846407,556.000000,542.010000,560.000000,514.000000
538.380000,520.280000,570.000000,490.230000,524.899833,493.701170,581.844736,464.247075,556.010000,542.040000,559.990000,513.990000
538.800000,520.790000,570.000000,490.240000,524.899833,493.701170,581.944903,464.046741,556.000000,542.000000,560.000000,514.010000
538.990000,521.010000,569.980000,490.300000,524.966611,493.701170,581.944903,464.146908,556.010000,542.030000,560.000000,513.990000
539.050000,521.070000,569.990000,490.330000,524.899833,493.767948,581.944903,464.247075,556.000000,542.010000,559.990000,513.990000
539.100000,521.100000,569.970000,490.350000,524.899833,493.767948,581.944903,464.247075,556.000000,542.020000,559.990000,514.000000
539.210000,521.190000,569.950000,490.360000,524.899833,493.767948,581.944903,464.247075,556.000000,542.000000,559.990000,514.010000
539.280000,521.270000,569.990000,490.280000,524.899833,493.767948,582.045070,464.447410,555.990000,542.000000,559.990000,514.000000
539.590000,521.640000,569.980000,490.280000,524.899833,493.834726,581.944903,464.447410,556.010000,541.990000,559.990000,513.990000
539.810000,521.960000,569.990000,490.260000,524.899833,493.901504,581.944903,464.547577,556.000000,542.010000,560.000000,514.010000
