pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.025897,0.062728,0.065857,0.020995,0.054861,0.059798,0.022376,0.058748,0.058521
0.022792,0.059616,0.064900,0.021147,0.062668,0.065880,0.021713,0.055120,0.054427
0.022495,0.065125,0.066261,0.023011,0.056341,0.058914,0.021055,0.060710,0.060844
0.022965,0.063143,0.066016,0.022171,0.062124,0.067002,0.023590,0.054493,0.057102
0.025583,0.059650,0.061971,0.022852,0.062233,0.067579,0.023149,0.049502,0.054907
0.023310,0.061559,0.063042,0.023581,0.058094,0.062040,0.022317,0.052355,0.053617
0.024143,0.062446,0.064705,0.021744,0.061247,0.064065,0.021446,0.059254,0.062041
0.024467,0.059736,0.062483,0.023771,0.056968,0.062184,0.023032,0.057223,0.054633
0.024088,0.063323,0.065929,0.024005,0.055483,0.062053,0.023314,0.057706,0.061617
0.025472,0.059861,0.064421,0.024265,0.060809,0.066321,0.023058,0.055387,0.056733
0.023947,0.060553,0.063662,0.024232,0.055949,0.058941,0.023674,0.059947,0.059545
0.025464,0.064794,0.066571,0.023183,0.061819,0.065842,0.021494,0.060277,0.062307
0.026189,0.059030,0.061121,0.023695,0.061200,0.063458,0.021263,0.060287,0.059663
0.025702,0.057219,0.060538,0.023316,0.056306,0.060247,0.021796,0.052048,0.052923
0.025907,0.058078,0.062120,0.023760,0.056883,0.061391,0.021140,0.056825,0.060779
0.024228,0.062483,0.064463,0.024066,0.055719,0.058767,0.019784,0.058937,0.057613
0.025493,0.058704,0.061756,0.023104,0.056429,0.059413,0.023196,0.060617,0.062851
0.024678,0.067049,0.067541,0.023799,0.055940,0.060853,0.023061,0.057232,0.057823
0.025435,0.064443,0.065957,0.022553,0.054979,0.060121,0.022021,0.059535,0.060869
0.023960,0.059255,0.065547,0.020273,0.053386,0.058725,0.022626,0.062345,0.060873
0.022903,0.063274,0.066274,0.024552,0.058644,0.065689,0.023676,0.058498,0.060759
0.024443,0.061644,0.063869,0.023892,0.056893,0.062757,0.021411,0.057615,0.060879
0.023710,0.060076,0.062025,0.022695,0.053985,0.059524,0.022890,0.055919,0.058565
0.023244,0.062455,0.066624,0.022630,0.055452,0.060611,0.022367,0.051937,0.056680
0.023931,0.061508,0.060649,0.023685,0.056926,0.062861,0.023187,0.062580,0.063119
0.024787,0.060893,0.064194,0.024262,0.058753,0.062603,0.022083,0.063696,0.064333
0.024038,0.061615,0.064093,0.022230,0.051383,0.054698,0.022473,0.062643,0.062640
0.025193,0.063654,0.063979,0.023800,0.057093,0.062310,0.021023,0.058476,0.058371
0.024955,0.061434,0.065668,0.024459,0.059510,0.063586,0.019128,0.055632,0.056518
0.023607,0.062609,0.061479,0.024123,0.056604,0.060449,0.022391,0.052759,0.056533
0.024303,0.058761,0.063233,0.024036,0.058655,0.064674,0.022546,0.052871,0.056180
0.023057,0.064051,0.067696,0.025427,0.056508,0.063948,0.021568,0.064473,0.063226
0.023937,0.058695,0.058228,0.023647,0.056279,0.060079,0.022164,0.059794,0.055698
0.024952,0.058758,0.062908,0.024169,0.056719,0.061117,0.022207,0.060167,0.063631
0.024376,0.059536,0.061392,0.022469,0.056988,0.061840,0.024023,0.061156,0.057845
0.023620,0.060808,0.065970,0.023162,0.054445,0.060768,0.021057,0.057420,0.060198
0.024653,0.061758,0.062194,0.022858,0.058484,0.065300,0.023561,0.057751,0.058569
