pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
5.633635,1.173646,3.919520,5.656904,1.876560,3.810739,5.519055,0.341336,3.920905
5.633434,1.169828,3.921344,5.656550,1.876069,3.811943,5.520365,0.341905,3.919422
5.633225,1.165874,3.923126,5.656207,1.875368,3.813125,5.521636,0.342436,3.917993
5.633007,1.161781,3.924867,5.655873,1.874457,3.814287,5.522867,0.342931,3.916618
5.632780,1.157552,3.926565,5.655549,1.873337,3.815429,5.524059,0.343389,3.915297
5.632545,1.153184,3.928222,5.655235,1.872007,3.816550,5.525210,0.343809,3.914030
5.632301,1.148679,3.929837,5.654931,1.870468,3.817650,5.526321,0.344191,3.912818
5.632048,1.144037,3.931409,5.654636,1.868719,3.818730,5.527393,0.344533,3.911659
5.631786,1.139258,3.932940,5.654351,1.866761,3.819789,5.528424,0.344835,3.910554
5.631515,1.134340,3.934429,5.654076,1.864593,3.820828,5.529416,0.345095,3.909504
5.631236,1.129286,3.935877,5.653811,1.862216,3.821845,5.530367,0.345310,3.908508
5.630948,1.124093,3.937282,5.653556,1.859629,3.822843,5.531279,0.345478,3.907565
5.630652,1.118764,3.938645,5.653310,1.856832,3.823819,5.532151,0.345596,3.906677
5.630346,1.113296,3.939967,5.653074,1.853826,3.824775,5.532983,0.345660,3.905843
5.630032,1.107692,3.941246,5.652848,1.850611,3.825711,5.533775,0.345668,3.905062
5.629709,1.101950,3.942484,5.652632,1.847186,3.826626,5.534527,0.345614,3.904336
5.629377,1.096070,3.943680,5.652425,1.843551,3.827520,5.535240,0.345496,3.903664
5.629037,1.090053,3.944834,5.652229,1.839707,3.828394,5.535912,0.345311,3.903046
5.628688,1.083898,3.945946,5.652042,1.835653,3.829247,5.536544,0.345056,3.902482
5.628330,1.077606,3.947016,5.651865,1.831390,3.830079,5.537137,0.344728,3.901973
