pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X ,Fly_Y,Fly_Z
5.634658,1.142296,3.932221,5.655323,1.898199,3.833906,5.540498,0.345547,3.900435
5.637508,1.143089,3.943437,5.658218,1.871544,3.822747,5.531018,0.343015,3.908382
5.637065,1.142488,3.943208,5.658218,1.871544,3.822747,5.531084,0.342758,3.908294
5.636614,1.141683,3.942636,5.655076,1.862777,3.816969,5.531141,0.342711,3.908258
5.636009,1.140814,3.942021,5.651931,1.854007,3.811191,5.530853,0.342733,3.90799
5.635736,1.140278,3.942128,5.652276,1.85422,3.816917,5.53107,0.343359,3.908381
5.635293,1.139676,3.9419,5.652715,1.852007,3.817695,5.531124,0.342706,3.907959
5.634931,1.138245,3.941501,5.652304,1.852396,3.820963,5.530961,0.343061,3.908418
5.634764,1.137416,3.941194,5.653359,1.849602,3.816841,5.531176,0.343051,3.907958
5.634456,1.135963,3.941218,5.653154,1.849797,3.818476,5.531029,0.342774,3.907865
5.633994,1.134445,3.9412,5.65277,1.845717,3.817547,5.530932,0.343297,3.908637
5.633538,1.131965,3.940769,5.653676,1.836834,3.814923,5.531022,0.342623,3.908346
5.630173,1.118667,3.936723,5.653236,1.839037,3.814133,5.530874,0.343344,3.908674
5.62867,1.112258,3.935168,5.652208,1.837362,3.814059,5.530899,0.342927,3.90847
5.627997,1.11072,3.935145,5.653075,1.839276,3.818262,5.531037,0.342989,3.908214
5.627616,1.108704,3.934074,5.653075,1.839276,3.818262,5.531055,0.342994,3.908513
5.626728,1.104792,3.932072,5.653075,1.839276,3.818262,5.530961,0.343061,3.908418
5.625971,1.103494,3.931,5.651815,1.842273,3.824025,5.531108,0.343338,3.908512
5.623561,1.093419,3.927581,5.652913,1.839515,3.82239,5.530835,0.342728,3.907691
5.621958,1.086574,3.926013,5.652956,1.839555,3.82488,5.530912,0.343323,3.908805
5.621432,1.086471,3.926009,5.652176,1.837722,3.825658,5.531037,0.342989,3.908214
