pt1_dltres,pt2_dltres,pt3_dltres
0.026291,0.139714,0.061762
0.091899,0.272497,0.092197
0.099126,0.272497,0.083267
0.083285,0.122022,0.096882
0.084874,0.028444,0.086532
0.075207,0.020688,0.076677
0.082433,0.134046,0.096374
0.087372,0.264564,0.078582
0.081843,0.223522,0.080854
0.094387,0.288781,0.075697
0.124360,0.433700,0.094573
0.189612,0.757572,0.121332
0.603719,0.602836,0.080958
0.742431,0.658282,0.116647
0.776221,0.686125,0.098750
0.786723,0.686125,0.099258
0.854756,0.686125,0.078582
0.983175,0.792433,0.083738
1.286666,0.769416,0.086024
1.559790,0.787446,0.088020
1.672706,0.795665,0.098750
1.753264,0.748433,0.076677
1.841028,0.738623,0.079090
1.990876,0.741858,0.081362
2.346893,0.619779,0.089798
2.404949,0.646038,0.080450
2.470073,0.536779,0.073389
0.244704,0.585682,0.085135
0.394496,0.841772,0.085135
0.255817,0.897062,0.080958
0.208386,1.369541,0.084224
0.115602,1.538306,0.095462
0.191215,1.360714,0.079979
0.251853,1.339794,0.071992
0.150462,1.271648,0.498018
0.142668,0.927872,0.404432
0.101601,0.884099,0.406809
0.130158,0.924668,0.454592
0.068922,0.963972,0.458768
0.409731,1.031134,0.458768
0.915281,0.921600,0.378285
1.077377,0.824390,0.279943
0.104537,0.822742,0.369355
0.107414,0.967206,0.371732
0.090828,0.653279,0.371732
0.076487,0.594663,0.444607
0.017091,0.484078,0.062879
0.127543,0.363451,0.093474
0.202267,0.142358,0.032201
0.073827,0.251284,0.105347
0.378525,0.135572,0.105347
0.657129,0.179000,0.105347
0.197300,0.512705,0.131711
0.059834,0.183547,0.148846
0.181145,0.091440,0.121460
0.381393,0.254568,1.569698
0.344215,0.587781,0.047159
0.009095,1.076901,0.052107
0.155566,1.151119,0.026970
0.352708,1.279199,0.114262
0.328384,1.018277,0.131205
0.040219,1.060187,0.054685
0.054171,0.673620,0.088875
0.050844,0.847887,0.111696
0.066885,0.798301,0.020210
0.088157,0.840284,0.060473
0.298619,1.037095,0.097145
0.168361,1.489087,0.069702
0.050880,1.532691,0.212323
0.021653,1.458375,0.460096
0.069501,1.536291,0.249907
0.038928,1.401489,0.380608
0.050133,1.106098,0.229998
0.014599,1.073104,0.152607
0.090691,1.077360,0.298696
0.173838,1.161290,0.302394
0.071744,1.261982,0.164796
0.038426,0.936498,0.145901
0.086125,0.841123,0.113401
0.086659,0.890003,0.036018
