pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
675.781746,427.658607,726.326501,481.028023,651.194571,405.418854,725.774518,452.563546,740.427750,467.791545,733.934131,538.962530
676.110000,427.920000,726.090000,481.060000,651.475973,405.512655,726.060000,453.080000,740.010000,468.010000,733.990000,538.990000
676.240000,427.890000,726.170000,481.100000,651.757376,405.700257,726.120000,453.130000,740.010000,468.000000,734.000000,538.980000
676.660000,427.970000,726.290000,481.160000,652.132579,405.794058,726.200000,453.220000,740.000000,468.000000,733.990000,539.000000
676.920000,427.960000,726.440000,481.220000,652.226379,405.794058,726.270000,453.240000,740.000000,468.030000,734.010000,539.000000
677.110000,427.930000,726.710000,481.290000,652.413981,405.794058,726.370000,453.310000,740.010000,468.010000,734.000000,539.010000
677.340000,427.910000,726.840000,481.410000,652.695383,405.887858,726.640000,453.610000,740.000000,468.000000,734.000000,539.020000
677.780000,427.990000,726.940000,481.620000,652.789184,405.794058,726.910000,453.910000,740.000000,468.000000,734.020000,539.020000
677.930000,427.930000,727.050000,481.950000,653.070586,405.794058,726.960000,453.980000,740.010000,467.990000,734.010000,539.020000
678.110000,427.900000,727.150000,482.000000,653.258188,405.794058,727.020000,453.980000,740.000000,468.020000,734.010000,539.000000
678.320000,427.880000,727.300000,482.060000,653.539590,405.700257,727.070000,453.990000,740.010000,468.000000,734.020000,538.990000
678.860000,428.010000,727.460000,482.100000,653.539590,405.700257,727.190000,454.070000,740.000000,468.000000,734.000000,539.020000
679.110000,428.000000,727.720000,482.140000,653.914793,405.606456,727.210000,454.090000,740.000000,468.000000,734.000000,539.000000
679.360000,427.990000,727.850000,482.190000,654.289996,405.606456,727.300000,454.140000,740.010000,468.010000,734.000000,538.990000
679.810000,428.090000,727.950000,482.260000,654.383797,405.606456,727.400000,454.170000,740.000000,467.980000,733.990000,539.020000
679.990000,428.050000,728.020000,482.320000,654.759000,405.606456,727.500000,454.170000,740.010000,467.990000,734.000000,539.000000
680.130000,427.980000,728.100000,482.390000,655.040402,405.606456,727.750000,454.250000,740.000000,468.000000,734.010000,538.990000
680.310000,427.950000,728.190000,482.460000,655.321805,405.606456,727.900000,454.380000,740.000000,468.000000,733.990000,539.000000
680.600000,427.950000,728.300000,482.830000,655.509406,405.700257,727.950000,454.410000,740.010000,468.010000,734.010000,538.990000
680.870000,427.890000,728.470000,482.880000,655.697008,405.700257,728.010000,454.420000,740.000000,467.990000,734.010000,539.010000
681.070000,427.850000,728.710000,482.930000,656.728816,405.700257,728.070000,454.490000,740.000000,468.010000,734.000000,539.000000
681.260000,427.810000,728.830000,482.960000,657.010218,405.606456,728.160000,454.890000,740.000000,468.000000,734.000000,539.000000
681.560000,427.800000,728.890000,482.990000,657.291621,405.606456,728.230000,454.930000,740.000000,468.000000,734.010000,539.010000
681.930000,427.820000,728.950000,482.970000,657.197820,405.606456,728.310000,455.000000,740.010000,468.000000,734.010000,538.990000
682.080000,427.740000,729.020000,482.990000,657.291621,405.512655,728.360000,455.030000,740.000000,467.990000,734.010000,538.990000
682.270000,427.640000,729.090000,483.020000,657.291621,405.512655,728.590000,455.060000,740.010000,468.000000,734.010000,538.990000
682.430000,427.470000,729.190000,483.070000,657.479222,405.512655,728.760000,455.090000,740.000000,467.990000,734.010000,539.010000
682.940000,427.560000,729.300000,483.110000,657.666824,405.512655,728.880000,455.180000,740.000000,467.990000,733.990000,539.000000
683.120000,427.580000,729.440000,483.120000,658.042027,405.512655,728.950000,455.210000,740.000000,468.000000,734.000000,539.010000
683.240000,427.430000,729.700000,483.150000,658.135828,405.418854,729.010000,455.270000,740.010000,467.990000,734.000000,539.030000
683.450000,427.320000,729.790000,483.180000,658.323429,405.418854,729.070000,455.300000,740.000000,468.010000,734.000000,539.010000
683.970000,427.500000,729.850000,483.250000,658.323429,405.418854,729.120000,455.480000,740.010000,468.000000,734.000000,539.000000
684.120000,427.470000,729.950000,483.290000,658.417230,405.418854,729.180000,455.800000,740.000000,468.020000,733.990000,538.980000
684.220000,427.280000,730.010000,483.360000,658.511031,405.418854,729.280000,455.840000,740.000000,468.000000,734.000000,539.010000
684.420000,427.230000,730.090000,483.420000,658.698632,405.231253,729.350000,455.840000,740.010000,468.010000,734.000000,539.000000
684.850000,427.310000,730.180000,483.490000,658.980035,405.231253,729.450000,455.900000,740.010000,467.990000,734.000000,538.990000
685.000000,427.260000,730.280000,483.900000,659.261437,405.137452,729.660000,455.910000,740.000000,468.010000,734.000000,539.010000
685.060000,427.120000,730.410000,483.940000,659.636640,405.137452,729.790000,456.020000,739.990000,468.010000,734.010000,539.000000
685.170000,427.020000,730.650000,483.980000,660.011843,404.949851,729.870000,456.030000,740.000000,468.000000,734.000000,539.000000
685.430000,427.030000,730.760000,484.010000,660.387046,404.949851,729.950000,456.130000,740.000000,468.000000,734.000000,539.000000
685.950000,427.150000,730.830000,484.020000,660.856050,404.949851,730.030000,456.170000,740.000000,468.000000,734.010000,539.000000
686.140000,427.110000,730.880000,484.030000,660.856050,404.949851,730.080000,456.300000,740.010000,468.000000,733.990000,539.000000
686.340000,427.060000,730.930000,484.060000,661.418854,404.856050,730.130000,456.480000,740.000000,468.000000,734.000000,538.990000
686.790000,427.140000,730.980000,484.090000,661.700257,404.856050,730.200000,456.950000,740.020000,468.000000,733.990000,539.000000
686.900000,427.050000,731.010000,484.140000,661.794058,405.043651,730.270000,456.990000,740.000000,468.000000,733.990000,538.990000
687.030000,426.990000,731.070000,484.200000,661.794058,405.137452,730.340000,457.030000,740.000000,468.000000,733.990000,539.020000
687.220000,426.990000,731.120000,484.230000,662.075460,405.231253,730.440000,457.090000,739.990000,468.020000,734.000000,538.980000
687.470000,427.050000,731.160000,484.280000,662.638264,405.418854,730.610000,457.170000,740.010000,468.000000,734.000000,539.000000
687.950000,427.170000,731.250000,484.340000,662.638264,405.512655,730.720000,457.240000,740.000000,468.000000,734.000000,539.010000
688.080000,427.150000,731.310000,484.460000,662.732065,405.512655,730.830000,457.360000,740.010000,467.990000,733.990000,539.000000
688.250000,427.110000,731.440000,484.880000,663.107268,405.512655,730.890000,457.420000,740.010000,468.000000,733.980000,539.000000
688.470000,427.130000,731.640000,484.930000,663.294870,405.606456,730.960000,457.630000,740.000000,467.990000,734.000000,539.000000
688.880000,427.240000,731.750000,484.990000,663.294870,405.794058,730.990000,457.920000,740.000000,468.010000,734.000000,539.010000
689.010000,427.220000,731.820000,485.050000,663.763874,405.794058,731.060000,457.980000,740.010000,468.020000,734.000000,539.010000
