pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.021511,0.052922,0.054412,0.026507,0.056844,0.061398,0.026128,0.058201,0.060783
0.021584,0.055883,0.059213,0.023711,0.048462,0.054357,0.023976,0.057285,0.059193
0.025166,0.053190,0.054972,0.022960,0.050346,0.058696,0.023930,0.061780,0.064451
0.025859,0.054064,0.061071,0.024160,0.054804,0.062743,0.024913,0.067185,0.068031
0.022995,0.052497,0.057138,0.020952,0.049435,0.056404,0.022308,0.054747,0.057384
0.021836,0.054640,0.059602,0.024019,0.049274,0.053786,0.025808,0.059401,0.058935
0.022845,0.050528,0.056919,0.024295,0.056595,0.065796,0.025033,0.054045,0.058431
0.022111,0.050487,0.054521,0.024208,0.051818,0.060657,0.025828,0.059295,0.058710
0.024476,0.056629,0.059697,0.024638,0.050206,0.057550,0.024818,0.053816,0.056269
0.023857,0.052971,0.058496,0.023864,0.055828,0.062330,0.024386,0.061351,0.064235
0.022640,0.051036,0.055126,0.021060,0.053712,0.057200,0.025110,0.059952,0.064803
0.022927,0.049046,0.055528,0.023842,0.052476,0.057222,0.025135,0.059091,0.061969
0.021741,0.055799,0.062638,0.022258,0.053077,0.062172,0.026115,0.060596,0.063456
0.024066,0.055233,0.061817,0.024139,0.050926,0.061114,0.026005,0.056539,0.060173
0.024056,0.048389,0.054635,0.022210,0.055174,0.060775,0.023995,0.062475,0.065946
0.022287,0.057590,0.062827,0.024171,0.049664,0.059832,0.024111,0.058678,0.063440
0.024719,0.053127,0.057446,0.025236,0.056788,0.061618,0.024043,0.059082,0.061052
0.023493,0.056775,0.064191,0.024569,0.053585,0.061287,0.024979,0.061993,0.065126
0.023560,0.055501,0.057935,0.023364,0.055555,0.064603,0.025802,0.060240,0.061407
0.023976,0.049257,0.055156,0.022952,0.056395,0.061648,0.024405,0.060235,0.061536
0.023677,0.055635,0.061129,0.022885,0.051546,0.056871,0.022288,0.056071,0.059475
0.023952,0.056772,0.063807,0.023407,0.049491,0.058573,0.025500,0.059015,0.061556
0.024499,0.056978,0.064974,0.021884,0.053133,0.063757,0.027202,0.060732,0.065097
0.024746,0.054562,0.060177,0.023555,0.049638,0.058547,0.023294,0.056497,0.058694
0.023234,0.053441,0.059086,0.021481,0.053893,0.060409,0.025716,0.055882,0.060441
0.022316,0.053370,0.057132,0.024082,0.053688,0.059148,0.024361,0.062228,0.064308
0.024696,0.055593,0.061219,0.022855,0.056689,0.061961,0.023680,0.064610,0.060763
0.025015,0.054600,0.056520,0.023924,0.051956,0.062176,0.026545,0.060143,0.061372
0.023933,0.052163,0.055804,0.023640,0.050177,0.058970,0.025275,0.055426,0.058495
0.020914,0.056133,0.062019,0.023595,0.055408,0.063397,0.023433,0.056510,0.059103
0.023281,0.054539,0.057029,0.024128,0.055665,0.063144,0.024190,0.060868,0.061974
0.024935,0.055449,0.062413,0.024207,0.053867,0.064188,0.024419,0.061874,0.064857
0.021481,0.050437,0.055230,0.023774,0.052394,0.063213,0.023983,0.056023,0.058624
0.023660,0.057453,0.060629,0.024255,0.052547,0.060813,0.023843,0.055348,0.056012
0.021515,0.057771,0.065315,0.023053,0.052243,0.055403,0.024642,0.059190,0.059042
0.022761,0.050867,0.054508,0.024143,0.050851,0.058064,0.024028,0.059592,0.060562
0.022201,0.050388,0.057409,0.025327,0.059112,0.064418,0.026272,0.059125,0.059331
0.023214,0.053841,0.058549,0.023213,0.051525,0.059796,0.024223,0.059671,0.063303
0.023841,0.051115,0.058105,0.020862,0.055275,0.062650,0.024826,0.056260,0.056480
0.023924,0.055456,0.061323,0.023484,0.055372,0.060811,0.023312,0.057550,0.056483
0.023665,0.057458,0.065459,0.023870,0.057975,0.066197,0.024574,0.060733,0.061149
0.023771,0.055971,0.060045,0.024067,0.052774,0.060143,0.024741,0.059837,0.061842
0.024540,0.055207,0.062071,0.024683,0.053650,0.062417,0.025427,0.062678,0.063533
0.024759,0.055890,0.062598,0.024785,0.056600,0.063993,0.024902,0.057586,0.059316
0.024668,0.055969,0.057370,0.021882,0.050094,0.056569,0.026212,0.055577,0.059167
0.023365,0.051938,0.059653,0.024405,0.056265,0.062768,0.027181,0.058225,0.059775
0.025464,0.059642,0.065054,0.022353,0.052194,0.057788,0.024320,0.060825,0.059267
0.025473,0.054188,0.057696,0.023042,0.051956,0.058526,0.023513,0.055816,0.056247
0.023891,0.053107,0.059556,0.024907,0.055430,0.059232,0.025239,0.058283,0.062462
0.024870,0.055237,0.057674,0.023391,0.052526,0.059402,0.024610,0.056473,0.058809
0.025246,0.056427,0.061300,0.024462,0.052356,0.059620,0.024915,0.060510,0.063957
0.022306,0.053859,0.057690,0.024243,0.051034,0.060466,0.025304,0.058430,0.061701
0.025508,0.059193,0.062992,0.022903,0.052921,0.060262,0.024718,0.057978,0.061895
0.021564,0.052721,0.061214,0.023603,0.052693,0.061386,0.024448,0.061666,0.064405
0.025838,0.054775,0.060381,0.023818,0.057582,0.063413,0.023652,0.056602,0.055587
0.024394,0.052884,0.056909,0.025060,0.056638,0.061895,0.022243,0.057647,0.059768
0.022622,0.053397,0.059028,0.024398,0.053456,0.059194,0.024673,0.061811,0.066090
0.026101,0.054185,0.059390,0.023520,0.057561,0.062739,0.024811,0.052936,0.057172
0.023414,0.057183,0.064964,0.023312,0.054609,0.059831,0.025992,0.052991,0.056131
0.024237,0.055053,0.058782,0.024935,0.054349,0.058732,0.025350,0.057841,0.060140
0.023595,0.058465,0.065040,0.024831,0.054335,0.057681,0.025201,0.059852,0.061400
0.021284,0.057958,0.062132,0.024642,0.054069,0.063179,0.024579,0.050742,0.053283
0.022097,0.049352,0.056017,0.022829,0.050018,0.059147,0.025017,0.056180,0.058268
0.022439,0.053009,0.055740,0.024317,0.053413,0.062690,0.023829,0.059637,0.063611
0.022861,0.052728,0.059342,0.025916,0.055597,0.062402,0.022321,0.052523,0.055407
0.023891,0.057022,0.061180,0.022649,0.054481,0.060838,0.027045,0.057712,0.060997
0.023560,0.056143,0.060214,0.022150,0.055313,0.061606,0.025199,0.056637,0.062359
0.024388,0.058918,0.065128,0.023709,0.052135,0.061069,0.025584,0.058554,0.061137
0.023754,0.060241,0.066210,0.023814,0.053443,0.060136,0.023691,0.059340,0.063442
0.024364,0.057572,0.060420,0.023962,0.055058,0.059378,0.024000,0.059142,0.058586
0.023769,0.056810,0.059899,0.025687,0.054803,0.063721,0.023194,0.057901,0.062509
0.023526,0.053879,0.061711,0.023908,0.056997,0.062975,0.023736,0.060995,0.061753
0.024893,0.051684,0.059498,0.023225,0.052943,0.058900,0.025382,0.057726,0.057267
0.026785,0.059759,0.065308,0.024202,0.049164,0.056818,0.023835,0.056814,0.061275
0.026078,0.056801,0.057125,0.023055,0.051794,0.055712,0.024248,0.058732,0.061846
0.024301,0.059184,0.066762,0.023790,0.053936,0.060258,0.024804,0.059628,0.060638
0.023487,0.054594,0.061084,0.024628,0.054863,0.058398,0.023945,0.056081,0.058941
0.024669,0.053482,0.061361,0.023070,0.051074,0.058998,0.024133,0.054365,0.055630
0.023609,0.059587,0.065887,0.024629,0.055293,0.061025,0.024222,0.053226,0.055430
0.025030,0.056492,0.061384,0.022784,0.057941,0.063161,0.025269,0.055406,0.060064
0.023926,0.056697,0.062108,0.023413,0.052039,0.060813,0.023211,0.058660,0.057123
0.023609,0.052051,0.054852,0.023310,0.052510,0.061934,0.026279,0.061240,0.064074
0.022366,0.054651,0.059242,0.023773,0.050895,0.055988,0.025704,0.060064,0.059833
0.023169,0.057333,0.061742,0.023302,0.052025,0.055779,0.024085,0.059543,0.063659
