pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
2.262329,1.726097,3.167900,2.562082,2.375942,3.008977,1.323055,0.207310,3.277187
2.257086,1.722089,3.163883,2.557870,2.372099,3.005853,1.323356,0.207256,3.277640
2.251862,1.718088,3.159932,2.553660,2.368262,3.002779,1.323651,0.207203,3.278084
2.246656,1.714094,3.156046,2.549452,2.364431,2.999753,1.323939,0.207150,3.278517
2.241469,1.710108,3.152225,2.545246,2.360608,2.996777,1.324221,0.207098,3.278940
2.236301,1.706130,3.148470,2.541043,2.356790,2.993851,1.324497,0.207046,3.279354
2.231151,1.702159,3.144779,2.536841,2.352980,2.990973,1.324766,0.206995,3.279757
2.226020,1.698195,3.141154,2.532641,2.349175,2.988145,1.325028,0.206944,3.280150
2.220907,1.694239,3.137595,2.528444,2.345378,2.985366,1.325284,0.206893,3.280533
2.215812,1.690291,3.134100,2.524248,2.341587,2.982637,1.325534,0.206843,3.280906
2.210737,1.686350,3.130671,2.520055,2.337802,2.979957,1.325777,0.206793,3.281270
2.205680,1.682416,3.127307,2.515863,2.334024,2.977326,1.326014,0.206744,3.281623
2.200641,1.678490,3.124009,2.511674,2.330253,2.974745,1.326245,0.206695,3.281966
2.195621,1.674571,3.120775,2.507487,2.326488,2.972212,1.326469,0.206647,3.282298
2.190620,1.670660,3.117607,2.503302,2.322729,2.969730,1.326686,0.206599,3.282621
2.185637,1.666756,3.114504,2.499118,2.318977,2.967296,1.326897,0.206551,3.282934
2.180672,1.662860,3.111467,2.494937,2.315232,2.964912,1.327102,0.206504,3.283237
2.175726,1.658971,3.108495,2.490758,2.311493,2.962577,1.327300,0.206457,3.283530
2.170799,1.655090,3.105588,2.486582,2.307761,2.960291,1.327492,0.206411,3.283812
2.165890,1.651217,3.102746,2.482407,2.304035,2.958055,1.327677,0.206365,3.284085
2.161000,1.647350,3.099970,2.478234,2.300316,2.955868,1.327856,0.206319,3.284348
2.156129,1.643491,3.097259,2.474063,2.296603,2.953731,1.328029,0.206274,3.284600
2.151275,1.639640,3.094613,2.469895,2.292897,2.951642,1.328195,0.206229,3.284843
2.146441,1.635796,3.092033,2.465728,2.289198,2.949604,1.328355,0.206185,3.285075
2.141625,1.631960,3.089517,2.461564,2.285505,2.947614,1.328508,0.206141,3.285298
2.136828,1.628131,3.087067,2.457401,2.281818,2.945674,1.328655,0.206098,3.285510
2.132049,1.624310,3.084683,2.453241,2.278138,2.943783,1.328795,0.206055,3.285713
2.127288,1.620496,3.082363,2.449083,2.274465,2.941941,1.328929,0.206012,3.285905
2.122547,1.616689,3.080109,2.444926,2.270798,2.940149,1.329056,0.205970,3.286087
2.117823,1.612890,3.077920,2.440772,2.267137,2.938405,1.329177,0.205928,3.286259
2.113119,1.609099,3.075797,2.436620,2.263484,2.936712,1.329292,0.205887,3.286422
2.108433,1.605315,3.073739,2.432470,2.259836,2.935067,1.329400,0.205846,3.286574
2.103765,1.601538,3.071746,2.428322,2.256196,2.933472,1.329502,0.205805,3.286716
2.099116,1.597769,3.069818,2.424176,2.252561,2.931927,1.329597,0.205765,3.286848
2.094486,1.594008,3.067955,2.420033,2.248934,2.930430,1.329686,0.205725,3.286970
2.089874,1.590254,3.066158,2.415891,2.245313,2.928983,1.329768,0.205686,3.287082
2.085280,1.586507,3.064426,2.411751,2.241698,2.927585,1.329844,0.205647,3.287184
2.080706,1.582768,3.062760,2.407614,2.238090,2.926237,1.329914,0.205609,3.287276
2.076149,1.579036,3.061158,2.403478,2.234489,2.924938,1.329977,0.205571,3.287357
2.071612,1.575312,3.059622,2.399345,2.230894,2.923688,1.330033,0.205533,3.287429
2.067093,1.571596,3.058152,2.395213,2.227305,2.922487,1.330084,0.205496,3.287491
2.062592,1.567886,3.056746,2.391084,2.223723,2.921336,1.330127,0.205460,3.287543
2.058110,1.564185,3.055406,2.386957,2.220148,2.920234,1.330165,0.205423,3.287584
2.053647,1.560491,3.054131,2.382832,2.216579,2.919182,1.330196,0.205387,3.287616
2.049202,1.556804,3.052922,2.378709,2.213017,2.918178,1.330220,0.205352,3.287637
2.044775,1.553125,3.051777,2.374588,2.209461,2.917224,1.330238,0.205317,3.287649
2.040367,1.549453,3.050698,2.370469,2.205912,2.916320,1.330250,0.205282,3.287650
2.035978,1.545788,3.049684,2.366352,2.202369,2.915464,1.330255,0.205248,3.287642
2.031607,1.542132,3.048736,2.362237,2.198833,2.914658,1.330254,0.205214,3.287623
2.027255,1.538482,3.047853,2.358124,2.195304,2.913902,1.330246,0.205181,3.287594
2.022922,1.534840,3.047035,2.354014,2.191781,2.913195,1.330232,0.205148,3.287556
2.018607,1.531206,3.046282,2.349905,2.188264,2.912537,1.330211,0.205115,3.287507
2.014310,1.527579,3.045595,2.345799,2.184754,2.911928,1.330184,0.205083,3.287448
2.010032,1.523960,3.044972,2.341694,2.181251,2.911368,1.330151,0.205051,3.287379
2.005773,1.520348,3.044416,2.337592,2.177754,2.910858,1.330111,0.205020,3.287301
2.001532,1.516743,3.043924,2.333491,2.174264,2.910398,1.330065,0.204989,3.287212
1.997309,1.513146,3.043498,2.329393,2.170780,2.909986,1.330012,0.204959,3.287113
1.993106,1.509557,3.043137,2.325297,2.167303,2.909624,1.329953,0.204929,3.287004
1.988921,1.505975,3.042841,2.321203,2.163832,2.909311,1.329887,0.204899,3.286885
1.984754,1.502400,3.042611,2.317111,2.160368,2.909048,1.329815,0.204870,3.286755
1.980606,1.498833,3.042446,2.313021,2.156910,2.908834,1.329737,0.204841,3.286616
1.976476,1.495274,3.042346,2.308933,2.153459,2.908669,1.329652,0.204813,3.286467
1.972365,1.491722,3.042311,2.304847,2.150014,2.908554,1.329560,0.204785,3.286308
1.968273,1.488177,3.042342,2.300764,2.146576,2.908487,1.329463,0.204757,3.286139
1.964199,1.484640,3.042438,2.296682,2.143145,2.908471,1.329358,0.204730,3.285959
1.960144,1.481110,3.042599,2.292602,2.139720,2.908503,1.329248,0.204704,3.285770
1.956107,1.477588,3.042826,2.288525,2.136301,2.908585,1.329130,0.204677,3.285570
1.952089,1.474073,3.043117,2.284449,2.132890,2.908716,1.329007,0.204651,3.285361
1.948089,1.470566,3.043474,2.280376,2.129484,2.908896,1.328877,0.204626,3.285141
1.944108,1.467066,3.043897,2.276304,2.126085,2.909126,1.328741,0.204601,3.284912
1.940145,1.463574,3.044385,2.272235,2.122693,2.909405,1.328598,0.204576,3.284672
1.936201,1.460089,3.044937,2.268168,2.119308,2.909734,1.328448,0.204552,3.284423
1.932276,1.456612,3.045556,2.264103,2.115928,2.910111,1.328293,0.204528,3.284163
1.928369,1.453142,3.046239,2.260040,2.112556,2.910538,1.328131,0.204505,3.283893
1.924480,1.449680,3.046988,2.255979,2.109190,2.911015,1.327962,0.204482,3.283614
1.920611,1.446225,3.047802,2.251920,2.105830,2.911540,1.327787,0.204460,3.283324
1.916759,1.442778,3.048681,2.247863,2.102477,2.912115,1.327605,0.204438,3.283024
1.912927,1.439338,3.049626,2.243808,2.099131,2.912740,1.327418,0.204416,3.282714
1.909112,1.435905,3.050636,2.239756,2.095791,2.913413,1.327223,0.204395,3.282394
1.905317,1.432480,3.051711,2.235705,2.092457,2.914136,1.327022,0.204374,3.282064
1.901540,1.429063,3.052851,2.231656,2.089130,2.914908,1.326815,0.204354,3.281724
1.897781,1.425653,3.054057,2.227610,2.085810,2.915730,1.326602,0.204334,3.281374
1.894041,1.422250,3.055328,2.223566,2.082496,2.916601,1.326382,0.204314,3.281014
1.890320,1.418855,3.056664,2.219523,2.079189,2.917521,1.326155,0.204295,3.280644
1.886617,1.415468,3.058066,2.215483,2.075888,2.918491,1.325922,0.204276,3.280263
1.882933,1.412088,3.059533,2.211445,2.072594,2.919510,1.325683,0.204258,3.279873
1.879267,1.408715,3.061065,2.207409,2.069306,2.920578,1.325437,0.204240,3.279473
1.875620,1.405350,3.062662,2.203374,2.066025,2.921695,1.325185,0.204223,3.279062
1.871991,1.401993,3.064325,2.199342,2.062751,2.922862,1.324926,0.204206,3.278642
1.868381,1.398642,3.066053,2.195313,2.059483,2.924078,1.324661,0.204189,3.278212
1.864790,1.395300,3.067846,2.191285,2.056221,2.925344,1.324389,0.204173,3.277771
1.861217,1.391965,3.069705,2.187259,2.052966,2.926658,1.324111,0.204157,3.277321
1.857662,1.388637,3.071629,2.183235,2.049718,2.928023,1.323827,0.204142,3.276860
1.854126,1.385317,3.073618,2.179214,2.046476,2.929436,1.323536,0.204127,3.276389
1.850609,1.382004,3.075672,2.175194,2.043241,2.930899,1.323239,0.204112,3.275909
1.847110,1.378699,3.077792,2.171176,2.040012,2.932411,1.322935,0.204098,3.275418
1.843630,1.375401,3.079977,2.167161,2.036790,2.933972,1.322625,0.204084,3.274917
1.840168,1.372111,3.082227,2.163148,2.033574,2.935583,1.322308,0.204071,3.274407
1.836725,1.368828,3.084543,2.159136,2.030365,2.937243,1.321985,0.204058,3.273886
1.833301,1.365553,3.086923,2.155127,2.027162,2.938952,1.321655,0.204046,3.273355
1.829895,1.362285,3.089369,2.151120,2.023966,2.940711,1.321320,0.204034,3.272814
1.826507,1.359024,3.091881,2.147115,2.020776,2.942519,1.320977,0.204022,3.272263
1.823138,1.355771,3.094457,2.143112,2.017593,2.944376,1.320628,0.204011,3.271702
1.819788,1.352526,3.097099,2.139111,2.014417,2.946283,1.320273,0.204000,3.271131
1.816456,1.349288,3.099806,2.135112,2.011247,2.948239,1.319911,0.203990,3.270550
1.813143,1.346058,3.102579,2.131115,2.008084,2.950244,1.319543,0.203980,3.269959
1.809848,1.342835,3.105417,2.127120,2.004927,2.952299,1.319169,0.203971,3.269357
1.806572,1.339619,3.108320,2.123128,2.001776,2.954402,1.318788,0.203961,3.268746
1.803314,1.336411,3.111288,2.119137,1.998633,2.956556,1.318400,0.203953,3.268125
1.800075,1.333211,3.114321,2.115149,1.995495,2.958758,1.318007,0.203945,3.267494
1.796855,1.330018,3.117420,2.111162,1.992365,2.961010,1.317606,0.203937,3.266852
1.793653,1.326832,3.120584,2.107178,1.989241,2.963311,1.317200,0.203929,3.266201
1.790469,1.323654,3.123814,2.103195,1.986123,2.965662,1.316786,0.203922,3.265539
1.787305,1.320483,3.127109,2.099215,1.983012,2.968062,1.316367,0.203916,3.264868
1.784158,1.317320,3.130469,2.095237,1.979907,2.970511,1.315941,0.203910,3.264186
1.781031,1.314165,3.133894,2.091261,1.976809,2.973009,1.315508,0.203904,3.263495
1.777921,1.311016,3.137384,2.087287,1.973718,2.975557,1.315069,0.203899,3.262793
1.774831,1.307876,3.140940,2.083315,1.970633,2.978154,1.314624,0.203894,3.262081
1.771759,1.304743,3.144561,2.079345,1.967554,2.980800,1.314172,0.203889,3.261360
1.768705,1.301617,3.148248,2.075377,1.964483,2.983496,1.313714,0.203885,3.260628
1.765670,1.298499,3.151999,2.071411,1.961417,2.986241,1.313250,0.203882,3.259886
1.762654,1.295388,3.155816,2.067448,1.958359,2.989036,1.312778,0.203878,3.259134
1.759656,1.292285,3.159698,2.063486,1.955306,2.991879,1.312301,0.203876,3.258372
1.756676,1.289189,3.163646,2.059526,1.952261,2.994772,1.311817,0.203873,3.257600
1.753716,1.286100,3.167659,2.055569,1.949221,2.997715,1.311327,0.203871,3.256818
1.750773,1.283020,3.171737,2.051614,1.946189,3.000706,1.310830,0.203870,3.256026
1.747850,1.279946,3.175880,2.047660,1.943163,3.003747,1.310326,0.203869,3.255224
1.744945,1.276880,3.180089,2.043709,1.940143,3.006837,1.309817,0.203868,3.254412
1.742058,1.273822,3.184363,2.039760,1.937130,3.009977,1.309301,0.203868,3.253590
1.739190,1.270771,3.188702,2.035813,1.934124,3.013166,1.308778,0.203868,3.252758
1.736341,1.267728,3.193106,2.031868,1.931124,3.016404,1.308249,0.203868,3.251916
1.733510,1.264692,3.197576,2.027925,1.928130,3.019692,1.307714,0.203869,3.251063
1.730697,1.261663,3.202111,2.023984,1.925143,3.023029,1.307172,0.203871,3.250201
1.727904,1.258642,3.206711,2.020045,1.922163,3.026415,1.306624,0.203873,3.249329
1.725128,1.255629,3.211377,2.016108,1.919189,3.029850,1.306069,0.203875,3.248446
