pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
2.255706,1.726659,3.154787,2.565039,2.364359,2.985548,1.319972,0.192305,3.267991
2.252968,1.710646,3.143967,2.559096,2.365302,2.996199,1.327702,0.205766,3.283514
2.250363,1.709477,3.143154,2.555274,2.359078,2.993905,1.327616,0.206059,3.283483
2.243509,1.701299,3.137829,2.549469,2.351212,2.989269,1.327819,0.206108,3.28382
2.238587,1.698522,3.136222,2.547644,2.350628,2.989111,1.327869,0.206651,3.284767
2.234032,1.701044,3.139562,2.544182,2.348457,2.988242,1.327649,0.20613,3.284155
2.229584,1.698694,3.139097,2.538547,2.348558,2.994732,1.327766,0.206472,3.284461
2.222387,1.689762,3.135348,2.534938,2.354094,3.003607,1.327679,0.207079,3.28502
2.21893,1.689618,3.139533,2.530326,2.34811,2.999018,1.32751,0.206506,3.284357
2.215431,1.687663,3.138172,2.527152,2.344734,2.995865,1.327823,0.206672,3.284638
2.211242,1.686276,3.13771,2.522186,2.338856,2.989043,1.327524,0.206696,3.284223
2.202537,1.675767,3.130719,2.521453,2.342214,2.993654,1.327766,0.206472,3.284461
2.197216,1.67627,3.132007,2.515213,2.333069,2.983816,1.327775,0.206411,3.284099
2.192557,1.673192,3.129943,2.508971,2.325614,2.977565,1.327658,0.206069,3.283794
2.185401,1.663615,3.123752,2.506972,2.325852,2.97839,1.327718,0.206212,3.283923
2.182,1.660874,3.121625,2.500723,2.31856,2.971538,1.327562,0.206142,3.283716
2.17903,1.659596,3.120576,2.495007,2.317923,2.972498,1.327735,0.206684,3.284198
2.175562,1.657411,3.119296,2.489782,2.31472,2.971636,1.327819,0.206108,3.28382
2.170151,1.653402,3.121408,2.487037,2.310905,2.969924,1.327614,0.206372,3.284073
2.164747,1.651005,3.119285,2.483845,2.307545,2.966941,1.327681,0.206766,3.28443
2.160168,1.652418,3.121097,2.467718,2.281867,2.943508,1.327821,0.20639,3.284229
2.156377,1.650725,3.119553,2.462129,2.277837,2.94453,1.327775,0.206411,3.284099
