pt1_dltres,pt2_dltres,pt3_dltres
0.164965,0.458289,0.104566
0.016762,0.620591,0.018134
0.024832,0.466397,0.015793
0.082392,0.384248,0.033093
0.111489,0.365676,0.007611
0.139838,0.358440,0.029088
0.112753,0.381576,0.044047
0.118233,0.562667,0.039103
0.092755,0.553851,0.047021
0.095111,0.510395,0.014457
0.080298,0.526679,0.017562
0.102283,0.549398,0.044047
0.170669,0.565669,0.030620
0.199902,0.519390,0.015661
0.313583,0.499893,0.060211
0.290179,0.418025,0.036066
0.236069,0.365506,0.021434
0.217907,0.371244,0.033093
0.042210,0.285398,0.013189
0.049933,0.248571,0.041707
0.078626,0.123932,0.023775
0.089131,0.388239,0.030620
0.121493,0.354596,0.034861
0.218060,0.394948,0.020034
0.189271,0.452805,0.028280
0.145953,0.414760,0.020034
0.044223,0.363491,0.041707
0.182223,0.364521,0.039938
0.250870,0.310105,0.037334
0.210350,0.385296,0.056207
0.168104,0.361725,0.030488
0.337066,0.468278,0.029220
0.336914,0.650825,0.005974
0.189292,0.637969,0.037334
0.164432,0.721510,0.022375
0.258775,0.693577,0.029352
0.001209,0.669587,0.030488
0.082829,0.653048,0.022702
0.102031,0.712360,0.030620
0.049309,0.701800,0.030620
0.120682,0.637369,0.028148
0.126970,0.710852,0.031693
0.114544,0.797255,0.023907
0.228376,1.048400,0.030293
0.156868,0.913684,0.026379
0.109805,0.857831,0.046520
0.130315,0.765237,0.004902
0.185135,0.561137,0.029220
0.320931,0.515091,0.037334
0.261471,0.552728,0.038538
0.012053,0.520805,0.034165
0.074946,0.549291,0.037466
0.198524,0.604414,0.030488
0.181471,0.555870,0.022243
0.134181,0.594508,0.023643
0.029908,0.609878,0.042410
0.097730,0.784453,0.046652
0.219629,0.629006,0.046388
0.013399,0.775072,0.030620
0.020098,0.833208,0.026748
0.203145,0.948833,0.040439
0.279704,0.936152,0.023643
0.232222,0.919102,0.026379
0.297184,1.002579,0.044047
0.451063,1.134703,0.002102
0.392287,1.155109,0.032961
0.178308,1.096004,0.022375
0.207771,1.122318,0.010348
0.313892,1.109674,0.029220
0.276283,1.079538,0.046652
0.223135,0.991309,0.009143
0.056540,1.085878,0.030488
0.004982,1.201692,0.014721
0.228094,1.076078,0.012820
0.491181,1.024413,0.028719
0.435621,1.037371,0.026616
0.191939,1.171279,0.022243
0.187746,1.035881,0.006607
0.107688,0.979393,0.028280
0.127990,0.942706,0.028148
0.064686,0.857151,0.035934
0.161154,0.804566,0.024715
0.368941,1.004322,0.034993
0.454398,1.018227,0.007743
0.315847,1.047915,0.040307
0.123386,0.962405,0.014457
0.115366,0.867825,0.016929
0.125290,1.059107,0.019903
0.188625,1.080475,0.026511
0.072584,0.943663,0.031693
0.298908,0.968808,0.016929
0.411936,0.849084,0.023775
0.333685,0.887076,0.020801
0.084001,0.776855,0.039938
0.064239,0.850551,0.025175
0.000106,0.910250,0.012248
0.053225,0.871228,0.019903
0.133182,0.751130,0.017193
0.180232,0.793928,0.021434
0.177915,0.854367,0.017061
0.175353,0.979389,0.013057
0.221428,0.985267,0.016560
0.330675,0.914037,0.010216
0.285177,0.798125,0.023775
0.051798,0.763527,0.359955
0.046887,0.855533,0.362427
0.023150,0.880520,0.431178
0.104811,0.743774,0.487729
0.001159,0.743699,0.452646
0.046028,1.124427,0.416506
0.106082,1.347080,0.412265
0.202511,1.265070,0.537295
0.162115,1.081868,0.790799
0.051747,0.957512,0.801753
0.016680,0.965541,0.817654
0.019628,0.957249,0.674525
0.235437,1.001920,0.683440
0.240985,0.998280,0.670013
0.018728,0.958110,0.670013
0.018455,0.976428,0.683440
0.015780,0.968887,0.679200
0.011484,0.833129,0.824639
0.132817,0.809098,0.806971
0.126015,0.834944,0.791070
0.051116,0.723467,0.816157
0.203011,0.565298,0.817925
0.235576,0.617002,0.820398
0.270995,0.807302,0.804498
0.266302,1.016496,0.800257
0.207497,0.990858,0.660826
0.050576,0.915370,0.567192
0.102873,0.902312,0.420204
0.124063,0.878294,0.597437
0.124832,0.804831,0.305764
0.138999,0.749228,0.566789
