pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
357.168291,534.104157,364.528251,388.894488,336.309786,507.056450,368.529561,354.326163,366.298563,541.786338,362.551384,399.347379
356.990000,534.000000,364.528251,388.894488,336.309786,507.056450,368.950000,353.970000,366.000000,541.990000,363.000000,399.010000
356.990000,534.020000,364.528251,388.894488,336.309786,507.056450,368.920000,353.910000,366.000000,541.990000,363.000000,399.000000
356.980000,534.040000,364.499759,388.936693,336.394302,507.084622,368.880000,353.820000,366.010000,542.000000,362.990000,399.000000
356.960000,534.050000,364.499759,388.978898,336.394302,507.084622,368.840000,353.800000,366.000000,542.000000,363.000000,398.990000
356.950000,534.060000,364.499759,388.978898,336.478818,507.056450,368.770000,353.710000,366.010000,542.000000,362.990000,398.990000
356.950000,534.080000,364.499759,388.978898,336.478818,507.056450,368.750000,353.660000,366.000000,542.000000,363.010000,398.990000
356.940000,534.090000,364.471267,388.978898,336.478818,507.056450,368.640000,353.630000,366.000000,542.000000,362.990000,399.000000
356.920000,534.120000,364.471267,389.021102,336.478818,507.028278,368.480000,353.700000,366.000000,542.010000,363.000000,398.990000
356.910000,534.130000,364.471267,389.063307,336.422474,507.028278,368.410000,353.680000,366.010000,541.990000,362.980000,398.990000
356.910000,534.130000,364.471267,389.063307,336.422474,507.028278,368.260000,353.740000,366.000000,542.010000,363.010000,398.990000
356.910000,534.140000,364.442775,389.147717,336.422474,507.028278,368.190000,353.740000,366.010000,541.990000,362.980000,398.990000
356.930000,534.150000,364.414283,389.189922,336.422474,507.028278,368.170000,353.770000,366.010000,541.980000,362.990000,399.000000
356.920000,534.180000,364.414283,389.232127,336.450646,507.028278,368.140000,353.750000,366.010000,541.990000,362.990000,398.990000
356.930000,534.190000,364.414283,389.232127,336.478818,507.028278,368.080000,353.750000,366.010000,541.980000,363.010000,399.000000
356.920000,534.200000,364.385790,389.316537,336.478818,507.056450,368.040000,353.730000,366.000000,541.990000,362.990000,399.000000
356.910000,534.260000,364.328806,389.358742,336.478818,507.084622,368.020000,353.730000,366.000000,542.000000,362.980000,399.010000
356.910000,534.310000,364.328806,389.400947,336.478818,507.084622,367.990000,353.740000,366.000000,542.010000,362.990000,398.990000
356.910000,534.360000,364.300314,389.443152,336.478818,507.084622,367.960000,353.640000,366.000000,541.980000,362.980000,399.000000
356.930000,534.390000,364.300314,389.485357,336.478818,507.112794,367.960000,353.620000,365.990000,542.000000,362.970000,399.000000
356.950000,534.450000,364.300314,389.485357,336.478818,507.112794,367.910000,353.630000,365.990000,541.990000,362.970000,399.000000
357.030000,534.790000,364.300314,389.527562,336.478818,507.112794,367.900000,353.630000,366.000000,542.000000,362.960000,399.000000
357.030000,534.820000,364.271822,389.527562,336.478818,507.112794,367.860000,353.590000,366.000000,542.000000,362.960000,399.000000
357.030000,534.840000,364.243330,389.569767,336.478818,507.112794,367.820000,353.600000,366.000000,541.990000,362.970000,399.000000
357.030000,534.880000,364.214838,389.569767,336.478818,507.112794,367.790000,353.550000,366.000000,541.990000,362.940000,399.000000
357.040000,534.890000,364.214838,389.611972,336.506990,507.056450,367.720000,353.530000,366.010000,542.000000,362.960000,399.010000
357.040000,534.900000,364.157853,389.696381,336.506990,507.056450,367.640000,353.580000,365.990000,542.000000,362.930000,399.010000
357.050000,534.920000,364.157853,389.738586,336.506990,507.084622,367.590000,353.560000,366.020000,541.990000,362.930000,399.010000
357.060000,534.920000,364.129361,389.780791,336.506990,507.084622,367.520000,353.650000,366.010000,541.990000,362.940000,399.020000
357.060000,534.930000,364.100869,389.822996,336.506990,507.084622,367.380000,353.710000,366.000000,541.980000,362.940000,399.020000
