pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.022436,0.060421,0.066615,0.022383,0.056532,0.065085,0.022685,0.058361,0.066213
0.020980,0.057752,0.059431,0.021499,0.055027,0.060850,0.024296,0.059334,0.066068
0.021324,0.056877,0.064478,0.021815,0.054408,0.062985,0.023022,0.058625,0.064484
0.020153,0.061524,0.063004,0.021894,0.055709,0.061832,0.021097,0.061047,0.066491
0.023806,0.057459,0.063362,0.021180,0.054992,0.061938,0.022718,0.058038,0.060591
0.021874,0.061682,0.068882,0.023767,0.054949,0.060268,0.022075,0.058133,0.063785
0.021698,0.058739,0.060907,0.022429,0.060119,0.066544,0.021686,0.059154,0.064347
0.021986,0.056493,0.062987,0.021775,0.053669,0.063114,0.024593,0.061608,0.067294
0.021741,0.060454,0.063903,0.022971,0.059415,0.065389,0.021744,0.062051,0.064455
0.022183,0.057930,0.063121,0.021426,0.057359,0.065975,0.022680,0.060082,0.062596
0.021771,0.056415,0.060835,0.020613,0.054443,0.064223,0.021916,0.060398,0.063213
0.023035,0.057271,0.065158,0.022384,0.056201,0.063136,0.022434,0.059744,0.067657
0.022115,0.059759,0.062945,0.022057,0.059869,0.071286,0.023127,0.060998,0.065669
0.022179,0.055929,0.061422,0.022506,0.053138,0.058371,0.023382,0.055978,0.062324
0.022101,0.059320,0.060989,0.020838,0.056583,0.063351,0.022453,0.061504,0.064276
0.021705,0.056754,0.063046,0.021552,0.053521,0.063458,0.021516,0.062022,0.068395
0.021231,0.058396,0.065213,0.021979,0.052060,0.058355,0.023329,0.063109,0.068881
0.022032,0.058837,0.064442,0.018800,0.053121,0.060061,0.020173,0.061041,0.065938
0.022082,0.057148,0.059645,0.021317,0.056254,0.063248,0.020986,0.056725,0.063802
0.021477,0.063151,0.069244,0.023214,0.051519,0.060229,0.022287,0.060809,0.063749
0.022099,0.055942,0.062244,0.023070,0.056022,0.062395,0.021581,0.058615,0.066606
0.022791,0.058264,0.068064,0.021693,0.054267,0.063010,0.022582,0.058283,0.061468
0.023124,0.058918,0.064391,0.022065,0.055243,0.064565,0.021761,0.061699,0.066194
0.022987,0.058961,0.063770,0.020545,0.056481,0.063686,0.021646,0.057132,0.060816
0.022970,0.057902,0.062485,0.020896,0.053932,0.060502,0.024759,0.059075,0.063367
0.021212,0.058395,0.061254,0.022139,0.057377,0.066533,0.022797,0.059584,0.066755
0.021028,0.059989,0.065429,0.022383,0.056873,0.063975,0.023321,0.057658,0.064959
0.023010,0.058885,0.062605,0.022995,0.059631,0.068489,0.020596,0.059035,0.062201
0.022110,0.055190,0.058522,0.021932,0.054347,0.059167,0.021035,0.060649,0.065647
