pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
10.072787,0.946237,2.303904,10.229844,1.697445,2.069487,10.003521,0.614559,2.250399
10.073282,0.946268,2.304034,10.231042,1.697217,2.067821,10.003963,0.614374,2.251503
10.073759,0.946261,2.304153,10.232203,1.696964,2.066182,10.004394,0.614191,2.252577
10.074220,0.946214,2.304261,10.233327,1.696685,2.064570,10.004813,0.614013,2.253620
10.074663,0.946129,2.304358,10.234413,1.696381,2.062984,10.005220,0.613837,2.254631
10.075089,0.946006,2.304445,10.235463,1.696052,2.061424,10.005616,0.613666,2.255612
10.075498,0.945843,2.304521,10.236475,1.695697,2.059891,10.006001,0.613497,2.256562
10.075889,0.945642,2.304586,10.237450,1.695317,2.058385,10.006374,0.613332,2.257482
10.076263,0.945402,2.304640,10.238388,1.694911,2.056905,10.006735,0.613170,2.258370
10.076620,0.945124,2.304683,10.239289,1.694480,2.055452,10.007085,0.613011,2.259227
10.076960,0.944807,2.304715,10.240153,1.694024,2.054025,10.007424,0.612856,2.260054
10.077283,0.944451,2.304737,10.240980,1.693542,2.052625,10.007750,0.612705,2.260849
10.077588,0.944056,2.304748,10.241769,1.693034,2.051251,10.008066,0.612556,2.261614
10.077876,0.943623,2.304748,10.242521,1.692502,2.049904,10.008369,0.612411,2.262348
10.078147,0.943151,2.304737,10.243237,1.691943,2.048583,10.008661,0.612270,2.263051
10.078400,0.942640,2.304716,10.243915,1.691360,2.047289,10.008942,0.612131,2.263723
10.078636,0.942091,2.304683,10.244556,1.690751,2.046021,10.009211,0.611996,2.264364
10.078856,0.941503,2.304640,10.245159,1.690116,2.044780,10.009469,0.611865,2.264974
10.079057,0.940876,2.304586,10.245726,1.689456,2.043565,10.009715,0.611737,2.265553
10.079242,0.940211,2.304521,10.246256,1.688771,2.042377,10.009949,0.611612,2.266101
10.079409,0.939507,2.304445,10.246748,1.688061,2.041215,10.010172,0.611490,2.266619
10.079559,0.938764,2.304359,10.247203,1.687324,2.040080,10.010384,0.611372,2.267106
10.079692,0.937983,2.304261,10.247622,1.686563,2.038972,10.010583,0.611258,2.267561
10.079808,0.937163,2.304153,10.248003,1.685776,2.037890,10.010772,0.611146,2.267986
10.079906,0.936304,2.304034,10.248347,1.684964,2.036834,10.010949,0.611038,2.268380
10.079987,0.935407,2.303904,10.248653,1.684126,2.035805,10.011114,0.610934,2.268743
10.080051,0.934470,2.303764,10.248923,1.683263,2.034803,10.011268,0.610833,2.269075
10.080098,0.933496,2.303612,10.249155,1.682374,2.033827,10.011410,0.610735,2.269376
10.080127,0.932482,2.303450,10.249351,1.681460,2.032878,10.011540,0.610640,2.269646
10.080139,0.931430,2.303277,10.249509,1.680521,2.031955,10.011659,0.610549,2.269886
10.080134,0.930339,2.303093,10.249630,1.679556,2.031058,10.011767,0.610461,2.270094
10.080112,0.929209,2.302898,10.249714,1.678566,2.030189,10.011863,0.610377,2.270272
10.080072,0.928041,2.302693,10.249761,1.677550,2.029345,10.011947,0.610296,2.270418
10.080015,0.926834,2.302476,10.249771,1.676509,2.028529,10.012020,0.610218,2.270534
10.079941,0.925588,2.302249,10.249743,1.675442,2.027738,10.012082,0.610144,2.270619
10.079850,0.924304,2.302011,10.249679,1.674350,2.026975,10.012132,0.610073,2.270673
