pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
10.074218,0.939185,2.292211,10.235386,1.705394,2.072976,10.00982,0.592933,2.246425
10.075367,0.945176,2.296168,10.231281,1.715521,2.077932,10.00833,0.613775,2.264612
10.075427,0.945132,2.296453,10.231886,1.71466,2.076166,10.008366,0.613754,2.264444
10.075784,0.944737,2.29701,10.232144,1.710791,2.07146,10.008443,0.613133,2.264019
10.075826,0.945444,2.298469,10.232732,1.70974,2.070097,10.008432,0.613712,2.26442
10.075938,0.945745,2.298917,10.233207,1.705235,2.06381,10.008479,0.613113,2.263851
10.075998,0.945701,2.299203,10.233648,1.704645,2.062467,10.008303,0.613983,2.264682
10.076478,0.945245,2.298912,10.235174,1.701792,2.059129,10.008526,0.613462,2.264326
10.07658,0.945908,2.300656,10.236894,1.69789,2.055749,10.008463,0.613691,2.264564
10.07654,0.946292,2.301809,10.238317,1.697834,2.055336,10.008578,0.612863,2.263445
10.07654,0.946292,2.301809,10.240029,1.694106,2.052452,10.008333,0.613962,2.264826
10.076632,0.945679,2.302624,10.240931,1.692321,2.050643,10.008578,0.612863,2.263445
10.076714,0.944337,2.302122,10.241079,1.69186,2.050623,10.008382,0.613176,2.263731
10.076734,0.944677,2.303561,10.241315,1.69018,2.048651,10.008448,0.613134,2.263707
10.076682,0.944332,2.303399,10.241865,1.687768,2.046236,10.008123,0.613718,2.264255
10.076857,0.944043,2.304519,10.242539,1.68665,2.045272,10.008496,0.613483,2.264182
10.077702,0.942803,2.304908,10.242882,1.686074,2.045157,10.008619,0.613212,2.264232
10.0777,0.942775,2.306326,10.243232,1.685325,2.044547,10.008592,0.61342,2.264302
10.078066,0.941991,2.307006,10.243986,1.684396,2.042115,10.008595,0.613233,2.263776
10.07784,0.941362,2.307529,10.244144,1.684299,2.042186,10.008868,0.613248,2.264109
10.077857,0.940583,2.307775,10.244752,1.683039,2.041059,10.008838,0.613269,2.263965
10.078072,0.937331,2.310893,10.244881,1.682783,2.0408,10.008914,0.612649,2.26354
10.07853,0.936508,2.310582,10.245544,1.681697,2.039103,10.008914,0.612649,2.26354
10.078805,0.93579,2.310834,10.246023,1.680692,2.038233,10.008754,0.612941,2.263658
10.079293,0.934945,2.310666,10.246593,1.679845,2.036629,10.009142,0.612128,2.262871
10.079089,0.934683,2.311209,10.247177,1.677272,2.032815,10.008795,0.612341,2.263401
10.079549,0.933312,2.311283,10.248025,1.675311,2.031573,10.009349,0.612185,2.263229
10.079375,0.933028,2.311968,10.248829,1.673936,2.03035,10.009069,0.61122,2.262163
10.079509,0.93203,2.311629,10.249401,1.672295,2.030029,10.008987,0.611841,2.262901
10.079754,0.931334,2.311738,10.250987,1.668818,2.0274,10.00904,0.61219,2.263064
10.079805,0.930014,2.311093,10.25189,1.667425,2.024944,10.00913,0.611178,2.262451
10.079898,0.929401,2.311908,10.252296,1.666452,2.024406,10.00936,0.611606,2.262828
10.079817,0.929078,2.311603,10.252868,1.665208,2.023443,10.009137,0.612127,2.263184
10.080113,0.927062,2.311068,10.252838,1.662832,2.021263,10.009134,0.61194,2.26297
10.080061,0.926716,2.310906,10.253612,1.661298,2.019709,10.009308,0.612205,2.263709
10.079715,0.926175,2.310858,10.253407,1.660604,2.018438,10.009117,0.611569,2.262639
10.080246,0.924399,2.309923,10.253333,1.660637,2.01877,10.009081,0.61159,2.262807
10.080164,0.924076,2.309618,10.25361,1.660316,2.017847,10.00924,0.611298,2.262689
10.08003,0.923407,2.30915,10.253731,1.660234,2.018084,10.009317,0.610677,2.262264
10.079817,0.921869,2.308765,10.253286,1.659845,2.01757,10.009141,0.611548,2.263095
10.079683,0.9212,2.308296,10.252545,1.657369,2.016533,10.009334,0.611048,2.262595
10.079367,0.920637,2.308392,10.252342,1.658054,2.016481,10.008997,0.611262,2.2625
10.079418,0.919317,2.307749,10.252102,1.658359,2.017237,10.009416,0.610427,2.261857
10.079254,0.917003,2.306332,10.251564,1.656435,2.01624,10.009529,0.610734,2.262309
10.078558,0.9148,2.305043,10.250254,1.658802,2.019236,10.009469,0.610777,2.26202
10.078274,0.913671,2.305671,10.249978,1.659123,2.020159,10.009403,0.610819,2.262045
10.078098,0.910625,2.302936,10.249367,1.659007,2.02007,10.009509,0.610177,2.261763
10.076609,0.904038,2.297537,10.248963,1.658348,2.021263,10.009334,0.611048,2.262595
10.076496,0.902069,2.296282,10.248595,1.658908,2.022279,10.009463,0.610776,2.262333
10.076443,0.900055,2.295312,10.248013,1.65895,2.02252,10.009311,0.610677,2.262576
10.075981,0.898089,2.29362,10.247457,1.655156,2.020668,10.009504,0.610176,2.262076
10.076114,0.895424,2.292475,10.245258,1.656747,2.022636,10.009437,0.610218,2.2621
10.075949,0.893108,2.291056,10.24388,1.657991,2.023605,10.009219,0.61016,2.262367
10.075703,0.892135,2.290139,10.243899,1.657784,2.023843,10.009531,0.609968,2.262006
10.075547,0.891096,2.289649,10.24249,1.656255,2.023276,10.009751,0.609633,2.262176
10.075097,0.889862,2.289276,10.241177,1.655026,2.023205,10.009706,0.609097,2.261175
10.075096,0.888194,2.288469,10.239382,1.651729,2.019839,10.009608,0.610296,2.262626
10.074828,0.886852,2.28753,10.237892,1.649947,2.017141,10.009571,0.609368,2.261749
10.074387,0.885253,2.285858,10.236909,1.650249,2.016837,10.009665,0.609117,2.261655
10.073925,0.883285,2.284165,10.235816,1.649364,2.017043,10.009629,0.609138,2.261824
10.073154,0.880363,2.28269,10.235319,1.650181,2.018319,10.009698,0.60891,2.261274
10.072916,0.877329,2.281086,10.234212,1.650486,2.020149,10.009935,0.608945,2.261775
10.072387,0.874253,2.279331,10.232902,1.648544,2.018994,10.010028,0.608695,2.261681
10.070385,0.864894,2.275033,10.231581,1.646634,2.017104,10.009932,0.608758,2.261562
10.069782,0.859511,2.27629,10.230585,1.646495,2.019082,10.009861,0.609749,2.262943
10.069369,0.857863,2.276182,10.229035,1.644442,2.023629,10.01012,0.609207,2.262419
10.068826,0.856667,2.276802,10.227383,1.641841,2.022604,10.010067,0.609227,2.263525
10.068566,0.854934,2.275987,10.226328,1.640096,2.02201,10.010199,0.608769,2.262737
10.068005,0.854494,2.277782,10.224712,1.637479,2.020819,10.010075,0.60941,2.263955
10.067391,0.853708,2.279415,10.223122,1.63403,2.018091,10.010513,0.60913,2.264388
10.066982,0.853184,2.280504,10.221253,1.628286,2.015078,10.010291,0.608885,2.264443
10.065888,0.852856,2.28243,10.219898,1.62569,2.013951,10.010207,0.609322,2.264437
10.064557,0.852835,2.28437,10.218522,1.625304,2.01558,10.009938,0.609098,2.265284
10.063932,0.851316,2.284684,10.216143,1.620409,2.01311,10.010084,0.609198,2.265354
10.062722,0.84956,2.284964,10.213919,1.613993,2.018095,10.010178,0.608948,2.265261
10.061745,0.846373,2.284034,10.211016,1.611116,2.026412,10.010104,0.609755,2.265899
10.061003,0.843424,2.282702,10.210543,1.611022,2.028516,10.010299,0.608493,2.264567
10.058709,0.833469,2.278646,10.209215,1.610588,2.030715,10.010324,0.608101,2.263754
10.058072,0.828084,2.281189,10.208177,1.608635,2.030361,10.010259,0.609096,2.264293
10.057811,0.82635,2.280375,10.2062,1.604318,2.029068,10.010386,0.608642,2.263288
10.056977,0.825116,2.280848,10.204136,1.599218,2.026734,10.010512,0.608557,2.263552
10.056409,0.822451,2.278829,10.202608,1.597065,2.026526,10.008149,0.602404,2.252406
10.055524,0.820894,2.277716,10.19985,1.592451,2.024286,10.007926,0.602926,2.252762
10.054001,0.819696,2.279286,10.197975,1.592435,2.025912,10.004649,0.597992,2.238072
10.053687,0.817615,2.27831,10.196972,1.590467,2.025394,10.004735,0.597216,2.234977
10.052671,0.816487,2.279347,10.195578,1.586646,2.024447,10.001276,0.609463,2.245146
10.051948,0.81388,2.279459,10.194158,1.584446,2.023745,10.002078,0.612623,2.248102
10.049401,0.806137,2.276371,10.192948,1.581385,2.022602,10.001788,0.609169,2.242749
10.048005,0.802808,2.276405,10.192025,1.577968,2.021268,10.000881,0.615247,2.249332
10.0472,0.799875,2.276211,10.190582,1.576203,2.022748,10.006184,0.593547,2.231962
10.047401,0.79366,2.277604,10.189263,1.570604,2.027124,10.005231,0.597883,2.229816
10.046913,0.791317,2.275892,10.187716,1.565858,2.024977,10.003987,0.600495,2.232343
10.047097,0.787301,2.274088,10.185898,1.560417,2.022626,10.001088,0.609781,2.22973
10.046039,0.784883,2.275471,10.185214,1.556293,2.021179,9.994358,0.603375,2.200361
