pt1_dltres,pt2_dltres,pt3_dltres
0.041718,0.261573,0.139043
0.145042,0.063076,0.284657
0.130389,0.093864,0.291010
0.150717,0.175118,0.297489
0.173194,0.178268,0.304683
0.167383,0.211044,0.303842
0.152730,0.237885,0.307026
0.153610,0.230755,0.295988
0.161434,0.127923,0.312003
0.182396,0.115157,0.294179
0.182396,0.041697,0.314346
0.235308,0.025102,0.294179
0.258417,0.001411,0.282849
0.264726,0.011334,0.296522
0.255884,0.001511,0.287534
0.310311,0.025345,0.288668
0.308023,0.041288,0.287293
0.298164,0.027860,0.309661
0.294996,0.083912,0.279006
0.296760,0.117229,0.289803
0.249771,0.099059,0.282483
0.015326,0.096689,0.288961
0.000036,0.112472,0.288961
0.018848,0.096673,0.283983
0.003769,0.121142,0.276956
0.014165,0.080213,0.284108
0.073768,0.029666,0.274080
0.084376,0.051131,0.271262
0.116327,0.022310,0.265751
0.142465,0.093395,0.256930
0.172901,0.061034,0.285902
0.225815,0.089465,0.266886
0.224301,0.113950,0.277923
0.280876,0.076570,0.248235
0.272036,0.090793,0.268694
0.303110,0.058756,0.263409
0.334424,0.071388,0.257055
0.332910,0.048494,0.262033
0.322556,0.021492,0.268511
0.385582,0.006034,0.271695
0.375228,0.031962,0.253338
0.398977,0.070655,0.258556
0.429414,0.054077,0.258849
0.447985,0.022610,0.264668
0.456840,0.018679,0.250029
0.548158,0.004216,0.236356
0.536927,0.007296,0.250154
0.470027,0.017537,0.253338
0.497440,0.003329,0.250995
0.510201,0.050529,0.269478
0.493796,0.150867,0.251120
0.547350,0.177849,0.237447
0.565925,0.174213,0.242257
0.561385,0.152892,0.228752
0.534868,0.137673,0.248369
0.548268,0.200145,0.225568
0.569870,0.198309,0.228218
0.549166,0.095617,0.228877
0.548928,0.055500,0.220182
0.532524,0.027191,0.213829
0.516384,0.015352,0.196846
0.509959,0.033938,0.201290
0.445065,0.087218,0.192595
0.309762,0.148546,0.171602
0.113551,0.227848,0.151884
0.096145,0.506502,0.147200
0.121684,0.544974,0.143747
0.077498,0.487255,0.110750
0.140170,0.519413,0.099852
0.194006,0.473582,0.042044
0.229897,0.426567,0.017165
0.282861,0.377094,0.054582
0.286196,0.398953,0.025283
0.310231,0.371836,0.007768
0.315722,0.637781,0.000928
0.317554,0.971271,0.022283
0.294115,0.887328,0.040625
0.175327,0.894849,0.061185
0.023331,0.858486,0.113117
0.067505,0.823818,0.153702
0.100411,0.730122,0.182015
0.134465,0.655271,0.036514
0.166369,0.484384,0.047552
0.083799,0.389443,0.306525
0.136803,0.346774,0.420156
0.135592,0.272941,0.390049
0.152685,0.179144,0.375614
0.220785,0.153423,0.480543
0.159523,0.096760,1.132392
0.178114,0.129947,0.201347
0.345669,0.436716,0.517885
0.378200,0.345882,0.540414
0.294151,0.227626,0.244493
0.250316,0.203374,0.754721
0.237224,0.162976,1.347730
0.224701,0.130552,0.266349
0.290275,0.069178,0.524452
0.364287,0.097561,0.529402
0.221519,0.124951,0.668741
