pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
322.058559,548.184837,325.695587,382.461900,319.140860,522.197204,347.309892,359.619996,324.347776,558.124814,312.431845,389.958395
321.990000,547.980000,325.980000,382.000000,318.915484,522.140860,347.309892,359.619996,324.010000,558.000000,312.431845,389.958395
322.000000,548.000000,325.960000,382.000000,318.971828,522.140860,347.140860,359.676340,324.040000,558.000000,312.431845,389.958395
322.000000,547.990000,325.940000,381.980000,318.971828,522.140860,347.140860,359.676340,324.010000,558.010000,312.431845,390.118642
322.000000,547.990000,325.930000,381.970000,318.971828,522.140860,347.140860,359.732684,324.020000,558.010000,312.431845,390.118642
322.010000,548.000000,325.910000,381.980000,319.028172,522.140860,347.140860,359.732684,324.030000,558.020000,312.756388,390.278889
322.020000,548.000000,325.920000,381.980000,318.971828,522.084516,347.140860,359.732684,324.040000,558.010000,312.756388,390.278889
322.040000,548.040000,325.890000,381.980000,319.028172,522.197204,347.140860,359.732684,324.040000,558.020000,312.756388,390.118642
322.040000,548.040000,325.900000,381.950000,319.028172,522.197204,347.140860,359.732684,324.040000,558.030000,312.648207,390.118642
322.040000,548.020000,325.880000,381.960000,319.028172,522.197204,347.140860,359.732684,324.060000,558.020000,312.648207,389.798149
322.060000,548.100000,325.860000,381.950000,319.028172,522.253548,347.140860,359.732684,324.070000,558.040000,312.756388,389.798149
322.060000,548.050000,325.830000,381.970000,318.971828,522.309892,346.690108,359.732684,324.070000,558.050000,312.756388,389.798149
322.080000,548.070000,325.820000,381.970000,318.915484,522.366236,346.690108,359.732684,324.090000,558.070000,312.756388,389.798149
322.090000,548.080000,325.820712,382.169902,318.915484,522.366236,346.577420,359.676340,324.100000,558.080000,312.756388,389.798149
322.090000,548.090000,325.820712,382.106595,318.915484,522.422580,346.464732,359.676340,324.100000,558.100000,312.323664,389.958395
322.120000,548.120000,325.735236,382.169902,318.915484,522.535268,346.408388,359.676340,324.150000,558.130000,312.323664,389.958395
322.130000,548.160000,325.692498,382.169902,318.915484,522.535268,346.295700,359.676340,324.140000,558.150000,312.323664,389.637902
322.160000,548.150000,325.649759,382.296517,318.915484,522.760644,346.126668,359.676340,324.170000,558.200000,312.756388,389.798149
322.160000,548.190000,325.521545,382.296517,318.915484,522.760644,345.844948,359.619996,324.190000,558.250000,312.756388,389.798149
322.200000,548.260000,325.521545,382.296517,318.859140,522.929676,345.675916,359.619996,324.230000,558.350000,312.756388,389.798149
322.210000,548.270000,325.478807,382.359824,318.859140,522.929676,345.394196,359.676340,324.240000,558.390000,312.540026,389.798149
322.230000,548.350000,325.436068,382.359824,318.859140,522.929676,345.619572,359.789028,324.270000,558.490000,312.540026,389.798149
322.270000,548.450000,325.393330,382.423132,318.859140,522.929676,345.619572,359.789028,324.340000,558.700000,312.431845,389.798149
322.330000,548.760000,325.307854,382.549747,318.971828,522.929676,345.450540,359.845372,324.370000,558.720000,312.431845,389.637902
322.360000,548.770000,325.265115,382.549747,319.028172,522.929676,345.225164,360.014404,324.420000,558.760000,312.431845,389.637902
322.380000,548.810000,325.265115,382.549747,319.084516,522.929676,345.394196,359.958060,324.440000,558.790000,312.431845,389.637902
322.410000,548.870000,325.179639,382.549747,319.084516,522.986020,345.337852,360.014404,324.490000,558.830000,312.431845,389.637902
322.510000,548.960000,325.094163,382.676361,319.084516,523.042364,345.543584,359.959935,324.720000,558.870000,312.431845,389.637902
322.590000,549.010000,324.923210,382.739669,318.971828,522.873332,345.376828,359.959935,324.770000,558.920000,312.431845,389.637902
322.640000,549.050000,324.794995,382.929591,319.028172,522.929676,345.293449,360.043314,324.810000,558.950000,312.431845,389.798149
322.670000,549.100000,324.666781,383.056206,319.028172,522.929676,345.043314,360.210071,324.860000,558.990000,312.431845,389.958395
322.720000,549.190000,324.581304,383.119513,319.028172,522.929676,344.959935,360.210071,324.888681,558.605554,312.431845,389.958395
322.780000,549.340000,324.495828,383.309435,319.028172,522.986020,344.709800,360.293449,324.672319,558.605554,312.431845,389.958395
322.820000,549.430000,324.495828,383.372743,319.028172,522.986020,344.543043,360.460206,324.347776,558.124814,312.431845,389.958395
322.860000,549.710000,324.410351,383.499358,319.028172,522.986020,344.126151,360.543584,324.780500,558.765801,312.431845,390.118642
322.890000,549.810000,324.239398,383.815895,319.028172,523.042364,344.126151,360.543584,324.564138,558.445308,312.431845,390.118642
322.920000,549.860000,324.111184,383.815895,319.028172,523.042364,344.126151,360.543584,324.564138,558.445308,312.431845,390.278889
322.940000,549.930000,323.860000,383.910000,319.028172,523.155052,344.126151,360.460206,324.564138,558.445308,312.648207,390.278889
322.950000,549.990000,323.770000,383.990000,319.028172,523.155052,344.126151,360.460206,324.564138,558.285061,312.648207,390.278889
322.970000,550.080000,323.720000,384.030000,319.028172,523.155052,344.042772,360.460206,324.564138,557.964567,312.431845,390.278889
322.970000,550.190000,323.610000,384.100000,319.028172,523.155052,344.042772,360.460206,324.455957,557.964567,312.540026,390.278889
322.970000,550.360000,323.490000,384.150000,319.028172,523.211396,343.876015,360.543584,324.455957,557.964567,312.540026,390.278889
322.970000,550.790000,323.240000,384.300000,319.028172,523.267740,343.709258,360.626963,324.455957,557.964567,312.540026,390.278889
322.990000,550.930000,323.170000,384.320000,319.028172,523.324084,343.542501,360.710341,324.455957,557.964567,312.540026,390.278889
322.970000,550.970000,323.020000,384.410000,319.028172,523.324084,343.459123,360.793720,324.455957,557.964567,312.540026,390.278889
322.950000,551.050000,322.910000,384.470000,318.961458,523.224519,343.208988,360.793720,324.455957,557.964567,312.540026,390.439136
322.950000,551.130000,322.690000,384.730000,319.008358,523.224519,343.208988,360.793720,324.672319,558.124814,312.431845,390.439136
322.960000,551.280000,322.370000,384.910000,319.008358,523.271420,342.958852,360.793720,324.564138,558.124814,312.540026,390.278889
322.960000,551.440000,322.230000,384.980000,319.055259,523.318320,342.958852,360.877098,324.564138,558.124814,312.540026,390.278889
322.970000,551.940000,322.180000,385.000000,319.055259,523.365220,342.708717,360.960477,324.672319,558.285061,312.540026,390.278889
322.910000,551.990000,322.070000,385.060000,319.149059,523.459021,342.792095,361.127234,324.672319,558.285061,312.540026,390.278889
322.950000,552.170000,321.970000,385.100000,319.149059,523.505921,342.958852,360.710341,324.672319,558.285061,312.540026,390.278889
322.950000,552.300000,321.840000,385.160000,319.149059,523.599722,342.958852,360.710341,324.672319,558.285061,312.648207,390.278889
322.930000,552.540000,321.690000,385.240000,319.149059,523.693523,342.958852,360.710341,324.564138,558.124814,312.648207,390.278889
322.940000,552.950000,321.570000,385.290000,319.195960,523.740423,342.041689,360.793720,324.564138,558.124814,312.648207,390.118642
322.910000,553.020000,321.240000,385.510000,319.242860,523.787324,341.874932,360.793720,324.888681,558.124814,312.756388,390.118642
322.930000,553.090000,321.010000,385.730000,319.383561,523.834224,341.458040,360.877098,324.780500,557.964567,312.756388,390.118642
