pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.023031,0.059090,0.062048,0.021191,0.050834,0.058240,0.024144,0.061599,0.063380
0.023034,0.056823,0.062531,0.022755,0.056884,0.063395,0.022099,0.058963,0.066070
0.021970,0.059457,0.066978,0.021721,0.051554,0.056606,0.023858,0.060390,0.066320
0.020721,0.061152,0.065305,0.021961,0.056285,0.068360,0.023907,0.061561,0.066420
0.022927,0.060256,0.063674,0.021602,0.056680,0.062939,0.022561,0.066158,0.072525
0.020126,0.060143,0.064733,0.022046,0.058375,0.060439,0.022171,0.063273,0.063178
0.021621,0.062447,0.068973,0.021808,0.053859,0.064108,0.025037,0.058707,0.061189
0.023933,0.061476,0.064651,0.022991,0.059874,0.067634,0.025944,0.057411,0.066168
0.024382,0.056635,0.061008,0.020766,0.053319,0.057642,0.023882,0.059108,0.061686
0.022391,0.057818,0.064391,0.022128,0.060252,0.069861,0.022837,0.057796,0.058736
0.021700,0.059094,0.061285,0.021082,0.061465,0.062509,0.023532,0.062281,0.068835
0.023744,0.056607,0.063641,0.021733,0.057908,0.064638,0.023069,0.059847,0.063339
0.022607,0.055474,0.060025,0.021715,0.058302,0.068746,0.023904,0.060156,0.063151
0.023517,0.055741,0.062169,0.022270,0.057243,0.064478,0.022855,0.063356,0.065892
0.024163,0.055582,0.062616,0.021988,0.058933,0.062455,0.022505,0.062390,0.067433
0.020760,0.057293,0.058261,0.022460,0.057973,0.065041,0.023523,0.060337,0.065174
0.023516,0.058284,0.064083,0.022327,0.056269,0.061821,0.022057,0.060297,0.061036
0.021712,0.059124,0.059712,0.024622,0.056198,0.062250,0.023583,0.066365,0.069392
0.020969,0.059463,0.064660,0.023363,0.056575,0.064709,0.023862,0.059223,0.064771
0.021034,0.057284,0.063121,0.021493,0.057085,0.064983,0.022749,0.064181,0.069992
0.024270,0.056525,0.061700,0.021349,0.054492,0.061241,0.022547,0.059875,0.064925
0.022591,0.059696,0.066445,0.023495,0.061956,0.063960,0.023229,0.061922,0.065304
0.022227,0.057982,0.060894,0.021939,0.057717,0.067412,0.022611,0.060345,0.065849
0.021876,0.057100,0.062205,0.020229,0.051580,0.059369,0.021140,0.057530,0.063371
0.022402,0.055954,0.065729,0.020473,0.055378,0.063102,0.021115,0.062509,0.064665
0.022587,0.057002,0.057837,0.021455,0.057599,0.065326,0.022561,0.060856,0.066125
0.021951,0.059913,0.065259,0.022814,0.060385,0.070732,0.024373,0.057711,0.063250
0.020713,0.062382,0.064423,0.022372,0.054671,0.060446,0.025445,0.055011,0.061890
0.020850,0.055824,0.060110,0.021816,0.053168,0.059679,0.021852,0.063744,0.068233
0.023403,0.055306,0.061074,0.022580,0.057810,0.062319,0.022588,0.064550,0.069037
0.022376,0.064740,0.067592,0.022516,0.051218,0.059472,0.024225,0.065254,0.068835
0.024232,0.055572,0.061141,0.021766,0.051974,0.057452,0.021774,0.064144,0.067480
0.021862,0.057784,0.064376,0.021340,0.053073,0.057381,0.022496,0.067469,0.072735
0.022546,0.060914,0.066224,0.022281,0.052827,0.059458,0.022281,0.066225,0.070670
0.023598,0.061638,0.067454,0.022611,0.054811,0.067247,0.024111,0.064089,0.068072
0.022196,0.056315,0.064925,0.023685,0.056068,0.064952,0.023728,0.061308,0.063742
0.022313,0.059881,0.065105,0.022112,0.051853,0.060119,0.022298,0.057285,0.063710
0.021835,0.057210,0.062478,0.021852,0.056188,0.062532,0.024086,0.062779,0.068109
0.023528,0.059340,0.063639,0.021678,0.059722,0.063093,0.023105,0.060423,0.066470
0.022167,0.056063,0.060690,0.022844,0.053329,0.061340,0.022477,0.060961,0.064542
0.023642,0.057452,0.059784,0.021868,0.058252,0.063067,0.023435,0.061010,0.066319
0.021557,0.055499,0.059998,0.020616,0.058096,0.062260,0.022075,0.065641,0.064724
0.023951,0.058410,0.061925,0.021167,0.058742,0.065940,0.025754,0.063335,0.069848
0.024376,0.056293,0.059422,0.023512,0.055463,0.063031,0.022268,0.064402,0.069299
0.023546,0.055346,0.059384,0.022838,0.057560,0.065263,0.022543,0.056879,0.060383
0.023855,0.054265,0.061965,0.023460,0.056422,0.061124,0.022123,0.061508,0.067248
0.023451,0.063145,0.068302,0.021722,0.058315,0.063749,0.022449,0.064307,0.067338
0.022128,0.059401,0.063886,0.022073,0.052895,0.057131,0.021643,0.060193,0.063963
0.021863,0.058497,0.065130,0.021298,0.056277,0.062148,0.022723,0.062933,0.071542
0.022785,0.056253,0.060074,0.023243,0.057629,0.063281,0.021918,0.061256,0.066260
0.022051,0.056991,0.061733,0.022019,0.059349,0.061758,0.022648,0.056829,0.060562
0.023222,0.061320,0.065043,0.023756,0.053062,0.061656,0.022683,0.055369,0.059586
0.022626,0.059528,0.064668,0.021928,0.059066,0.068427,0.022217,0.060894,0.067958
0.023233,0.060446,0.062897,0.022790,0.057542,0.059715,0.023009,0.058983,0.060377
0.021602,0.057508,0.058901,0.022715,0.062015,0.065318,0.023455,0.064180,0.070101
0.022192,0.056786,0.060514,0.022845,0.054512,0.063417,0.024003,0.061447,0.069852
0.020680,0.058111,0.063223,0.021826,0.054064,0.061433,0.022563,0.060922,0.064474
0.021697,0.055507,0.059438,0.020897,0.057668,0.065367,0.024605,0.062227,0.068674
0.023180,0.055956,0.059960,0.023808,0.054910,0.060460,0.024128,0.065872,0.068813
0.020934,0.061196,0.064226,0.022011,0.055148,0.063553,0.022682,0.063652,0.067775
0.024805,0.058974,0.062319,0.022129,0.051271,0.061432,0.022709,0.060388,0.065995
0.022828,0.056319,0.062255,0.024768,0.054921,0.061894,0.023843,0.063987,0.067717
0.022683,0.055953,0.062993,0.022390,0.054198,0.059147,0.023213,0.062667,0.066825
0.022716,0.058001,0.064479,0.022664,0.053511,0.058394,0.024743,0.067413,0.073598
0.022485,0.054827,0.061748,0.023406,0.060641,0.066370,0.023517,0.063625,0.068207
0.021347,0.058763,0.064036,0.023013,0.055883,0.061415,0.020973,0.058574,0.062176
0.022744,0.054351,0.059937,0.023476,0.057970,0.061338,0.022012,0.062690,0.068075
0.022458,0.063666,0.065172,0.020931,0.059170,0.064818,0.022839,0.059204,0.061458
0.021438,0.060050,0.065112,0.021210,0.055343,0.064938,0.022110,0.060567,0.065213
0.023154,0.056477,0.063836,0.023702,0.054890,0.059400,0.023503,0.065381,0.068584
0.022332,0.056223,0.061207,0.022897,0.059035,0.059571,0.023297,0.059898,0.064910
0.021247,0.064588,0.069860,0.021424,0.058493,0.062283,0.022702,0.062950,0.071179
0.022106,0.056920,0.063238,0.021064,0.058995,0.064637,0.021749,0.063064,0.065787
0.022122,0.053701,0.060078,0.023388,0.055801,0.061734,0.023346,0.061262,0.063638
0.022293,0.059694,0.066004,0.023829,0.059405,0.068685,0.025295,0.064204,0.068886
0.021071,0.060538,0.063934,0.020817,0.052961,0.058386,0.022916,0.062286,0.066364
0.021679,0.057671,0.063562,0.020819,0.054802,0.060433,0.025554,0.063160,0.069318
0.023515,0.060922,0.063767,0.020928,0.059876,0.067787,0.022252,0.060502,0.064785
0.022495,0.065155,0.067718,0.021932,0.054122,0.061804,0.024844,0.059046,0.060128
0.022980,0.059950,0.061417,0.021635,0.056833,0.062275,0.025647,0.065549,0.071363
0.023489,0.062567,0.066630,0.022638,0.056372,0.061443,0.025394,0.066581,0.069757
0.021552,0.057506,0.061771,0.023387,0.058328,0.066368,0.022241,0.065036,0.068225
0.023753,0.060816,0.062515,0.023756,0.058980,0.065036,0.023873,0.063181,0.068417
0.021498,0.058983,0.062324,0.022184,0.054208,0.059160,0.023347,0.058003,0.062602
0.022280,0.056195,0.063947,0.023766,0.060672,0.068657,0.023304,0.058657,0.064704
0.021120,0.059871,0.064755,0.021699,0.055175,0.060350,0.022982,0.063333,0.067271
0.023560,0.059477,0.061754,0.022087,0.056012,0.063674,0.023674,0.061924,0.068336
0.022198,0.060160,0.060977,0.022163,0.054076,0.063522,0.022620,0.063280,0.069558
0.022018,0.057609,0.060298,0.022418,0.053732,0.060712,0.023606,0.063427,0.066687
0.020362,0.063331,0.066880,0.020439,0.057126,0.066136,0.025527,0.062045,0.064499
0.023352,0.057155,0.064697,0.024392,0.058341,0.069678,0.023356,0.063048,0.067308
0.022688,0.061347,0.065035,0.021970,0.059945,0.067253,0.023055,0.061623,0.068629
0.022182,0.059080,0.063003,0.022787,0.057842,0.062874,0.023934,0.062420,0.069029
0.024049,0.059431,0.062554,0.022759,0.059055,0.065420,0.024816,0.060523,0.067222
0.024531,0.059202,0.064940,0.021514,0.055749,0.062270,0.022175,0.057352,0.061733
0.024078,0.057378,0.061155,0.022040,0.056474,0.064399,0.024641,0.065266,0.068798
0.021191,0.061996,0.064356,0.023309,0.055788,0.063197,0.023508,0.059181,0.067923
0.023024,0.060681,0.067338,0.022951,0.057851,0.064255,0.024121,0.066274,0.071133
0.022471,0.063576,0.067590,0.023033,0.058040,0.065558,0.023130,0.061089,0.066123
0.026325,0.056118,0.061649,0.020759,0.060624,0.069253,0.024958,0.061889,0.068900
