pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
10.908058,1.055255,2.460196,10.675991,1.688705,2.350671,11.099523,0.597837,2.315981
10.909086,1.051631,2.460056,10.676117,1.687112,2.351047,11.098456,0.596658,2.317403
10.910124,1.048011,2.459901,10.676281,1.685471,2.351344,11.097416,0.595507,2.318769
10.911171,1.044395,2.459730,10.676482,1.683784,2.351562,11.096404,0.594385,2.320080
10.912227,1.040782,2.459544,10.676721,1.682051,2.351702,11.095419,0.593291,2.321335
10.913292,1.037174,2.459343,10.676997,1.680270,2.351763,11.094462,0.592226,2.322535
10.914365,1.033568,2.459126,10.677311,1.678443,2.351745,11.093533,0.591189,2.323680
10.915448,1.029967,2.458894,10.677662,1.676568,2.351649,11.092631,0.590180,2.324769
10.916540,1.026369,2.458646,10.678051,1.674647,2.351474,11.091757,0.589200,2.325802
10.917641,1.022775,2.458384,10.678477,1.672680,2.351220,11.090911,0.588249,2.326781
10.918751,1.019184,2.458105,10.678941,1.670665,2.350888,11.090092,0.587325,2.327703
10.919870,1.015597,2.457812,10.679442,1.668604,2.350477,11.089301,0.586430,2.328571
10.920998,1.012014,2.457503,10.679981,1.666495,2.349987,11.088537,0.585564,2.329383
10.922135,1.008435,2.457179,10.680557,1.664340,2.349418,11.087802,0.584726,2.330139
10.923281,1.004859,2.456839,10.681171,1.662139,2.348771,11.087093,0.583916,2.330840
10.924436,1.001287,2.456484,10.681822,1.659890,2.348045,11.086413,0.583135,2.331486
10.925600,0.997718,2.456114,10.682511,1.657595,2.347241,11.085760,0.582383,2.332076
10.926773,0.994154,2.455728,10.683237,1.655252,2.346357,11.085134,0.581658,2.332611
10.927955,0.990593,2.455327,10.684001,1.652863,2.345395,11.084537,0.580962,2.333090
10.929146,0.987035,2.454911,10.684803,1.650428,2.344355,11.083967,0.580295,2.333514
10.930346,0.983482,2.454479,10.685642,1.647945,2.343235,11.083424,0.579656,2.333882
