pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
10.923516,1.010956,2.463418,10.668739,1.677846,2.356579,11.087672,0.578133,2.320341
10.921352,1.020199,2.462234,10.670249,1.685033,2.362621,11.089714,0.58967,2.329051
10.921607,1.01931,2.461706,10.671848,1.679095,2.357561,11.089502,0.588669,2.328117
10.921927,1.018773,2.460728,10.671848,1.679095,2.357561,11.089114,0.589975,2.331861
10.922101,1.018494,2.46031,10.671636,1.679187,2.35848,11.089043,0.589642,2.33155
10.92229,1.017644,2.459803,10.671218,1.677422,2.356769,11.083879,0.598283,2.342395
10.922083,1.01758,2.459751,10.671473,1.679318,2.357683,11.083781,0.597972,2.34194
10.922457,1.016061,2.45895,10.67138,1.677291,2.357566,11.084436,0.597624,2.33942
10.922437,1.016267,2.458712,10.67138,1.677291,2.357566,11.085961,0.594712,2.336782
10.922614,1.015807,2.458082,10.67138,1.677291,2.357566,11.087047,0.593417,2.33069
10.923004,1.014443,2.457944,10.671543,1.67716,2.358363,11.085534,0.595932,2.333452
10.923194,1.013806,2.456793,10.678069,1.667416,2.349481,11.085562,0.59591,2.333597
10.923241,1.012852,2.456213,10.678649,1.669051,2.35199,11.085476,0.595201,2.333264
10.92242,1.012891,2.459345,10.680349,1.666114,2.348222,11.085433,0.594846,2.333098
10.922691,1.012753,2.45845,10.681999,1.663137,2.346171,11.090854,0.58356,2.324911
10.923475,1.009598,2.456828,10.683068,1.661452,2.346342,11.090584,0.581828,2.323788
10.924095,1.008071,2.456009,10.684556,1.658605,2.343492,11.091966,0.58147,2.319063
10.923944,1.006236,2.455938,10.687438,1.653812,2.342411,11.085271,0.592257,2.332658
10.925796,1.0028,2.453253,10.691373,1.646598,2.334364,11.085269,0.591484,2.33276
10.925705,1.001348,2.45303,10.694511,1.643702,2.334197,11.085263,0.589939,2.332965
10.925997,1.000002,2.45282,10.698024,1.636666,2.327984,11.0883,0.583735,2.327662
10.926658,0.998061,2.452266,10.694618,1.642551,2.335528,11.088366,0.582523,2.328179
10.926987,0.995543,2.452426,10.694618,1.642551,2.335528,11.089952,0.576853,2.326262
10.928098,0.990918,2.454934,10.695807,1.634827,2.32874,11.090422,0.575492,2.322963
10.92849,0.988804,2.453072,10.697732,1.627629,2.32408,11.090179,0.573741,2.321988
10.928458,0.988067,2.453033,10.695292,1.630045,2.325724,11.090121,0.573011,2.321802
10.929571,0.984728,2.450802,10.695987,1.62858,2.326017,11.089878,0.57126,2.320827
10.929777,0.979277,2.448931,10.693634,1.633568,2.331135,11.08836,0.5635,2.314249
10.93142,0.97221,2.443886,10.696186,1.63328,2.327947,11.088145,0.561728,2.31342
10.932183,0.967491,2.442781,10.696719,1.629405,2.326282,11.087318,0.560647,2.315265
10.933363,0.963285,2.441394,10.699398,1.623349,2.322675,11.086448,0.559211,2.316945
10.934173,0.95934,2.440015,10.700501,1.621239,2.320563,11.085178,0.559055,2.310463
10.934593,0.955174,2.441269,10.703659,1.614912,2.31639,11.08671,0.56628,2.317202
10.934314,0.953793,2.442372,10.705236,1.610967,2.314898,11.087672,0.578133,2.320341
10.935486,0.949879,2.445065,10.710442,1.600547,2.305702,11.085762,0.562652,2.31882
10.936656,0.944795,2.446425,10.710604,1.600413,2.306499,11.086404,0.570552,2.320908
10.938324,0.940348,2.442959,10.710604,1.600413,2.306499,11.085776,0.570877,2.323571
10.941431,0.933135,2.438501,10.711246,1.600006,2.306725,11.082779,0.576666,2.329144
10.942443,0.930469,2.438078,10.711246,1.600006,2.306725,11.082334,0.577009,2.326824
10.943078,0.928384,2.438139,10.712351,1.597893,2.304611,11.084438,0.571911,2.316618
10.944614,0.925391,2.438066,10.712351,1.597893,2.304611,11.083705,0.578416,2.322774
10.946531,0.921968,2.43827,10.714408,1.593673,2.302548,11.083705,0.578416,2.322774
10.95056,0.914759,2.44054,10.716465,1.589452,2.300485,11.083705,0.578416,2.322774
10.951685,0.912004,2.440483,10.718522,1.585231,2.298422,11.083705,0.578416,2.322774
10.953637,0.908801,2.439328,10.719312,1.583259,2.297677,11.083705,0.578416,2.322774
10.955271,0.906506,2.439275,10.722835,1.579255,2.291965,11.083077,0.578745,2.325442
