pt1_dltres,pt2_dltres,pt3_dltres
0.025913,0.153856,0.164846
0.170588,0.230346,0.307763
0.182198,0.296948,0.303254
0.182788,0.296948,0.401621
0.186772,0.332482,0.400119
0.184688,0.323739,0.417137
0.188536,0.374000,0.423018
0.214087,0.282222,0.314389
0.235365,0.282222,0.332119
0.209630,0.282222,0.134011
0.273341,0.240705,0.092626
0.216825,0.314082,0.085242
0.232282,0.281305,0.067469
0.115093,0.272308,0.058583
0.162453,0.257325,0.245512
0.129226,0.187553,0.215847
0.150291,0.214088,0.000097
0.057532,0.087805,0.040541
0.057154,0.118605,0.080465
0.114866,0.042575,0.160312
0.073814,0.144435,0.141124
0.125908,0.162440,0.219470
0.155806,0.162440,0.359935
0.293731,0.220292,0.480455
0.295694,0.371214,0.517502
0.328238,0.287148,0.542658
0.357130,0.294424,0.579703
0.338795,0.170115,0.643785
0.307979,0.351419,0.688213
0.195229,0.373370,0.615121
0.126813,0.537424,0.550912
0.140885,0.557053,0.271368
0.120767,0.626995,0.238870
0.153242,0.771416,0.164846
0.265996,0.922131,0.272185
0.104548,0.880604,0.003052
0.116110,0.880604,0.098198
0.052825,0.744969,0.047976
0.027110,0.744969,0.166293
0.059629,0.764594,0.453152
0.070952,0.764594,0.444292
0.136852,0.814899,0.444292
0.301157,0.865202,0.444292
0.378550,0.915503,0.444292
0.313257,0.987709,0.444292
0.305748,1.130304,0.545541
0.149314,1.123034,0.419833
0.073301,1.147332,0.309722
0.114556,1.158075,0.309722
0.460762,1.234952,0.175154
0.425083,1.236822,0.175154
0.515414,0.900097,0.175154
0.543187,0.830959,0.150042
0.631830,0.761820,0.284609
0.876401,0.988378,0.183359
0.707761,0.985776,0.109488
0.569947,1.080073,0.244053
0.631542,0.883968,0.362365
0.651092,0.810774,0.362365
0.856865,0.693561,0.564868
0.676602,0.554527,0.715689
0.723557,0.438090,0.715689
0.756660,0.403520,0.858309
0.813415,0.424526,1.159973
0.770344,0.592569,1.169818
0.721161,0.604921,0.470738
0.568522,0.241344,0.414903
0.366554,0.300185,0.355806
0.169076,0.437475,0.237487
0.070438,0.554919,0.077775
0.091474,0.309413,0.077775
0.083180,0.244359,0.141781
0.083515,0.205983,0.462576
0.165805,0.270984,0.462576
0.398589,0.272930,0.462576
0.453596,0.251528,0.572042
0.379579,0.243468,0.572042
0.407875,0.205089,0.588315
0.422724,0.205089,0.739185
0.421461,0.190056,1.066889
0.382077,0.300389,0.898873
0.355155,0.363197,0.697485
0.426718,0.297043,1.051818
0.376322,0.298121,1.481161
0.037190,0.192509,1.742969
0.060207,0.210569,1.979635
0.069507,0.052370,1.550732
0.150034,0.076570,1.095616
0.236762,0.136358,0.377007
0.222466,0.110232,0.856643
0.233433,0.084760,0.637931
0.265792,0.013904,0.409572
0.207315,0.289908,0.412651
0.190032,0.420158,0.470446
0.184139,0.150179,0.670031
0.163872,0.257968,0.391633
0.225029,0.197794,0.247078
0.299366,0.376477,0.069875
0.312730,0.498652,0.010180
0.370782,0.498652,0.564152
