pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
768.203363,385.681026,784.009287,480.113852,752.362266,361.509192,792.668873,455.245974,778.649366,407.249628,771.667182,499.596297
768.030000,386.030000,784.030000,480.030000,752.362266,361.509192,792.542099,455.372748,778.578216,407.284759,771.980000,500.000000
768.040000,386.070000,784.040000,480.090000,752.362266,361.509192,792.542099,455.372748,778.649366,407.073972,771.980000,500.010000
768.060000,386.090000,784.060000,480.160000,752.429044,361.375636,792.288551,455.499522,778.649366,407.073972,771.990000,500.030000
768.070000,386.140000,784.060000,480.240000,752.562600,361.175302,792.288551,455.499522,778.696799,407.038841,771.980000,500.020000
768.080000,386.160000,784.070000,480.280000,752.562600,361.175302,792.415325,455.499522,778.696799,407.038841,771.990000,500.010000
768.100000,386.220000,784.080000,480.350000,752.562600,361.175302,792.542099,455.245974,778.720516,406.933448,771.980000,500.020000
768.120000,386.270000,784.090000,480.390000,752.629378,361.175302,792.542099,455.245974,778.720516,406.898317,771.980000,500.010000
768.130000,386.320000,784.100000,480.510000,752.629378,361.175302,792.542099,455.245974,778.720516,406.898317,771.980000,500.010000
768.150000,386.350000,784.060000,480.830000,752.629378,361.175302,792.542099,455.245974,778.720516,406.898317,771.980000,500.020000
768.160000,386.390000,784.060000,480.880000,752.599331,361.400669,792.415325,455.372748,778.744232,406.792923,771.980000,500.000000
768.160000,386.410000,784.070000,480.910000,752.599331,361.311631,792.668873,455.372748,778.767949,406.898317,771.970000,500.000000
768.180000,386.480000,784.080000,480.930000,752.599331,361.311631,792.542099,455.245974,778.791666,406.898317,771.970000,500.030000
768.240000,386.720000,784.100000,480.970000,752.599331,361.311631,792.542099,455.119200,778.791666,406.898317,771.980000,500.010000
768.260000,386.760000,784.120000,481.000000,752.777406,361.222594,792.542099,455.245974,778.815382,406.898317,771.990000,500.020000
768.270000,386.840000,784.130000,481.020000,752.777406,361.222594,792.542099,455.245974,778.815382,406.898317,771.960000,500.010000
768.300000,386.860000,784.150000,481.050000,752.777406,361.222594,792.542099,455.245974,778.815382,406.898317,771.980000,500.010000
768.270000,386.870000,784.170000,481.070000,752.777406,361.222594,792.542099,455.245974,778.815382,406.898317,771.990000,500.010000
768.290000,386.890000,784.160000,481.120000,752.777406,361.222594,792.542099,455.245974,778.815382,406.898317,771.990000,500.000000
768.300000,386.910000,784.160000,481.150000,752.777406,361.222594,792.795647,455.372748,778.815382,406.898317,771.980000,500.010000
768.320000,386.940000,784.150000,481.170000,752.777406,361.222594,792.795647,455.499522,778.839099,406.792923,772.000000,500.020000
768.330000,386.970000,784.150000,481.210000,752.866444,361.222594,792.922421,455.499522,778.839099,406.792923,771.980000,500.040000
768.330000,386.990000,784.130000,481.230000,752.866444,361.044519,793.049195,455.499522,778.839099,406.792923,771.980000,500.030000
768.350000,387.010000,784.120000,481.310000,752.866444,361.044519,792.922421,455.499522,778.839099,406.792923,771.990000,500.000000
768.370000,387.060000,784.140000,481.310000,752.866444,361.044519,792.922421,455.245974,778.839099,406.792923,772.000000,500.040000
768.380000,387.090000,784.120000,481.340000,752.599331,361.133556,792.922421,455.626296,778.839099,406.792923,771.980000,500.030000
768.390000,387.110000,784.110000,481.390000,752.688369,361.133556,792.795647,455.626296,778.839099,406.792923,772.010000,500.000000
768.410000,387.180000,784.100000,481.440000,752.777406,361.044519,792.795647,455.753070,778.981850,406.882896,771.970000,500.020000
768.450000,387.260000,784.090000,481.540000,752.777406,361.044519,792.795647,455.753070,778.950228,406.789213,772.000000,500.010000
768.520000,387.380000,784.030000,481.890000,752.777406,361.044519,792.795647,455.245974,778.950228,406.789213,771.980000,500.010000
768.680000,387.570000,784.050000,481.920000,752.777406,361.044519,792.542099,455.372748,778.950228,406.789213,771.950000,500.020000
768.750000,387.800000,784.030000,481.970000,752.866444,361.044519,792.795647,455.372748,778.950228,406.789213,771.990000,500.020000
768.790000,387.850000,784.030000,482.010000,752.955481,361.044519,792.795647,455.372748,778.950228,406.789213,771.990000,500.020000
768.820000,387.900000,784.010000,482.070000,753.222594,361.133556,792.795647,455.372748,778.950228,406.789213,771.980000,500.020000
768.840000,387.960000,784.000000,482.130000,753.222594,361.133556,792.795647,455.372748,778.950228,406.789213,771.980000,500.020000
768.850000,388.000000,784.000000,482.190000,753.311631,361.222594,792.795647,455.372748,778.950228,406.789213,771.980000,500.010000
768.890000,388.080000,783.990000,482.270000,753.400669,361.222594,792.795647,455.499522,778.950228,406.789213,771.980000,500.020000
768.920000,388.160000,783.980000,482.370000,753.489706,361.311631,792.795647,455.879844,778.981850,406.742372,771.990000,500.020000
768.950000,388.240000,783.970000,482.430000,753.489706,361.311631,792.668873,456.260166,778.981850,406.742372,771.980000,500.010000
768.990000,388.350000,783.930000,482.590000,753.489706,361.400669,792.542099,456.767263,778.981850,406.742372,771.990000,500.020000
769.010000,388.440000,783.870000,482.940000,753.578743,361.489706,792.643850,456.880212,778.981850,406.742372,771.990000,500.030000
769.090000,388.770000,783.880000,483.010000,753.578743,361.578743,792.485561,457.038501,778.981850,406.695530,772.000000,500.010000
769.120000,388.880000,783.890000,483.080000,753.667781,361.845856,792.485561,457.038501,778.981850,406.695530,771.980000,500.030000
769.190000,389.000000,783.890000,483.200000,753.667781,361.934893,792.485561,457.038501,779.013473,406.695530,771.980000,500.030000
769.270000,389.120000,783.890000,483.340000,753.845856,362.023931,792.485561,457.355079,779.013473,406.695530,771.990000,500.010000
769.340000,389.250000,783.880000,483.490000,753.845856,362.112968,792.406417,457.434223,779.013473,406.695530,771.990000,500.030000
769.390000,389.400000,783.820000,483.900000,753.934893,362.380080,792.406417,457.434223,779.045095,406.695530,771.990000,500.000000
769.570000,389.770000,783.810000,484.000000,753.934893,362.380080,792.327273,457.592512,779.045095,406.648689,772.000000,500.020000
769.740000,389.890000,783.810000,484.080000,754.023931,362.469118,792.327273,457.592512,779.045095,406.648689,771.980000,500.010000
769.820000,389.990000,783.810000,484.180000,754.023931,362.647193,792.327273,457.671656,779.045095,406.601847,772.000000,500.000000
769.900000,390.100000,783.790000,484.350000,754.023931,363.003343,792.327273,457.750801,779.045095,406.601847,771.980000,500.030000
769.960000,390.240000,783.650000,484.860000,754.291043,363.092380,792.327273,457.829945,779.045095,406.601847,771.980000,500.010000
770.040000,390.400000,783.660000,484.960000,754.380080,363.448530,792.327273,457.988234,779.076717,406.601847,771.990000,500.000000
770.190000,390.790000,783.650000,485.050000,754.736230,363.893717,792.248128,458.146523,779.076717,406.601847,771.990000,500.000000
770.290000,390.920000,783.610000,485.200000,754.914305,364.516979,792.248128,458.146523,779.076717,406.601847,771.960000,500.010000
770.420000,391.050000,783.590000,485.360000,755.003343,364.606017,792.248128,458.383956,779.076717,406.601847,771.970000,500.020000
770.660000,391.270000,783.380000,485.990000,755.092380,364.695054,792.248128,458.542245,779.076717,406.601847,771.990000,500.010000
770.780000,391.500000,783.230000,486.400000,755.359492,365.051204,792.168984,458.858822,779.076717,406.601847,771.960000,500.030000
770.940000,391.890000,783.200000,486.690000,755.537567,365.318316,792.168984,459.096255,779.076717,406.555006,771.980000,500.040000
771.040000,392.010000,783.200000,486.850000,755.715642,365.318316,792.089839,459.333689,779.076717,406.555006,771.990000,500.020000
771.110000,392.130000,783.180000,486.960000,755.715642,365.407354,792.010695,459.491977,779.108339,406.555006,771.980000,500.000000
