pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.026329,0.052385,0.062604,0.024794,0.053292,0.061521,0.026895,0.063506,0.066470
0.024343,0.058860,0.065447,0.026022,0.054649,0.064719,0.026504,0.057391,0.062505
0.027436,0.060013,0.068361,0.025000,0.054974,0.060983,0.023560,0.057709,0.067786
0.024308,0.058498,0.070217,0.029717,0.062006,0.072188,0.025802,0.064862,0.067738
0.023820,0.059512,0.065137,0.025995,0.057299,0.065882,0.028983,0.063949,0.069301
0.025526,0.054850,0.062134,0.026550,0.055024,0.065052,0.027401,0.057303,0.065115
0.024049,0.052298,0.060367,0.026342,0.057982,0.067521,0.025528,0.055456,0.059463
0.026072,0.058062,0.064921,0.024943,0.058214,0.064175,0.024258,0.056080,0.062787
0.026317,0.058069,0.065884,0.025747,0.057127,0.067483,0.027433,0.057445,0.065093
0.026529,0.060077,0.068943,0.024430,0.058065,0.067271,0.026230,0.060185,0.064031
0.023094,0.053223,0.058371,0.026318,0.056765,0.063401,0.025910,0.057461,0.061382
0.026646,0.057062,0.064913,0.027022,0.054942,0.066572,0.025042,0.057541,0.062260
0.025115,0.055672,0.060869,0.027118,0.054780,0.062359,0.026634,0.062718,0.064052
0.025964,0.056139,0.066610,0.025600,0.054903,0.064896,0.025719,0.057585,0.057934
0.027913,0.058949,0.069310,0.027258,0.055483,0.063107,0.024901,0.058097,0.063876
0.027089,0.057680,0.067637,0.026653,0.053906,0.062649,0.026324,0.058390,0.060765
0.025552,0.056695,0.062962,0.024705,0.053641,0.063316,0.024154,0.061665,0.064826
0.027940,0.058952,0.064218,0.025500,0.056623,0.066173,0.026701,0.062204,0.065538
0.027146,0.055869,0.061275,0.026061,0.053367,0.062676,0.027269,0.062958,0.066972
0.026724,0.060039,0.067529,0.024087,0.054243,0.065836,0.027073,0.059985,0.064040
0.026013,0.061277,0.065725,0.025718,0.053718,0.061569,0.027321,0.065317,0.068487
0.024473,0.056709,0.065889,0.026252,0.060558,0.067821,0.025233,0.061627,0.068577
0.024905,0.053937,0.062678,0.026669,0.054305,0.064326,0.025959,0.057287,0.064635
0.026464,0.062079,0.070828,0.024997,0.059444,0.067012,0.026870,0.059759,0.067240
0.025793,0.057769,0.064798,0.025386,0.054139,0.060802,0.027404,0.058423,0.067227
0.025154,0.059313,0.066977,0.025501,0.058575,0.068165,0.025789,0.061618,0.064863
0.025590,0.055542,0.063607,0.023661,0.056444,0.066428,0.025162,0.062424,0.066451
0.025041,0.053531,0.062058,0.025671,0.056035,0.064390,0.027302,0.060448,0.066168
0.024993,0.055669,0.063353,0.024776,0.058771,0.067366,0.025712,0.060095,0.063176
0.026221,0.057983,0.066655,0.025805,0.058590,0.069500,0.027230,0.061483,0.066242
0.025665,0.059350,0.068794,0.026373,0.050441,0.061040,0.026654,0.057538,0.063004
0.025846,0.056879,0.064150,0.025613,0.053112,0.064555,0.028559,0.062365,0.068736
0.029201,0.057271,0.067419,0.024933,0.055215,0.069225,0.028854,0.063072,0.069809
0.026032,0.057974,0.064540,0.026643,0.056909,0.064636,0.025839,0.060824,0.066151
0.026847,0.058620,0.062746,0.024414,0.060079,0.067191,0.027083,0.057167,0.065395
0.027709,0.059026,0.068877,0.025220,0.057801,0.063906,0.026368,0.059486,0.063034
0.029305,0.062411,0.066795,0.023336,0.054525,0.064554,0.027081,0.060277,0.065485
0.025428,0.057051,0.063288,0.026463,0.057562,0.063253,0.026839,0.055542,0.062988
0.025979,0.056914,0.063294,0.026098,0.053934,0.061349,0.025503,0.061594,0.067824
0.027243,0.057616,0.063553,0.026629,0.059643,0.063615,0.025316,0.061650,0.066294
0.026358,0.058220,0.067505,0.025264,0.055123,0.063143,0.025953,0.059883,0.068158
0.026303,0.062744,0.068619,0.024515,0.057313,0.067785,0.025606,0.058928,0.064522
0.026410,0.056481,0.062849,0.026985,0.051537,0.060692,0.026908,0.060116,0.064736
0.028184,0.061702,0.069110,0.025114,0.054991,0.061534,0.024127,0.060375,0.065286
0.025041,0.058153,0.066455,0.027961,0.057215,0.066718,0.026969,0.062639,0.070109
0.025942,0.052928,0.064070,0.026313,0.063702,0.069134,0.025796,0.053796,0.060708
0.027217,0.055300,0.062721,0.024514,0.059184,0.067635,0.025897,0.059233,0.063540
0.024775,0.057566,0.064904,0.026346,0.056633,0.066740,0.027989,0.061468,0.065726
0.026053,0.057417,0.063544,0.026026,0.058152,0.065645,0.026483,0.060914,0.066914
0.028057,0.060174,0.066595,0.025768,0.056936,0.062808,0.026405,0.061994,0.067792
0.027900,0.064078,0.071348,0.025915,0.055604,0.065328,0.024435,0.051891,0.058285
0.025368,0.059493,0.064294,0.027211,0.055799,0.063144,0.025830,0.058248,0.060447
