pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
0.282173,0.951715,1.789270,0.409198,1.622829,1.656161,0.224714,0.256615,1.837498
0.281959,0.950776,1.793673,0.409110,1.622301,1.659496,0.224708,0.256313,1.837489
0.281737,0.949776,1.798017,0.409001,1.621712,1.662773,0.224700,0.256014,1.837475
0.281507,0.948715,1.802301,0.408869,1.621062,1.665991,0.224691,0.255719,1.837455
0.281268,0.947594,1.806524,0.408715,1.620352,1.669152,0.224680,0.255427,1.837431
0.281020,0.946411,1.810688,0.408538,1.619581,1.672254,0.224668,0.255138,1.837401
0.280763,0.945168,1.814792,0.408339,1.618750,1.675299,0.224653,0.254853,1.837366
0.280498,0.943863,1.818835,0.408117,1.617858,1.678285,0.224637,0.254572,1.837326
0.280224,0.942498,1.822819,0.407873,1.616906,1.681212,0.224619,0.254294,1.837281
0.279941,0.941071,1.826743,0.407607,1.615892,1.684082,0.224600,0.254020,1.837230
0.279650,0.939584,1.830606,0.407318,1.614819,1.686894,0.224578,0.253749,1.837175
0.279350,0.938036,1.834410,0.407007,1.613685,1.689647,0.224555,0.253482,1.837114
0.279041,0.936427,1.838153,0.406673,1.612490,1.692342,0.224531,0.253218,1.837048
0.278724,0.934757,1.841837,0.406317,1.611235,1.694979,0.224504,0.252958,1.836977
0.278398,0.933026,1.845461,0.405939,1.609919,1.697558,0.224476,0.252701,1.836901
0.278063,0.931234,1.849024,0.405538,1.608543,1.700078,0.224446,0.252447,1.836820
0.277720,0.929381,1.852528,0.405114,1.607106,1.702541,0.224414,0.252198,1.836733
0.277368,0.927468,1.855972,0.404669,1.605608,1.704945,0.224381,0.251951,1.836641
0.277007,0.925494,1.859355,0.404201,1.604050,1.707291,0.224346,0.251708,1.836544
0.276638,0.923459,1.862679,0.403710,1.602431,1.709579,0.224309,0.251469,1.836442
0.276259,0.921363,1.865942,0.403197,1.600752,1.711808,0.224271,0.251233,1.836335
0.275873,0.919207,1.869146,0.402662,1.599012,1.713980,0.224231,0.251001,1.836223
0.275477,0.916990,1.872290,0.402104,1.597212,1.716093,0.224189,0.250772,1.836105
0.275073,0.914712,1.875373,0.401524,1.595351,1.718148,0.224145,0.250547,1.835982
