pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
0.272981,0.916344,1.824503,0.409349,1.605761,1.7185,0.230736,0.244719,1.828879
0.277753,0.920869,1.832864,0.409741,1.602392,1.717095,0.231174,0.257829,1.848659
0.277734,0.920967,1.834573,0.409741,1.602392,1.717095,0.228836,0.256232,1.844078
0.277404,0.921156,1.836239,0.408721,1.593815,1.708329,0.228803,0.256609,1.84477
0.277465,0.920986,1.83816,0.405385,1.590619,1.70209,0.227802,0.254946,1.842505
0.277349,0.921073,1.839222,0.404966,1.594311,1.705891,0.22777,0.255227,1.842618
0.277251,0.920869,1.841119,0.404599,1.597353,1.704895,0.226847,0.254481,1.840442
0.277106,0.920604,1.842311,0.403426,1.595514,1.703099,0.226672,0.254527,1.839777
0.27713,0.92085,1.845296,0.403426,1.595514,1.703099,0.226672,0.254527,1.839777
0.277014,0.919918,1.850046,0.403426,1.595514,1.703099,0.226672,0.254559,1.83997
0.277028,0.919685,1.851262,0.405461,1.592432,1.705484,0.225718,0.25403,1.83752
0.277092,0.920028,1.852402,0.404182,1.600029,1.71191,0.225847,0.252784,1.837984
0.277049,0.919659,1.853479,0.404628,1.596015,1.705711,0.225416,0.252183,1.837917
0.277103,0.918126,1.856428,0.404656,1.595693,1.703314,0.225385,0.252432,1.837836
0.276878,0.918157,1.857597,0.401059,1.591323,1.699742,0.224923,0.252079,1.837688
0.277062,0.918051,1.859078,0.401059,1.591323,1.699742,0.22502,0.251107,1.836578
0.276559,0.917843,1.859711,0.401059,1.591323,1.699742,0.224956,0.251733,1.837189
0.277077,0.919334,1.861637,0.401059,1.591323,1.699742,0.224924,0.252047,1.837495
0.276846,0.91856,1.862015,0.401059,1.591323,1.699742,0.224924,0.252014,1.837301
0.276764,0.918316,1.862583,0.400195,1.599031,1.709746,0.224956,0.251733,1.837189
0.276586,0.917435,1.862524,0.400169,1.599355,1.712143,0.223937,0.251928,1.835931
0.276552,0.917197,1.863416,0.398186,1.600594,1.713551,0.224,0.251366,1.835707
0.276714,0.916604,1.86346,0.396887,1.604712,1.714997,0.224,0.251334,1.835513
0.276479,0.915916,1.864409,0.397305,1.601022,1.711197,0.223969,0.25155,1.835238
0.276307,0.915839,1.865141,0.397358,1.600375,1.706401,0.223936,0.251992,1.836318
0.276338,0.914968,1.865239,0.402411,1.608484,1.72195,0.224,0.251334,1.835513
0.276286,0.914478,1.865887,0.401266,1.602345,1.715759,0.223905,0.252177,1.83585
0.276303,0.913592,1.866932,0.399237,1.600435,1.714591,0.221898,0.246584,1.832328
0.276008,0.912256,1.868523,0.399237,1.600435,1.714591,0.221907,0.248631,1.832656
0.275509,0.909181,1.873092,0.399341,1.599135,1.704993,0.221971,0.248004,1.832044
0.273532,0.904892,1.872493,0.400152,1.592075,1.699786,0.222067,0.247096,1.83132
0.273485,0.90192,1.874024,0.39775,1.597007,1.704997,0.221939,0.24835,1.832544
0.273016,0.900784,1.874376,0.396186,1.594555,1.702602,0.221939,0.24835,1.832544
0.272787,0.899384,1.874774,0.391931,1.586983,1.696594,0.221971,0.248037,1.832238
0.272754,0.898549,1.875876,0.391931,1.586983,1.696594,0.221971,0.248037,1.832238
0.272767,0.898345,1.877282,0.390807,1.584316,1.695378,0.221971,0.248004,1.832044
0.272474,0.896953,1.878493,0.389215,1.582186,1.69538,0.221971,0.248037,1.832238
0.272357,0.895902,1.880354,0.388013,1.580493,1.701363,0.221133,0.247523,1.831052
0.272245,0.894737,1.881454,0.388355,1.57778,1.704768,0.221165,0.247177,1.830552
0.272188,0.892598,1.883682,0.389116,1.575191,1.711763,0.221133,0.247523,1.831052
0.272432,0.891012,1.889194,0.387633,1.575778,1.715734,0.221133,0.247555,1.831245
0.272605,0.888493,1.893074,0.388565,1.571363,1.715167,0.220868,0.247908,1.830535
0.272576,0.887894,1.895367,0.388317,1.568253,1.716288,0.220931,0.247346,1.83031
0.271911,0.885976,1.897367,0.388757,1.568035,1.717461,0.220358,0.246414,1.829447
0.271065,0.88383,1.899479,0.386005,1.563734,1.719852,0.220327,0.246663,1.829366
0.270478,0.881672,1.901882,0.38669,1.561416,1.720154,0.220326,0.246728,1.829753
0.270478,0.879269,1.908525,0.386443,1.558308,1.721279,0.219755,0.245699,1.828309
0.269127,0.873299,1.910221,0.386674,1.556413,1.721909,0.219489,0.246182,1.828373
0.266682,0.868421,1.908776,0.385548,1.553739,1.720688,0.219553,0.245522,1.827567
0.265741,0.866206,1.909862,0.386412,1.553513,1.724536,0.219256,0.246221,1.827357
0.264906,0.863563,1.911808,0.388156,1.552856,1.730734,0.219319,0.245692,1.827326
0.264924,0.858763,1.917541,0.383883,1.545476,1.72623,0.219319,0.245627,1.826938
0.264249,0.856714,1.919727,0.384048,1.542573,1.73154,0.218715,0.244976,1.826187
0.263532,0.851523,1.922307,0.380214,1.529774,1.72848,0.218715,0.244976,1.826187
0.262506,0.847602,1.923001,0.38017,1.523389,1.731964,0.218811,0.244068,1.825463
0.260879,0.843461,1.923682,0.378995,1.521325,1.735236,0.218778,0.244414,1.825963
0.258294,0.831576,1.925824,0.377837,1.519061,1.737014,0.218715,0.245009,1.826381
0.257733,0.824275,1.928949,0.375097,1.509338,1.73817,0.21881,0.244133,1.825851
0.25688,0.818762,1.934459,0.373239,1.504398,1.741417,0.218512,0.244897,1.826028
0.255675,0.816104,1.936418,0.370315,1.497765,1.73874,0.218481,0.245146,1.825946
0.255074,0.813549,1.937627,0.370984,1.495644,1.740537,0.217941,0.243836,1.824389
0.254166,0.809802,1.938643,0.371394,1.495842,1.744709,0.217908,0.244246,1.825277
0.253049,0.805417,1.939521,0.372505,1.493511,1.747687,0.217973,0.243555,1.824277
0.250915,0.797764,1.941552,0.370921,1.486047,1.747063,0.217909,0.244182,1.824889
0.248615,0.790807,1.945333,0.367769,1.481324,1.743775,0.217973,0.243555,1.824277
0.2474,0.787005,1.945355,0.364875,1.474279,1.738109,0.218004,0.243274,1.824165
0.246428,0.782881,1.945043,0.364859,1.474484,1.739606,0.217973,0.243555,1.824277
0.245966,0.778931,1.94726,0.361704,1.464547,1.736587,0.217845,0.244808,1.825501
0.245266,0.773991,1.949474,0.362115,1.464747,1.740763,0.218046,0.245042,1.824383
0.243589,0.769238,1.950046,0.362085,1.465158,1.743757,0.218109,0.244448,1.823965
0.242385,0.763468,1.954751,0.362253,1.467475,1.748811,0.218618,0.246006,1.82544
0.239571,0.75539,1.953232,0.359694,1.465062,1.753255,0.21865,0.245693,1.825134
