pt1_dltres,pt2_dltres,pt3_dltres
0.067032,0.021095,0.078190
0.206221,0.138445,0.256963
0.197208,0.138445,0.396733
0.171908,0.369154,0.407652
0.153730,0.485294,0.420457
0.144528,0.452739,0.411204
0.143893,0.250590,0.488704
0.156583,0.240455,0.505879
0.114110,0.240455,0.505879
0.087429,0.240455,0.512603
0.092284,0.208915,0.567401
0.096260,0.204430,0.494785
0.056545,0.152189,0.511508
0.093882,0.067394,0.495530
0.109023,0.185786,0.496276
0.154058,0.185786,0.497140
0.157074,0.185786,0.492081
0.151105,0.185786,0.489552
0.131575,0.185786,0.482828
0.126532,0.205470,0.492081
0.133937,0.290269,0.561992
0.128987,0.244199,0.580499
0.124078,0.332884,0.573775
0.084416,0.365442,0.551073
0.126490,0.195843,0.575440
0.123155,0.430161,0.573775
0.102142,0.449205,0.546015
0.116628,0.581115,0.487613
0.107324,0.581115,0.541628
0.050832,0.241917,0.546687
0.087082,0.391832,0.561000
0.215270,0.313201,0.550882
0.228363,0.299687,0.550882
0.221459,0.198526,0.553411
0.222423,0.198526,0.553411
0.210848,0.124392,0.546687
0.214955,0.195684,0.553411
0.204158,0.375974,0.578147
0.220207,0.662954,0.573952
0.183389,0.974129,0.578147
0.002614,0.949447,0.584871
0.189282,1.035368,0.600757
0.224113,0.840012,0.619264
0.235557,0.779394,0.614665
0.235051,0.903586,0.598687
0.230609,0.916238,0.612135
0.049557,0.720892,0.587364
0.258193,0.847113,0.630146
0.311246,0.773004,0.628481
0.323963,0.704723,0.648562
0.291398,0.515208,0.673793
0.017491,0.467086,0.660345
0.073556,0.317051,0.646492
0.298033,0.086278,0.646492
0.290345,0.364979,0.660804
0.285455,0.280181,0.664999
0.005894,0.248339,0.653216
0.145189,0.299033,0.674253
0.058668,0.348898,0.707781
0.069738,0.196614,0.691804
0.056746,0.130983,0.676285
0.028100,0.085651,0.693928
0.023896,0.080630,0.685539
0.241751,0.163131,0.680480
0.017958,0.137068,0.685539
0.027937,0.090704,0.694793
0.067273,0.037728,0.685539
0.157099,0.133658,0.675421
0.292146,0.088309,0.758060
0.292967,0.017648,0.769844
0.086614,0.010274,0.769384
0.230849,0.019731,0.771914
0.398960,0.176942,0.755936
0.367241,0.545566,0.742029
0.005014,0.757058,0.783552
0.191390,0.619899,0.874543
0.036072,0.597426,1.017516
0.027588,0.392104,1.147449
0.015195,0.334160,0.947012
0.119283,0.472492,0.936094
0.323839,0.549918,0.910954
0.317664,0.609795,0.913537
0.292034,0.833801,0.755882
0.043713,0.514806,0.754217
0.007368,0.446971,0.774389
0.225954,0.425988,0.800026
0.206276,0.552283,0.815139
0.040413,0.651076,0.810944
0.162356,0.595735,0.826922
0.344469,0.640256,0.586653
0.288507,0.676903,0.040161
0.051740,0.876501,0.221766
0.045184,0.516473,0.060005
0.223274,0.362704,0.011826
0.255370,0.201379,0.143366
0.213038,0.172876,0.251688
0.050497,0.305402,0.195041
0.051878,0.289618,0.195041
0.209312,0.391940,0.123210
0.126440,0.767878,0.123210
0.104934,0.840516,0.123210
0.054413,0.986259,0.123210
0.275365,0.991858,0.123210
0.287373,0.838183,0.171677
0.276754,1.032923,0.171677
0.247318,0.970025,0.171677
0.091080,1.183437,0.171677
0.159099,1.028081,0.333584
0.128313,1.172147,0.333584
0.062832,0.965304,0.333584
0.090766,0.791918,0.333584
0.097648,0.505390,0.333584
0.110023,0.406429,0.333584
0.097280,0.275036,0.333584
0.115765,0.322334,0.333584
0.157263,0.445084,0.333584
0.145825,0.325559,0.297093
0.134619,0.325559,0.297093
0.124914,0.311604,0.153431
0.038343,0.311604,0.153431
0.064860,0.254649,0.441905
0.059951,0.134295,0.423660
0.030766,0.131181,0.151521
0.036036,0.300586,0.295182
0.051219,0.163022,0.295182
0.041283,0.127484,0.325404
0.018166,0.107338,0.325404
0.052794,0.275296,0.325404
0.062063,0.283833,0.540900
0.136858,0.263493,0.579301
0.098178,0.431418,0.552877
0.070902,0.484210,0.591277
0.096297,0.408754,0.519443
0.115431,0.323758,0.834771
0.198788,0.153768,0.204198
0.203369,0.153768,0.245653
0.158333,0.145271,0.039049
0.162867,0.199100,0.084654
0.150878,0.199100,0.408482
0.127449,0.265263,0.600767
0.131058,0.319094,0.044303
0.127188,0.106098,0.040735
0.120859,0.063878,0.104127
0.090985,0.053065,0.288198
0.090692,0.042734,0.733670
