pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
844.327818,446.301344,861.217240,585.626902,834.075667,413.459090,879.282305,557.834588,846.144294,484.741647,822.612888,610.047776
843.980000,446.020000,860.970000,586.010000,834.010000,413.030000,878.990000,558.040000,845.970000,485.000000,823.020000,610.000000
843.990000,446.090000,860.890000,586.060000,834.030000,413.040000,878.980000,558.070000,845.980000,485.010000,823.000000,609.990000
843.970000,446.160000,860.810000,586.110000,834.040000,413.110000,878.950000,558.090000,845.990000,485.020000,822.990000,609.980000
843.960000,446.270000,860.740000,586.160000,834.030000,413.170000,878.920000,558.120000,845.990000,485.010000,822.990000,610.000000
843.960000,446.410000,860.700000,586.180000,834.060000,413.210000,878.900000,558.110000,845.990000,485.010000,823.010000,610.000000
844.000000,446.800000,860.570000,586.250000,834.070000,413.260000,878.860000,558.130000,846.000000,485.030000,823.030000,610.000000
843.990000,446.900000,860.210000,586.630000,834.060000,413.370000,878.800000,558.140000,845.970000,484.990000,823.000000,610.000000
843.960000,446.970000,859.990000,586.900000,834.070000,413.400000,878.730000,558.170000,845.990000,485.010000,823.020000,609.990000
843.940000,447.000000,859.910000,586.940000,834.030000,413.370000,878.320000,558.590000,846.000000,485.020000,823.010000,610.000000
843.910000,447.080000,859.830000,586.960000,834.060000,413.500000,878.040000,559.010000,845.990000,485.010000,823.000000,609.980000
843.870000,447.140000,859.760000,587.000000,834.150000,414.000000,878.000000,558.980000,845.980000,485.010000,823.030000,610.010000
843.820000,447.260000,859.650000,587.030000,834.130000,414.020000,877.950000,558.980000,845.990000,485.010000,822.990000,610.000000
843.780000,447.390000,859.510000,587.070000,834.110000,414.070000,877.900000,558.970000,845.980000,485.020000,822.990000,610.000000
843.630000,447.970000,859.270000,587.200000,834.090000,414.070000,877.830000,558.950000,845.970000,485.020000,823.030000,610.000000
843.420000,448.210000,859.140000,587.240000,834.070000,414.150000,877.740000,558.990000,845.970000,485.040000,823.010000,610.000000
843.160000,448.790000,859.050000,587.220000,834.030000,414.240000,877.640000,559.020000,845.980000,485.010000,822.990000,609.990000
843.120000,448.860000,858.950000,587.210000,834.030000,414.270000,877.520000,559.080000,845.990000,485.020000,822.970000,610.000000
843.070000,448.950000,858.780000,587.290000,834.020000,414.360000,877.300000,559.220000,845.990000,485.000000,823.030000,609.990000
843.030000,449.060000,858.680000,587.240000,834.020000,414.530000,877.150000,559.340000,845.980000,485.020000,823.010000,610.000000
842.980000,449.070000,858.270000,587.550000,834.080000,415.090000,877.070000,559.370000,845.960000,485.020000,822.990000,609.990000
842.960000,449.190000,857.980000,587.820000,834.140000,415.840000,876.990000,559.360000,845.960000,485.020000,823.030000,610.000000
842.930000,449.340000,857.840000,587.860000,834.170000,416.360000,876.890000,559.350000,845.960000,485.010000,823.020000,610.000000
842.930000,449.560000,857.680000,587.920000,834.160000,416.560000,876.770000,559.370000,845.970000,485.020000,823.000000,610.010000
842.930000,449.860000,857.350000,588.030000,834.140000,416.720000,876.210000,559.920000,845.990000,485.030000,823.030000,610.000000
842.910000,449.960000,857.100000,588.110000,834.110000,416.800000,875.970000,560.100000,845.970000,485.030000,823.020000,610.000000
842.880000,450.040000,856.940000,588.130000,834.070000,416.860000,875.850000,560.090000,845.970000,485.020000,823.030000,610.000000
842.830000,450.090000,856.770000,588.140000,834.020000,416.940000,875.660000,560.100000,845.970000,485.010000,823.030000,609.990000
842.790000,450.180000,856.500000,588.200000,834.010000,416.980000,875.220000,560.370000,845.980000,485.030000,823.020000,609.980000
842.760000,450.270000,856.150000,588.320000,833.970000,417.070000,874.860000,560.830000,845.960000,485.020000,823.000000,610.000000
842.730000,450.400000,855.990000,588.330000,833.920000,417.130000,874.680000,560.850000,845.980000,485.020000,823.030000,610.000000
842.700000,450.790000,855.840000,588.320000,833.870000,417.250000,874.300000,561.040000,845.970000,485.030000,823.010000,609.980000
842.660000,450.900000,855.680000,588.310000,833.850000,417.330000,874.130000,561.030000,845.970000,485.020000,823.000000,609.990000
842.580000,451.000000,855.230000,588.610000,833.830000,417.520000,874.010000,561.020000,845.980000,485.020000,823.000000,610.000000
842.430000,451.080000,854.950000,588.840000,833.830000,418.050000,873.910000,560.990000,845.970000,485.010000,823.000000,609.990000
842.250000,451.220000,854.790000,588.800000,833.910000,418.760000,873.780000,561.000000,845.950000,485.020000,823.030000,610.010000
842.100000,451.400000,854.520000,588.870000,833.860000,418.870000,873.610000,561.020000,845.980000,485.020000,822.990000,609.990000
841.880000,451.960000,854.200000,588.950000,833.790000,418.980000,873.230000,561.260000,845.970000,485.010000,823.020000,610.000000
841.820000,452.190000,853.960000,588.980000,833.700000,419.040000,873.050000,561.300000,845.970000,485.010000,823.030000,609.990000
841.720000,452.340000,853.810000,588.990000,833.620000,419.130000,872.930000,561.320000,845.960000,485.000000,823.030000,609.990000
841.730000,452.930000,853.530000,589.020000,833.470000,419.260000,872.800000,561.340000,845.960000,485.010000,823.000000,610.000000
841.670000,453.040000,853.100000,589.210000,833.290000,419.360000,872.310000,561.770000,845.855811,484.848478,823.030000,609.970000
841.620000,453.150000,852.870000,589.300000,833.230000,419.480000,871.950000,562.090000,845.927932,484.848478,823.080000,609.980000
841.570000,453.280000,852.540000,589.350000,833.240000,420.110000,871.770000,562.130000,845.927932,484.741647,823.130000,609.860000
841.570000,453.600000,852.130000,589.560000,833.310000,420.930000,871.440000,562.300000,846.000052,483.673335,823.330000,609.650000
841.590000,453.960000,851.830000,589.820000,833.380000,421.710000,871.110000,562.510000,846.000052,483.673335,823.920000,609.020000
841.490000,454.030000,851.450000,589.970000,833.300000,421.830000,870.760000,562.950000,846.072173,482.605022,824.310000,608.450000
841.370000,454.150000,851.120000,590.060000,833.250000,421.950000,870.460000,563.030000,846.072173,482.177697,825.550000,608.070000
841.250000,454.270000,850.900000,590.080000,833.170000,422.040000,870.160000,563.240000,846.072173,481.643541,826.070000,607.780000
841.190000,454.490000,850.710000,590.130000,833.120000,422.170000,870.030000,563.240000,846.216414,481.216216,826.300000,607.090000
841.130000,454.960000,850.490000,590.200000,833.060000,422.350000,869.910000,563.230000,846.144294,480.147904,827.040000,606.090000
841.090000,455.110000,850.090000,590.400000,833.140000,423.000000,869.780000,563.260000,846.000052,479.293254,827.810000,605.220000
