pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.026437,0.050058,0.048779,0.026253,0.050145,0.053142,0.025219,0.055530,0.056425
0.026749,0.060395,0.059862,0.024822,0.050717,0.056042,0.024947,0.054399,0.055762
0.027453,0.049650,0.054451,0.026539,0.053532,0.059292,0.024440,0.056666,0.056288
0.024932,0.050691,0.055899,0.026163,0.051930,0.056178,0.024641,0.053562,0.056622
0.024679,0.049357,0.051108,0.026369,0.054338,0.056258,0.027353,0.060767,0.060544
0.025836,0.056443,0.058515,0.026011,0.053532,0.053586,0.027165,0.056468,0.058763
0.025026,0.050473,0.055582,0.026197,0.054668,0.057656,0.028046,0.059629,0.060910
0.023658,0.051756,0.052561,0.024416,0.050751,0.055243,0.025609,0.057021,0.058387
0.026801,0.053261,0.056150,0.025001,0.053458,0.055329,0.024918,0.053949,0.052020
0.023796,0.052240,0.052194,0.024813,0.047587,0.050442,0.025825,0.056109,0.053861
0.026861,0.056684,0.056934,0.023421,0.049434,0.054262,0.026437,0.057593,0.056472
0.026745,0.053519,0.054775,0.027249,0.053490,0.055228,0.024782,0.054682,0.055156
0.023783,0.053022,0.053317,0.024553,0.047972,0.052555,0.029820,0.052932,0.054493
0.024011,0.052909,0.057738,0.025281,0.052677,0.056435,0.026133,0.062037,0.060891
0.028113,0.055788,0.057594,0.024794,0.052844,0.055595,0.026495,0.054516,0.054078
0.026113,0.055341,0.054727,0.024421,0.050509,0.053142,0.027599,0.061890,0.060117
0.023471,0.053467,0.055988,0.024919,0.050692,0.053478,0.025784,0.057502,0.057993
0.026845,0.053327,0.057741,0.024884,0.052896,0.054479,0.023366,0.057157,0.056680
0.024461,0.052446,0.055360,0.026731,0.055875,0.060040,0.025259,0.050821,0.051793
0.025205,0.058198,0.059252,0.024722,0.052998,0.056319,0.025272,0.057998,0.053464
0.024436,0.051752,0.054182,0.025251,0.050695,0.054306,0.023710,0.057849,0.055032
0.024892,0.055067,0.056577,0.025958,0.051893,0.056691,0.024841,0.052516,0.053318
0.025428,0.053914,0.053366,0.025888,0.048238,0.053629,0.024413,0.058423,0.057047
0.027102,0.054296,0.055459,0.026684,0.050529,0.052942,0.025100,0.055058,0.058457
0.026539,0.053254,0.052695,0.025539,0.048416,0.053485,0.026943,0.055807,0.059001
0.025799,0.059612,0.059045,0.024291,0.051752,0.053533,0.024888,0.055377,0.054586
0.024736,0.053297,0.057850,0.024780,0.055841,0.055269,0.026550,0.057554,0.056858
0.023507,0.054520,0.054482,0.024666,0.049725,0.053206,0.026244,0.056627,0.056489
0.025733,0.050195,0.050030,0.026130,0.053321,0.054316,0.026704,0.055957,0.056089
0.025473,0.050307,0.050838,0.023253,0.051440,0.053001,0.025808,0.061775,0.060241
0.025917,0.056446,0.059271,0.023559,0.050914,0.053486,0.025255,0.055013,0.053743
0.024637,0.055753,0.055297,0.025843,0.054186,0.055494,0.026065,0.057565,0.057748
0.026231,0.052033,0.055498,0.022325,0.051565,0.051800,0.025741,0.054389,0.051938
0.028316,0.053812,0.056372,0.025854,0.052002,0.058216,0.026346,0.058297,0.058742
0.024488,0.055247,0.054023,0.024371,0.054982,0.056212,0.025624,0.052572,0.053846
0.025816,0.054232,0.056018,0.025742,0.056780,0.060039,0.026909,0.056447,0.055738
0.025613,0.053367,0.054572,0.025827,0.050885,0.054692,0.025409,0.056844,0.055037
0.024992,0.048731,0.055109,0.025267,0.054725,0.054363,0.026368,0.057304,0.058773
0.023881,0.055069,0.054831,0.025941,0.055700,0.056943,0.026485,0.056302,0.056344
0.027689,0.051800,0.054623,0.024886,0.049474,0.052442,0.026770,0.057436,0.057293
0.025758,0.053377,0.054582,0.025966,0.054869,0.058560,0.025837,0.060126,0.057386
0.025865,0.053136,0.056073,0.025592,0.053069,0.057464,0.023910,0.055549,0.054494
0.024178,0.052590,0.052489,0.025530,0.051791,0.052644,0.027046,0.056805,0.057154
0.024045,0.056156,0.057078,0.026426,0.053549,0.056661,0.025222,0.057298,0.058522
0.026556,0.053718,0.056225,0.024799,0.053298,0.055674,0.024298,0.058048,0.054064
0.025707,0.053272,0.054933,0.026458,0.059571,0.060861,0.026207,0.056121,0.055605
0.025004,0.052560,0.052845,0.024283,0.054444,0.054697,0.025205,0.056211,0.055530
0.027175,0.058937,0.060683,0.022782,0.051918,0.054624,0.026727,0.055891,0.057238
0.026449,0.059727,0.058836,0.027936,0.057503,0.058381,0.025837,0.055488,0.056416
0.025747,0.052381,0.056084,0.023908,0.049904,0.051692,0.027426,0.058258,0.058773
0.025285,0.054678,0.055455,0.028224,0.052571,0.054316,0.025348,0.057527,0.058057
0.027086,0.052586,0.057879,0.024960,0.053034,0.056797,0.025240,0.056231,0.058009
