pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-0.950705,1.296164,4.809194,-0.971749,2.065849,4.635624,-0.719369,0.125412,4.644655
-0.949085,1.294364,4.810428,-0.971640,2.063195,4.635045,-0.718306,0.122352,4.645477
-0.947434,1.292441,4.811582,-0.971470,2.060444,4.634471,-0.717299,0.119464,4.646258
-0.945753,1.290396,4.812655,-0.971237,2.057595,4.633902,-0.716348,0.116748,4.647000
-0.944041,1.288229,4.813648,-0.970944,2.054649,4.633338,-0.715455,0.114204,4.647701
-0.942299,1.285939,4.814561,-0.970588,2.051605,4.632779,-0.714618,0.111832,4.648363
-0.940526,1.283527,4.815393,-0.970171,2.048463,4.632224,-0.713838,0.109632,4.648986
-0.938722,1.280992,4.816145,-0.969693,2.045224,4.631675,-0.713114,0.107605,4.649568
-0.936888,1.278335,4.816817,-0.969152,2.041887,4.631130,-0.712448,0.105749,4.650110
-0.935024,1.275556,4.817409,-0.968550,2.038453,4.630590,-0.711838,0.104066,4.650613
-0.933128,1.272653,4.817920,-0.967887,2.034920,4.630055,-0.711284,0.102554,4.651075
-0.931202,1.269629,4.818351,-0.967161,2.031290,4.629525,-0.710787,0.101215,4.651498
-0.929246,1.266482,4.818702,-0.966375,2.027563,4.629000,-0.710347,0.100048,4.651881
-0.927259,1.263212,4.818972,-0.965526,2.023738,4.628479,-0.709964,0.099053,4.652224
-0.925241,1.259821,4.819163,-0.964616,2.019815,4.627964,-0.709638,0.098230,4.652527
-0.923193,1.256306,4.819273,-0.963644,2.015794,4.627453,-0.709368,0.097579,4.652791
-0.921114,1.252669,4.819302,-0.962611,2.011676,4.626948,-0.709155,0.097100,4.653014
-0.919005,1.248910,4.819252,-0.961516,2.007460,4.626447,-0.708998,0.096793,4.653198
-0.916865,1.245028,4.819121,-0.960359,2.003147,4.625951,-0.708898,0.096658,4.653342
-0.914694,1.241024,4.818910,-0.959141,1.998736,4.625460,-0.708855,0.096696,4.653446
-0.912493,1.236897,4.818618,-0.957861,1.994227,4.624974,-0.708869,0.096905,4.653510
-0.910262,1.232648,4.818247,-0.956519,1.989621,4.624492,-0.708939,0.097287,4.653534
-0.907999,1.228277,4.817795,-0.955116,1.984917,4.624016,-0.709066,0.097840,4.653518
-0.905706,1.223783,4.817263,-0.953651,1.980115,4.623544,-0.709250,0.098566,4.653463
-0.903383,1.219166,4.816650,-0.952124,1.975216,4.623078,-0.709491,0.099464,4.653367
-0.901029,1.214427,4.815958,-0.950536,1.970219,4.622616,-0.709788,0.100534,4.653232
-0.898644,1.209566,4.815185,-0.948886,1.965124,4.622159,-0.710141,0.101776,4.653057
-0.896229,1.204582,4.814331,-0.947175,1.959932,4.621707,-0.710552,0.103190,4.652842
-0.893783,1.199475,4.813398,-0.945402,1.954642,4.621260,-0.711019,0.104776,4.652587
-0.891307,1.194247,4.812384,-0.943567,1.949254,4.620817,-0.711543,0.106534,4.652293
-0.888800,1.188895,4.811290,-0.941671,1.943769,4.620380,-0.712124,0.108465,4.651958
-0.886262,1.183422,4.810116,-0.939713,1.938186,4.619947,-0.712761,0.110567,4.651584
-0.883694,1.177826,4.808861,-0.937693,1.932506,4.619520,-0.713455,0.112841,4.651170
-0.881096,1.172107,4.807526,-0.935612,1.926728,4.619097,-0.714206,0.115288,4.650716
-0.878466,1.166266,4.806111,-0.933469,1.920852,4.618679,-0.715013,0.117907,4.650222
-0.875806,1.160302,4.804615,-0.931264,1.914878,4.618266,-0.715878,0.120697,4.649688
-0.873116,1.154216,4.803040,-0.928998,1.908807,4.617858,-0.716799,0.123660,4.649114
-0.870395,1.148008,4.801384,-0.926670,1.902638,4.617455,-0.717776,0.126795,4.648501
-0.867643,1.141677,4.799648,-0.924281,1.896372,4.617056,-0.718810,0.130102,4.647847
-0.864861,1.135223,4.797831,-0.921830,1.890008,4.616663,-0.719901,0.133581,4.647154
-0.862048,1.128648,4.795934,-0.919317,1.883546,4.616274,-0.721049,0.137232,4.646421
-0.859205,1.121949,4.793957,-0.916742,1.876987,4.615890,-0.722253,0.141055,4.645648
-0.856331,1.115129,4.791900,-0.914106,1.870330,4.615511,-0.723514,0.145051,4.644835
-0.853426,1.108185,4.789762,-0.911409,1.863575,4.615137,-0.724832,0.149218,4.643983
-0.850491,1.101120,4.787544,-0.908649,1.856723,4.614768,-0.726207,0.153557,4.643090
-0.847525,1.093932,4.785246,-0.905828,1.849773,4.614404,-0.727638,0.158069,4.642158
-0.844529,1.086621,4.782868,-0.902946,1.842726,4.614045,-0.729126,0.162753,4.641185
-0.841502,1.079188,4.780409,-0.900002,1.835580,4.613690,-0.730670,0.167608,4.640173
-0.838445,1.071632,4.777870,-0.896996,1.828337,4.613341,-0.732271,0.172636,4.639121
-0.835356,1.063954,4.775251,-0.893928,1.820997,4.612996,-0.733929,0.177836,4.638029
-0.832238,1.056154,4.772552,-0.890799,1.813559,4.612656,-0.735644,0.183208,4.636898
-0.829089,1.048231,4.769772,-0.887608,1.806023,4.612321,-0.737415,0.188752,4.635726
