pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
-0.951106,1.293793,4.807691,-0.970789,2.061658,4.63931,-0.716165,0.093171,4.634406
-0.945679,1.297314,4.812141,-0.971075,2.056753,4.631712,-0.712696,0.109704,4.651483
-0.94536,1.294749,4.811529,-0.971345,2.056036,4.631648,-0.712791,0.108764,4.65067
-0.944513,1.292951,4.81157,-0.97113,2.054846,4.63181,-0.712907,0.10813,4.650122
-0.943673,1.291091,4.812119,-0.970609,2.054197,4.63246,-0.712944,0.108217,4.650353
-0.942935,1.289681,4.813062,-0.970914,2.05279,4.631587,-0.712985,0.108828,4.650886
-0.941544,1.28424,4.814587,-0.970776,2.051373,4.631259,-0.713111,0.109122,4.651435
-0.940067,1.275021,4.813179,-0.969979,2.04973,4.631373,-0.712702,0.109114,4.65083
-0.938681,1.270088,4.813597,-0.969879,2.04756,4.63021,-0.713011,0.1091,4.650977
-0.938026,1.268352,4.813,-0.96843,2.038371,4.627321,-0.713117,0.108532,4.650781
-0.936972,1.266701,4.812859,-0.967665,2.030658,4.628132,-0.712975,0.108457,4.650268
-0.935843,1.265695,4.813306,-0.966833,2.026057,4.630417,-0.712843,0.109746,4.651821
-0.934191,1.263632,4.813463,-0.966306,2.025124,4.629792,-0.712944,0.108217,4.650353
-0.93261,1.260459,4.812915,-0.965643,2.024095,4.629344,-0.712718,0.10847,4.6507
-0.926761,1.256458,4.818977,-0.965185,2.02261,4.627629,-0.712622,0.109967,4.651992
-0.921694,1.257677,4.823676,-0.964289,2.020531,4.62735,-0.712486,0.109314,4.651701
-0.914257,1.260384,4.833448,-0.962985,2.01862,4.627192,-0.71277,0.108459,4.650403
-0.913053,1.258357,4.832379,-0.962611,2.015391,4.625467,-0.712855,0.107585,4.649941
-0.911408,1.254784,4.831492,-0.961572,2.009707,4.62344,-0.713079,0.109427,4.651122
-0.910035,1.252555,4.830206,-0.960461,2.005462,4.623588,-0.712759,0.109081,4.651233
-0.908217,1.242923,4.826117,-0.958726,2.000507,4.627223,-0.712366,0.108987,4.650976
-0.906643,1.235603,4.825087,-0.956112,1.995018,4.6324,-0.712444,0.110242,4.652218
-0.905141,1.232126,4.824558,-0.954019,1.990277,4.635055,-0.71247,0.109957,4.65183
-0.903791,1.227202,4.824019,-0.952688,1.986793,4.634845,-0.712555,0.109084,4.651368
-0.901734,1.217354,4.820873,-0.950379,1.972779,4.632035,-0.712932,0.109397,4.651661
-0.900421,1.210684,4.817378,-0.948986,1.967141,4.630484,-0.712554,0.109641,4.651846
-0.899219,1.206732,4.815166,-0.947805,1.964647,4.628779,-0.712622,0.109967,4.651992
-0.897793,1.203047,4.812608,-0.946226,1.960466,4.626055,-0.712674,0.109955,4.651695
-0.896148,1.196279,4.808568,-0.944981,1.949118,4.619971,-0.712743,0.1093,4.651269
-0.894502,1.18712,4.803266,-0.943023,1.941086,4.620446,-0.712381,0.109326,4.651418
-0.893069,1.183021,4.801465,-0.941549,1.93725,4.617918,-0.712801,0.109692,4.651766
-0.890446,1.178559,4.802626,-0.939365,1.928164,4.613826,-0.712543,0.10927,4.651228
-0.88894,1.174705,4.800466,-0.93835,1.923735,4.610621,-0.712565,0.109018,4.651016
-0.886091,1.164434,4.796874,-0.936906,1.920426,4.609985,-0.712739,0.108776,4.650966
-0.882447,1.160714,4.797789,-0.934256,1.916315,4.613044,-0.712612,0.109039,4.650896
-0.878353,1.160313,4.798523,-0.93208,1.909078,4.61638,-0.71226,0.110549,4.65262
-0.87434,1.156194,4.798112,-0.930386,1.905395,4.614692,-0.712723,0.108438,4.650524
-0.86722,1.151601,4.802558,-0.927876,1.896928,4.611759,-0.712649,0.109683,4.651604
-0.864629,1.145795,4.800856,-0.925692,1.894127,4.610442,-0.712674,0.109955,4.651695
-0.861886,1.14374,4.801082,-0.923654,1.892622,4.610468,-0.712543,0.110251,4.6518
-0.858762,1.134159,4.80104,-0.920191,1.892485,4.612228,-0.712429,0.109346,4.651297
-0.856298,1.123591,4.795748,-0.915524,1.884204,4.611986,-0.711407,0.113366,4.651971
-0.854431,1.118252,4.793711,-0.913131,1.87623,4.610854,-0.712795,0.112944,4.651849
-0.852302,1.109864,4.78862,-0.910011,1.869584,4.61399,-0.713462,0.114302,4.649779
-0.849932,1.097893,4.785343,-0.906716,1.857167,4.616387,-0.720315,0.12,4.636885
-0.847906,1.088632,4.78582,-0.903586,1.844951,4.619014,-0.721847,0.135928,4.641513
-0.845031,1.080506,4.781542,-0.90081,1.838025,4.620609,-0.729273,0.146232,4.627339
-0.841693,1.074058,4.778557,-0.898804,1.830841,4.616696,-0.734023,0.183672,4.648534
-0.838595,1.07059,4.777223,-0.896357,1.824803,4.615312,-0.737754,0.199675,4.650833
-0.836126,1.066291,4.777046,-0.894642,1.822124,4.614552,-0.743161,0.201397,4.636426
-0.832418,1.060616,4.779375,-0.892539,1.819831,4.614682,-0.748924,0.224888,4.6273
-0.830155,1.050305,4.775061,-0.89063,1.812773,4.61768,-0.752378,0.251217,4.625474
