pt1_dltres,pt2_dltres,pt3_dltres
0.123374,0.053757,0.374831
0.684317,0.565704,0.090409
0.690255,0.579168,0.080463
0.700313,0.552035,0.068037
0.679610,0.541265,0.088453
0.609317,0.508439,0.083492
0.422447,0.497281,0.063732
0.707085,0.446939,0.102104
0.904164,0.463671,0.074171
0.934242,0.880340,0.075427
0.918430,1.146563,0.072291
0.928581,0.787831,0.086704
0.903029,0.789959,0.088453
0.883770,0.765121,0.083051
0.663994,0.772130,0.074461
0.591627,0.771433,0.065954
0.246599,0.762572,0.082944
0.223376,0.813899,0.086679
0.267224,0.906368,0.078425
0.189776,0.912238,0.078090
0.504974,0.568534,0.078873
0.684614,0.069953,0.075793
0.650496,0.264856,0.085007
0.583932,0.353579,0.088743
0.540536,0.059405,0.065064
0.593632,0.193737,0.070207
0.597885,0.182790,0.074461
0.620713,0.191267,0.074354
0.674609,0.461882,0.055194
0.788256,0.812375,0.083234
0.752059,0.838543,0.073130
0.524949,0.991211,0.059006
0.489880,0.976703,0.075061
0.751798,0.875594,0.080570
0.946152,0.524561,0.081795
0.889558,0.076249,0.083965
0.904797,0.066258,0.076210
0.693586,0.262499,0.083675
0.627992,0.307899,0.074354
0.585358,0.302845,0.082420
0.278230,0.283316,0.089967
0.450341,0.659252,0.184647
0.502502,0.896784,0.169482
0.538977,0.545131,0.146929
0.570322,0.184129,0.663430
0.578588,0.122744,0.086073
0.743091,0.196832,0.309088
0.823140,0.253956,0.029016
0.827730,0.424107,0.061133
0.769860,0.376781,0.199562
0.565087,0.287903,0.338598
0.706735,0.106646,0.530416
