pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
540.391259,553.433416,577.533231,529.530155,551.553995,519.839379,613.150802,508.698514,523.339663,597.679506,525.869052,555.362098
540.050000,553.110000,578.020000,530.120000,551.626128,519.839379,613.010101,508.698514,522.990000,598.010000,525.869052,555.362098
540.120000,553.260000,578.010000,530.320000,551.770393,520.560704,613.010101,508.698514,523.000000,598.000000,525.869052,555.362098
540.180000,553.570000,577.880000,530.770000,551.914658,520.560704,613.010101,508.698514,523.010000,598.020000,525.869052,555.362098
540.210000,553.950000,577.870000,530.960000,551.986790,520.849234,612.236244,509.753773,522.990000,597.990000,525.869052,555.362098
540.250000,554.100000,577.820000,531.100000,551.986790,521.137764,612.025193,509.964825,522.990000,598.010000,525.760871,555.522345
540.350000,554.250000,577.770000,531.380000,552.058923,521.209897,612.095543,510.105526,522.970000,597.990000,525.977233,555.522345
540.490000,554.390000,577.580000,531.850000,552.131055,521.570559,612.095543,510.316578,523.000000,598.000000,525.977233,555.522345
540.590000,554.890000,577.340000,532.040000,552.131055,521.786957,612.165894,510.597980,522.970000,598.010000,525.977233,555.522345
540.640000,555.010000,577.370000,532.230000,552.131055,521.859089,612.165894,511.020083,522.970000,597.990000,525.977233,555.522345
540.720000,555.150000,577.260000,532.600000,552.203188,522.075487,612.165894,511.231135,522.970000,598.010000,525.977233,555.522345
540.770000,555.290000,577.220000,532.910000,552.203188,522.219752,612.236244,511.301486,522.990000,598.000000,525.977233,555.522345
540.890000,555.420000,577.200000,533.070000,552.203188,522.364017,612.236244,511.442187,522.980000,597.990000,525.977233,555.522345
540.790000,555.940000,577.220000,533.210000,552.347453,522.003354,612.236244,511.512537,522.990000,598.000000,525.977233,555.522345
540.800000,556.110000,577.110000,533.490000,552.419585,522.291884,612.236244,511.512537,522.990000,598.010000,525.977233,555.522345
540.770000,556.320000,577.010000,533.780000,552.491718,522.364017,612.447296,511.653238,522.990000,597.980000,525.977233,555.522345
540.580000,556.920000,577.000000,533.930000,552.635983,522.580415,612.658348,512.004991,522.980000,598.010000,525.977233,555.522345
540.570000,557.020000,577.000000,534.050000,552.635983,522.724680,612.728698,512.216043,523.000000,598.020000,525.977233,555.682592
540.710000,557.090000,576.990000,534.150000,552.708116,522.941077,612.587997,512.356744,522.990000,598.010000,525.869052,555.682592
