pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.022568,0.052493,0.054278,0.022963,0.055663,0.063120,0.021182,0.052370,0.053617
0.022492,0.051502,0.050057,0.023607,0.059412,0.062191,0.021659,0.058718,0.059545
0.020950,0.052784,0.055889,0.021736,0.063637,0.065034,0.021694,0.055788,0.054385
0.022511,0.055731,0.055009,0.021233,0.057830,0.061778,0.019909,0.053220,0.053383
0.021362,0.051057,0.049378,0.023248,0.056938,0.061455,0.020811,0.052654,0.052401
0.019536,0.051383,0.051037,0.023094,0.059459,0.063067,0.021805,0.056052,0.053242
0.021355,0.052701,0.052206,0.021921,0.057138,0.058575,0.018989,0.055319,0.052418
0.020771,0.054498,0.055984,0.023348,0.061031,0.057881,0.021259,0.054082,0.050009
0.022775,0.052105,0.051749,0.022681,0.054151,0.058615,0.021962,0.058095,0.056689
0.021863,0.053586,0.053788,0.022635,0.054304,0.057437,0.022249,0.054661,0.052961
0.019881,0.054223,0.053269,0.024261,0.053789,0.052077,0.022567,0.058511,0.059322
0.021356,0.050912,0.053722,0.023034,0.056102,0.056153,0.022227,0.053112,0.052093
0.021635,0.052228,0.053157,0.023249,0.054003,0.057238,0.021698,0.061149,0.057573
0.021492,0.052841,0.051050,0.023277,0.057727,0.060752,0.021619,0.057834,0.056410
0.020709,0.054306,0.056524,0.025508,0.057882,0.057080,0.021401,0.059717,0.055514
0.021045,0.053481,0.052516,0.022238,0.058301,0.059558,0.021767,0.055933,0.056226
0.020818,0.058232,0.057035,0.020575,0.058007,0.060851,0.023206,0.055944,0.054950
0.021404,0.053409,0.052522,0.023646,0.058182,0.060990,0.021512,0.056289,0.054594
0.019645,0.056582,0.057225,0.024175,0.057053,0.060154,0.021202,0.055242,0.050666
0.022324,0.054571,0.055982,0.023237,0.061805,0.062101,0.021887,0.053451,0.052903
0.021449,0.052843,0.053416,0.022881,0.052163,0.055362,0.021161,0.052479,0.050867
0.021659,0.057509,0.060031,0.025158,0.055827,0.057682,0.022108,0.052318,0.052160
0.021202,0.051292,0.051850,0.023273,0.055253,0.058144,0.022140,0.055688,0.053456
0.020859,0.051495,0.053014,0.025675,0.054770,0.057565,0.021624,0.056573,0.054454
0.021182,0.050825,0.050128,0.023618,0.062199,0.064653,0.022811,0.056687,0.055305
0.019935,0.053642,0.053148,0.023744,0.055159,0.057222,0.021719,0.057543,0.052983
0.021745,0.058493,0.058633,0.023056,0.058707,0.058612,0.019453,0.057142,0.053304
0.020516,0.054465,0.056033,0.022749,0.053775,0.060350,0.019359,0.056390,0.050867
0.022361,0.054860,0.053043,0.023685,0.060331,0.058766,0.020853,0.056074,0.051375
0.021431,0.051993,0.053778,0.023003,0.054231,0.057292,0.023076,0.055152,0.055308
0.021413,0.056229,0.057544,0.024880,0.057172,0.058321,0.022211,0.057211,0.053315
0.020150,0.055232,0.054509,0.024350,0.052340,0.056423,0.022692,0.054995,0.054718
0.019664,0.053448,0.051923,0.023002,0.058831,0.058363,0.021996,0.054614,0.049119
0.021114,0.054794,0.051872,0.024279,0.057206,0.059589,0.022597,0.055114,0.054836
0.019307,0.056176,0.053803,0.022216,0.056802,0.058197,0.022524,0.057862,0.053927
0.019277,0.052760,0.051622,0.024569,0.056730,0.059168,0.020089,0.058797,0.052610
0.023256,0.056517,0.054546,0.024913,0.054284,0.055042,0.019750,0.054386,0.052750
0.018533,0.051890,0.052126,0.022817,0.055805,0.057155,0.021090,0.054548,0.051699
0.022095,0.055773,0.054362,0.024188,0.055836,0.060458,0.019979,0.057071,0.052144
0.022623,0.050886,0.051568,0.023290,0.060905,0.062530,0.020476,0.054275,0.054140
0.020441,0.052229,0.054640,0.024915,0.060706,0.062827,0.020648,0.051186,0.050027
0.021584,0.052114,0.049254,0.023092,0.056113,0.057491,0.022105,0.053803,0.049098
0.020241,0.053112,0.054166,0.024281,0.060071,0.060521,0.021034,0.057242,0.053568
