pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
5.585252,1.303808,5.187949,5.082916,1.944060,5.009143,6.357204,0.384212,5.313997
5.585151,1.300717,5.189120,5.081730,1.940155,5.009536,6.357054,0.383936,5.313634
5.585113,1.297628,5.190286,5.080623,1.936258,5.009933,6.356905,0.383661,5.313273
5.585138,1.294541,5.191449,5.079596,1.932369,5.010334,6.356758,0.383389,5.312914
5.585227,1.291457,5.192607,5.078649,1.928489,5.010737,6.356611,0.383118,5.312557
5.585380,1.288376,5.193762,5.077782,1.924618,5.011144,6.356466,0.382850,5.312202
5.585597,1.285297,5.194913,5.076995,1.920755,5.011553,6.356322,0.382583,5.311848
5.585877,1.282221,5.196061,5.076287,1.916900,5.011966,6.356179,0.382318,5.311496
5.586220,1.279147,5.197204,5.075660,1.913054,5.012383,6.356038,0.382055,5.311147
5.586628,1.276076,5.198343,5.075112,1.909216,5.012802,6.355897,0.381794,5.310798
5.587099,1.273007,5.199479,5.074644,1.905387,5.013225,6.355758,0.381535,5.310452
5.587633,1.269941,5.200611,5.074255,1.901567,5.013651,6.355619,0.381278,5.310108
5.588231,1.266877,5.201739,5.073947,1.897755,5.014080,6.355482,0.381023,5.309765
5.588893,1.263816,5.202863,5.073718,1.893951,5.014512,6.355346,0.380769,5.309424
5.589618,1.260757,5.203983,5.073570,1.890156,5.014948,6.355211,0.380518,5.309085
5.590406,1.257701,5.205099,5.073501,1.886369,5.015386,6.355078,0.380269,5.308748
5.591258,1.254648,5.206212,5.073511,1.882591,5.015828,6.354945,0.380021,5.308412
5.592174,1.251597,5.207320,5.073602,1.878821,5.016273,6.354814,0.379775,5.308079
5.593152,1.248549,5.208425,5.073772,1.875060,5.016722,6.354684,0.379532,5.307747
5.594194,1.245503,5.209526,5.074022,1.871307,5.017173,6.354555,0.379290,5.307417
5.595299,1.242460,5.210623,5.074352,1.867563,5.017628,6.354427,0.379050,5.307089
5.596468,1.239419,5.211716,5.074761,1.863827,5.018086,6.354301,0.378812,5.306763
5.597699,1.236381,5.212805,5.075250,1.860100,5.018547,6.354175,0.378576,5.306438
5.598993,1.233345,5.213891,5.075817,1.856381,5.019011,6.354051,0.378342,5.306115
5.600350,1.230312,5.214973,5.076465,1.852671,5.019479,6.353928,0.378110,5.305794
5.601770,1.227281,5.216050,5.077191,1.848970,5.019950,6.353806,0.377879,5.305475
5.603253,1.224253,5.217124,5.077996,1.845277,5.020424,6.353685,0.377651,5.305158
5.604797,1.221228,5.218194,5.078879,1.841593,5.020901,6.353565,0.377424,5.304843
5.606404,1.218205,5.219260,5.079841,1.837917,5.021381,6.353447,0.377200,5.304529
5.608074,1.215184,5.220323,5.080881,1.834250,5.021865,6.353329,0.376977,5.304217
5.609805,1.212166,5.221381,5.081999,1.830592,5.022352,6.353213,0.376756,5.303907
5.611597,1.209151,5.222436,5.083194,1.826942,5.022842,6.353098,0.376538,5.303599
5.613451,1.206138,5.223487,5.084467,1.823302,5.023335,6.352984,0.376321,5.303293
5.615367,1.203127,5.224533,5.085816,1.819669,5.023831,6.352872,0.376106,5.302988
5.617343,1.200119,5.225576,5.087241,1.816046,5.024331,6.352760,0.375893,5.302685
5.619380,1.197113,5.226616,5.088742,1.812432,5.024834,6.352650,0.375682,5.302385
5.621477,1.194110,5.227651,5.090318,1.808826,5.025340,6.352541,0.375472,5.302085
5.623634,1.191109,5.228682,5.091969,1.805229,5.025849,6.352433,0.375265,5.301788
5.625850,1.188111,5.229710,5.093694,1.801641,5.026362,6.352326,0.375060,5.301493
5.628125,1.185115,5.230734,5.095492,1.798062,5.026878,6.352220,0.374856,5.301199
5.630459,1.182122,5.231754,5.097363,1.794492,5.027396,6.352115,0.374655,5.300907
5.632851,1.179131,5.232770,5.099305,1.790931,5.027919,6.352012,0.374455,5.300617
5.635300,1.176142,5.233782,5.101319,1.787379,5.028444,6.351910,0.374257,5.300329
5.637806,1.173156,5.234790,5.103403,1.783837,5.028972,6.351809,0.374061,5.300042
5.640369,1.170172,5.235795,5.105556,1.780303,5.029504,6.351709,0.373868,5.299758
5.642987,1.167190,5.236795,5.107778,1.776779,5.030039,6.351610,0.373676,5.299475
5.645660,1.164210,5.237792,5.110067,1.773263,5.030577,6.351512,0.373486,5.299194
5.648387,1.161233,5.238785,5.112422,1.769758,5.031119,6.351416,0.373297,5.298915
5.651167,1.158258,5.239774,5.114842,1.766261,5.031663,6.351321,0.373111,5.298638
5.654000,1.155285,5.240759,5.117327,1.762774,5.032211,6.351227,0.372927,5.298362
5.656885,1.152315,5.241740,5.119874,1.759296,5.032762,6.351134,0.372745,5.298088
5.659820,1.149346,5.242718,5.122483,1.755828,5.033316,6.351042,0.372564,5.297817
5.662805,1.146380,5.243692,5.125151,1.752369,5.033874,6.350951,0.372386,5.297547
5.665840,1.143415,5.244661,5.127879,1.748920,5.034434,6.350862,0.372209,5.297278
5.668922,1.140453,5.245627,5.130664,1.745481,5.034998,6.350774,0.372034,5.297012
5.672051,1.137493,5.246589,5.133504,1.742051,5.035565,6.350686,0.371861,5.296747
5.675225,1.134534,5.247547,5.136399,1.738631,5.036135,6.350600,0.371690,5.296484
5.678444,1.131578,5.248502,5.139347,1.735221,5.036709,6.350516,0.371522,5.296223
5.681707,1.128623,5.249452,5.142346,1.731821,5.037286,6.350432,0.371354,5.295964
5.685011,1.125670,5.250399,5.145394,1.728430,5.037865,6.350350,0.371189,5.295707
5.688357,1.122719,5.251341,5.148489,1.725050,5.038448,6.350268,0.371026,5.295451
5.691741,1.119770,5.252280,5.151631,1.721679,5.039035,6.350188,0.370865,5.295198
5.695164,1.116822,5.253215,5.154817,1.718319,5.039624,6.350109,0.370705,5.294946
5.698624,1.113875,5.254147,5.158045,1.714969,5.040217,6.350031,0.370548,5.294696
5.702119,1.110930,5.255074,5.161313,1.711629,5.040813,6.349955,0.370392,5.294447
5.705648,1.107987,5.255997,5.164621,1.708299,5.041412,6.349879,0.370239,5.294201
5.709208,1.105045,5.256917,5.167965,1.704979,5.042014,6.349805,0.370087,5.293956
