pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
5.588396,1.287642,5.122355,5.078879,1.934623,4.951413,6.348098,0.363731,5.284006
5.586215,1.311964,5.147079,5.07907,1.929087,4.946418,6.353303,0.373439,5.296628
5.585598,1.309838,5.150158,5.079911,1.923542,4.951829,6.353152,0.373162,5.296261
5.586199,1.305041,5.156568,5.078098,1.919647,4.948425,6.353104,0.372824,5.296269
5.586909,1.303495,5.163259,5.082425,1.899306,4.948645,6.353235,0.37348,5.296378
5.587106,1.301034,5.16518,5.084761,1.893659,4.950533,6.353957,0.370886,5.296629
5.586305,1.297196,5.167871,5.083322,1.893614,4.953563,6.35213,0.377416,5.301895
5.585788,1.289016,5.169221,5.083368,1.891243,4.959569,6.351814,0.376505,5.301293
5.587991,1.279213,5.170374,5.083117,1.893091,4.968265,6.352198,0.377375,5.302145
5.587196,1.278742,5.174334,5.082636,1.89375,4.975758,6.35213,0.377416,5.301895
5.586934,1.274118,5.177399,5.082152,1.891713,4.980001,6.352198,0.377375,5.302145
5.586567,1.272037,5.181863,5.082009,1.893314,4.984505,6.351931,0.376802,5.301535
5.585428,1.268203,5.182651,5.082291,1.893256,4.988466,6.352013,0.377119,5.301652
5.588066,1.270665,5.194045,5.079029,1.890331,4.981778,6.351931,0.376802,5.301535
5.588935,1.267738,5.197726,5.079183,1.88771,4.98359,6.351965,0.376781,5.30166
5.590333,1.266129,5.203234,5.076646,1.89126,4.989905,6.351862,0.376843,5.301285
5.594581,1.270174,5.217194,5.073363,1.89294,4.999581,6.352081,0.377078,5.301903
5.59483,1.270494,5.220533,5.072973,1.894816,5.006283,6.35154,0.376859,5.30406
5.593266,1.266367,5.219407,5.07371,1.88905,5.006137,6.352619,0.37423,5.301663
5.593771,1.265769,5.223215,5.0742,1.883559,5.008195,6.352701,0.374548,5.30178
5.59512,1.263572,5.226999,5.074548,1.878096,5.008273,6.351671,0.377515,5.304169
5.598337,1.258889,5.233317,5.073676,1.876367,5.012739,6.351506,0.37688,5.303935
5.600697,1.248272,5.227871,5.072928,1.874499,5.016102,6.351773,0.377453,5.304545
5.601149,1.245329,5.227817,5.073635,1.872785,5.01952,6.350709,0.380441,5.306809
5.60202,1.242271,5.228503,5.074078,1.871239,5.022064,6.349939,0.382695,5.306565
5.603443,1.23942,5.231316,5.072658,1.87131,5.02817,6.349939,0.382695,5.306565
5.605222,1.235997,5.235763,5.073783,1.865231,5.027798,6.347626,0.356814,5.29016
5.607018,1.23012,5.235687,5.078008,1.855485,5.029036,6.353054,0.371446,5.301049
5.610336,1.21813,5.229405,5.080267,1.857027,5.03849,6.353205,0.371722,5.301417
5.611036,1.215725,5.229391,5.08222,1.853012,5.041064,6.35339,0.371978,5.301909
5.611726,1.213754,5.230607,5.08417,1.846097,5.036709,6.352667,0.374569,5.301655
5.612335,1.212024,5.23162,5.083683,1.83691,5.03046,6.352502,0.373933,5.30142
5.612648,1.210342,5.23254,5.082827,1.829595,5.030987,6.352585,0.374251,5.301538
5.61494,1.209499,5.23796,5.083442,1.819697,5.028383,6.353235,0.37348,5.296378
5.61536,1.207142,5.238131,5.084723,1.81762,5.033702,6.353686,0.372099,5.290862
