pt1_dltres,pt2_dltres,pt3_dltres
0.030514,0.017371,0.073710
0.577676,0.006178,0.114142
0.595557,0.521843,0.108380
0.694205,0.542344,0.123924
0.548652,0.122650,0.099938
0.540833,0.108800,0.015953
0.616520,0.123233,0.017457
0.851503,0.002283,0.028579
0.665999,0.013220,0.031661
0.691845,0.239450,0.017457
0.850625,0.215458,0.031661
0.957636,0.143235,0.027239
0.958917,0.134065,0.018797
0.692611,0.413525,0.027239
0.780868,0.200297,0.034341
0.850597,0.180995,0.013035
0.553868,0.188490,0.033001
0.563339,0.208626,0.062167
0.562531,0.172276,0.095756
0.539040,0.228273,0.104198
0.517356,0.288845,0.086153
0.465164,0.361835,0.069269
0.604488,0.388656,0.064847
0.614746,0.442573,0.053904
0.586373,0.547236,0.077534
0.532358,0.603372,0.077534
0.384644,0.470113,0.128364
0.561508,0.337793,0.245818
0.773143,0.438800,0.240056
0.780094,0.353485,0.227191
0.753562,0.513319,0.111300
0.718607,0.635044,0.094416
0.700598,0.772740,0.102858
0.506254,0.683054,0.099938
0.529644,0.627050,0.312512
0.591763,0.470574,0.273739
0.736667,0.487435,0.097096
0.902699,0.465985,0.104198
0.897983,0.613288,0.102858
0.901184,0.464894,0.216250
0.887436,0.511077,0.209148
0.876441,0.506468,0.213570
0.529161,0.404511,0.207808
0.277824,0.492529,0.202046
0.509472,0.281095,0.222012
0.568224,0.238417,0.206468
0.537445,0.090020,0.209148
0.553224,0.156563,0.210487
0.592236,0.151924,0.200706
0.485719,0.192620,0.136388
0.495299,0.377928,0.262467
0.558385,0.352076,0.030321
0.728024,0.415108,0.040103
0.888096,0.054134,0.025899
0.867732,0.306591,0.027239
0.845019,0.490950,0.018797
0.623670,0.558304,0.025899
0.624204,0.435321,0.027239
0.670129,0.569128,0.034341
0.860020,0.568249,0.025899
0.818602,0.377015,0.027239
0.619423,0.245349,0.020137
0.622379,0.353209,0.006351
0.660069,0.376398,0.112640
0.645235,0.473055,0.097096
0.415622,0.543768,0.097096
0.450468,0.847762,0.118402
0.505379,0.934926,0.097096
0.766270,1.129034,0.112640
0.816140,1.268380,0.104198
0.784525,1.380381,0.109960
0.620275,1.503605,0.091333
0.768480,1.381702,0.111300
0.771826,1.227306,0.102858
0.768261,1.217346,0.098436
0.766504,1.026845,0.082891
0.771174,1.031768,0.070609
0.860621,1.019122,0.076371
0.834335,0.934396,0.076371
0.533885,0.909404,0.079051
0.538232,0.833456,0.064847
0.569062,0.981419,0.080391
0.465689,1.014762,0.079051
0.306152,1.020891,0.069269
0.398132,1.086729,0.077711
0.644623,1.167504,0.076371
0.713891,0.985696,0.084813
0.738222,1.040031,0.070609
0.873369,0.955252,0.076371
0.801189,0.788383,0.076371
0.593443,0.854163,0.070609
0.602861,0.835137,0.070609
0.684140,0.864976,0.079051
0.772838,0.780177,0.086153
0.723641,0.695375,0.086153
0.706860,0.978885,0.079051
0.715212,0.818049,0.077711
0.544730,0.898755,0.087493
0.543655,0.898755,0.086153
0.539639,0.852552,0.079051
0.586191,0.912209,0.162990
0.703653,0.620286,0.013554
0.619421,0.501460,0.012214
0.744127,0.548853,0.006452
0.845280,0.438788,0.003771
0.837657,0.359931,0.000690
0.810670,0.084314,0.000651
0.799992,0.118677,0.013554
0.665262,0.012781,0.143368
0.671290,0.069579,0.090335
0.663976,0.015306,0.080552
0.650274,0.158112,0.080552
0.701272,0.454830,0.083233
0.583003,0.425035,0.091675
0.403271,0.194003,0.081892
0.421887,0.302770,0.252432
0.455203,0.210338,0.181077
0.575111,0.380195,0.186839
0.664933,0.544157,0.109720
0.632798,0.091064,0.105700
0.435643,0.256534,0.125086
0.454564,0.071670,0.099938
0.492157,0.064385,0.150234
0.618352,0.300865,0.144538
0.622675,0.264651,0.070432
0.640290,0.046879,0.160016
0.649353,0.046879,0.178642
0.644597,0.089788,0.163097
0.653999,0.305136,0.147732
0.659471,0.209370,0.207566
0.630102,0.090295,0.078083
0.623534,0.179601,0.288362
0.624472,0.298672,0.239129
0.511857,0.179601,0.329005
0.530296,0.268905,0.166252
0.514397,0.268905,0.118074
0.517540,0.247915,0.015282
0.517877,0.268905,0.246167
0.527721,0.310886,0.154338
0.514905,0.331877,0.149844
0.508044,0.331877,0.149844
0.592854,0.330368,0.065554
0.512398,0.332977,0.031860
0.538735,0.353004,0.136809
0.548256,0.503297,0.026071
0.581101,0.604442,0.078879
0.608224,0.642359,0.208982
0.722259,0.713589,0.155633
0.729232,0.704414,0.155633
0.717196,0.634697,0.417134
0.706672,0.674213,0.391980
0.698538,0.751181,0.182078
0.664371,0.792180,0.182078
0.455245,0.645024,0.114151
0.468103,0.500963,0.139306
