pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
643.457419,575.425737,673.498567,608.275314,649.184202,542.445227,703.203273,585.615042,637.518742,608.901894,637.968015,629.361921
643.030000,575.070000,672.980000,608.020000,649.406545,542.296998,702.906816,585.837384,638.020000,608.990000,638.010000,629.010000
643.050000,575.160000,673.000000,608.100000,649.406545,542.296998,702.906816,585.763270,638.000000,608.980000,638.000000,629.000000
643.090000,575.240000,673.000000,608.210000,649.554773,542.296998,702.869759,585.763270,638.000000,608.970000,638.010000,629.000000
643.130000,575.320000,672.980000,608.340000,649.628888,542.296998,702.869759,585.874441,638.010000,608.970000,638.010000,629.000000
643.180000,575.440000,672.850000,608.640000,649.628888,542.296998,702.980930,586.059727,637.990000,608.980000,638.010000,629.000000
643.250000,575.840000,672.800000,608.800000,649.628888,542.296998,702.943873,586.170898,637.990000,608.970000,638.010000,629.000000
643.330000,575.950000,672.790000,608.910000,649.851230,542.593455,702.869759,586.652640,638.000000,608.980000,638.010000,629.010000
643.390000,576.060000,672.800000,608.950000,649.851230,542.667569,702.758587,586.986154,637.990000,608.980000,638.000000,629.010000
643.470000,576.190000,672.790000,609.020000,650.073573,542.741683,702.684473,586.949097,638.000000,608.990000,638.010000,629.000000
643.610000,576.350000,672.790000,609.070000,650.073573,542.815798,702.536245,587.023211,638.000000,608.950000,638.010000,629.000000
643.600000,576.840000,672.790000,609.130000,650.073573,543.038140,702.350959,587.134382,638.000000,608.980000,638.010000,629.010000
643.640000,576.920000,671.980000,609.900000,650.073573,543.334597,702.313902,587.171440,638.000000,608.980000,638.010000,629.000000
643.690000,577.040000,671.600000,610.070000,649.999459,543.631054,702.091560,587.319668,638.000000,608.980000,638.010000,629.000000
643.640000,577.250000,671.410000,610.200000,650.073573,543.853396,701.943331,587.356725,637.990000,608.970000,638.010000,629.010000
643.300000,577.910000,671.220000,610.320000,650.147687,543.853396,701.424532,588.023753,638.010000,608.980000,638.000000,629.010000
643.220000,578.150000,671.050000,610.460000,650.147687,544.001624,701.165132,588.505495,637.990000,608.980000,638.010000,629.000000
643.230000,578.240000,670.890000,610.630000,650.221801,544.001624,701.202190,588.542552,638.010000,608.970000,638.010000,629.010000
643.240000,578.310000,670.760000,610.720000,650.147687,544.223967,701.276304,588.727837,638.010000,608.970000,638.010000,629.000000
643.220000,578.430000,670.680000,610.790000,650.147687,544.520424,701.222343,588.774484,638.000000,608.990000,638.000000,629.000000
643.190000,578.810000,670.460000,610.930000,649.999459,545.039223,701.222343,588.774484,637.980000,609.000000,638.020000,629.000000
643.170000,578.890000,670.250000,611.020000,650.073573,545.039223,701.172933,588.823894,638.000000,608.980000,638.000000,629.000000
643.140000,578.980000,670.140000,611.100000,650.073573,545.187451,701.123524,588.823894,638.000000,608.980000,637.990000,629.000000
643.120000,579.070000,670.070000,611.160000,650.082110,545.290977,700.975295,589.070941,637.990000,608.990000,638.010000,628.990000
643.100000,579.150000,669.990000,611.200000,650.174649,545.938745,700.827067,589.219169,637.990000,608.980000,637.990000,628.990000
643.070000,579.230000,669.900000,611.240000,649.989572,546.401436,700.777657,589.268579,637.990000,608.980000,638.000000,629.010000
643.050000,579.300000,669.830000,611.230000,650.082110,546.679051,700.580020,589.466216,638.000000,608.980000,638.000000,629.000000
643.050000,579.440000,669.700000,611.300000,650.082110,546.864128,700.234153,589.762673,638.000000,608.980000,638.010000,629.000000
643.050000,579.790000,668.970000,611.810000,650.082110,546.956666,699.888287,589.910902,637.662984,608.901894,638.020000,629.000000
643.020000,579.900000,668.310000,611.980000,650.082110,547.049204,699.740059,590.009720,637.807225,608.901894,638.020000,629.010000
