pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.023393,0.050413,0.050415,0.021897,0.053407,0.052534,0.019806,0.052383,0.047562
0.023237,0.053478,0.052644,0.022155,0.055201,0.054249,0.019421,0.053343,0.048684
0.020263,0.051834,0.050574,0.021072,0.056540,0.054881,0.020159,0.052551,0.048462
0.020540,0.050595,0.048141,0.023234,0.057060,0.055656,0.019957,0.052213,0.049447
0.021127,0.055767,0.051045,0.023979,0.056272,0.056944,0.021220,0.056120,0.053179
0.021483,0.053353,0.050953,0.023717,0.056485,0.054526,0.021937,0.052768,0.051075
0.021959,0.057323,0.052906,0.023330,0.057073,0.056045,0.021331,0.052507,0.049433
0.019464,0.050188,0.052084,0.023668,0.051673,0.049595,0.023281,0.055302,0.051386
0.022277,0.050157,0.049633,0.022985,0.055147,0.055395,0.020422,0.058384,0.052614
0.021905,0.050031,0.048028,0.024388,0.052591,0.051966,0.020107,0.053571,0.052094
0.020842,0.054259,0.052909,0.023915,0.059578,0.057421,0.020601,0.056157,0.050409
0.021703,0.051792,0.050296,0.022196,0.053484,0.050254,0.021929,0.053635,0.051804
0.022414,0.053337,0.051851,0.024216,0.058031,0.054957,0.021260,0.053785,0.050260
0.020397,0.053067,0.048933,0.024423,0.053897,0.054476,0.023712,0.055801,0.051395
0.021434,0.055473,0.052542,0.023598,0.055510,0.053626,0.020458,0.055152,0.048869
0.021062,0.047464,0.046998,0.022891,0.051440,0.051377,0.023716,0.056444,0.052610
0.021696,0.051617,0.047443,0.025179,0.055498,0.055089,0.022391,0.047584,0.046990
0.022894,0.056852,0.051381,0.022029,0.058146,0.055579,0.022523,0.053869,0.051929
0.021712,0.051449,0.050404,0.023814,0.057257,0.056251,0.021643,0.050517,0.046893
0.023155,0.057338,0.053410,0.024383,0.053768,0.053114,0.022126,0.053537,0.048802
0.021071,0.053433,0.051864,0.023071,0.056398,0.058160,0.021999,0.054705,0.048935
0.021113,0.050547,0.049067,0.023548,0.058286,0.053130,0.019752,0.055065,0.049878
0.022713,0.051611,0.050484,0.023817,0.054921,0.051112,0.022351,0.056762,0.050722
0.020713,0.054291,0.050821,0.023657,0.054541,0.053386,0.023206,0.050715,0.047212
0.020614,0.053633,0.052090,0.023889,0.050481,0.048427,0.021241,0.052661,0.048774
0.020850,0.051861,0.048582,0.023631,0.048109,0.051011,0.022972,0.055561,0.050859
0.019289,0.052540,0.052813,0.024359,0.056733,0.053970,0.021915,0.050118,0.047371
