pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
3.496776,1.131136,6.457113,3.133029,1.771263,6.269919,3.921538,0.303534,6.525006
3.498715,1.128952,6.458606,3.133522,1.769342,6.271515,3.921087,0.303366,6.523374
3.500699,1.126654,6.460102,3.134094,1.767301,6.273121,3.920647,0.303203,6.521782
3.502729,1.124240,6.461600,3.134747,1.765138,6.274738,3.920218,0.303046,6.520231
3.504804,1.121712,6.463102,3.135478,1.762854,6.276365,3.919801,0.302894,6.518721
3.506925,1.119069,6.464606,3.136289,1.760448,6.278003,3.919394,0.302747,6.517251
3.509091,1.116311,6.466113,3.137180,1.757921,6.279651,3.918999,0.302606,6.515822
3.511303,1.113437,6.467623,3.138151,1.755272,6.281310,3.918614,0.302471,6.514433
3.513561,1.110449,6.469136,3.139200,1.752503,6.282979,3.918241,0.302341,6.513085
3.515864,1.107346,6.470651,3.140330,1.749611,6.284658,3.917878,0.302217,6.511777
3.518212,1.104128,6.472169,3.141539,1.746599,6.286348,3.917527,0.302098,6.510511
3.520607,1.100795,6.473690,3.142827,1.743465,6.288048,3.917186,0.301984,6.509284
3.523046,1.097347,6.475214,3.144195,1.740210,6.289759,3.916857,0.301876,6.508099
3.525532,1.093785,6.476740,3.145642,1.736833,6.291480,3.916538,0.301773,6.506953
3.528062,1.090107,6.478270,3.147170,1.733335,6.293212,3.916231,0.301676,6.505849
3.530639,1.086314,6.479802,3.148776,1.729716,6.294954,3.915934,0.301585,6.504785
3.533260,1.082406,6.481337,3.150462,1.725975,6.296706,3.915649,0.301498,6.503762
3.535928,1.078384,6.482875,3.152228,1.722113,6.298469,3.915375,0.301418,6.502779
3.538640,1.074246,6.484415,3.154073,1.718129,6.300242,3.915112,0.301343,6.501837
3.541398,1.069994,6.485958,3.155998,1.714024,6.302026,3.914859,0.301273,6.500935
3.544202,1.065626,6.487504,3.158002,1.709798,6.303820,3.914618,0.301209,6.500074
3.547051,1.061144,6.489053,3.160085,1.705450,6.305625,3.914388,0.301150,6.499254
3.549945,1.056547,6.490605,3.162249,1.700981,6.307440,3.914169,0.301096,6.498474
3.552885,1.051834,6.492159,3.164492,1.696391,6.309265,3.913961,0.301049,6.497735
3.555870,1.047007,6.493717,3.166814,1.691679,6.311101,3.913763,0.301006,6.497036
3.558900,1.042065,6.495277,3.169216,1.686846,6.312947,3.913577,0.300969,6.496378
3.561976,1.037008,6.496840,3.171697,1.681892,6.314804,3.913402,0.300938,6.495760
3.565097,1.031836,6.498405,3.174258,1.676816,6.316671,3.913238,0.300912,6.495184
3.568262,1.026549,6.499974,3.176899,1.671619,6.318549,3.913085,0.300891,6.494647
3.571473,1.021147,6.501545,3.179619,1.666300,6.320437,3.912943,0.300876,6.494152
3.574729,1.015630,6.503119,3.182418,1.660860,6.322335,3.912812,0.300867,6.493696
3.578030,1.009998,6.504696,3.185297,1.655299,6.324244,3.912692,0.300863,6.493282
3.581376,1.004252,6.506275,3.188256,1.649616,6.326164,3.912583,0.300864,6.492908
3.584767,0.998390,6.507858,3.191294,1.643812,6.328093,3.912485,0.300871,6.492575
3.588202,0.992413,6.509443,3.194411,1.637886,6.330034,3.912398,0.300884,6.492282
3.591682,0.986322,6.511031,3.197609,1.631840,6.331984,3.912323,0.300901,6.492030
3.595207,0.980115,6.512621,3.200885,1.625671,6.333945,3.912258,0.300925,6.491818
3.598776,0.973794,6.514215,3.204242,1.619382,6.335917,3.912204,0.300954,6.491647
3.602390,0.967357,6.515811,3.207677,1.612971,6.337899,3.912161,0.300988,6.491517
3.606048,0.960806,6.517410,3.211193,1.606438,6.339891,3.912129,0.301028,6.491427
3.609751,0.954140,6.519012,3.214787,1.599785,6.341894,3.912109,0.301073,6.491378
3.613497,0.947359,6.520617,3.218462,1.593010,6.343907,3.912099,0.301124,6.491370
3.617288,0.940462,6.522224,3.222216,1.586113,6.345930,3.912100,0.301180,6.491402
3.621123,0.933451,6.523835,3.226049,1.579095,6.347965,3.912113,0.301241,6.491474
3.625001,0.926325,6.525448,3.229962,1.571956,6.350009,3.912136,0.301308,6.491587
3.628924,0.919084,6.527063,3.233955,1.564696,6.352064,3.912170,0.301381,6.491741
3.632890,0.911728,6.528682,3.238027,1.557314,6.354129,3.912216,0.301459,6.491935
3.636899,0.904258,6.530303,3.242178,1.549810,6.356205,3.912272,0.301543,6.492170
3.640952,0.896672,6.531928,3.246409,1.542186,6.358291,3.912340,0.301632,6.492446
3.645049,0.888971,6.533555,3.250720,1.534440,6.360388,3.912418,0.301726,6.492762
3.649188,0.881155,6.535184,3.255110,1.526572,6.362495,3.912508,0.301826,6.493119
3.653371,0.873225,6.536817,3.259580,1.518584,6.364613,3.912608,0.301932,6.493516
3.657597,0.865179,6.538452,3.264129,1.510473,6.366740,3.912720,0.302042,6.493954
3.661865,0.857018,6.540091,3.268758,1.502242,6.368879,3.912842,0.302159,6.494433
3.666177,0.848743,6.541732,3.273466,1.493889,6.371028,3.912976,0.302281,6.494952
3.670531,0.840353,6.543375,3.278254,1.485415,6.373187,3.913121,0.302408,6.495511
3.674927,0.831847,6.545022,3.283121,1.476819,6.375357,3.913276,0.302541,6.496112
3.679366,0.823227,6.546671,3.288068,1.468102,6.377537,3.913443,0.302679,6.496752
3.683847,0.814492,6.548323,3.293094,1.459264,6.379727,3.913621,0.302823,6.497434
3.688371,0.805641,6.549978,3.298200,1.450304,6.381928,3.913809,0.302972,6.498156
3.692936,0.796676,6.551636,3.303386,1.441223,6.384139,3.914009,0.303127,6.498919
3.697544,0.787596,6.553296,3.308651,1.432020,6.386361,3.914220,0.303287,6.499722
3.702193,0.778401,6.554960,3.313995,1.422696,6.388594,3.914442,0.303453,6.500566
3.706885,0.769091,6.556626,3.319419,1.413251,6.390836,3.914675,0.303624,6.501450
3.711618,0.759666,6.558294,3.324923,1.403684,6.393089,3.914918,0.303800,6.502375
3.716392,0.750126,6.559966,3.330506,1.393996,6.395353,3.915173,0.303982,6.503341
3.721208,0.740472,6.561641,3.336169,1.384187,6.397627,3.915439,0.304170,6.504347
3.726065,0.730702,6.563318,3.341911,1.374256,6.399911,3.915716,0.304363,6.505394
3.730964,0.720817,6.564998,3.347733,1.364204,6.402206,3.916004,0.304562,6.506481
3.735904,0.710818,6.566681,3.353634,1.354031,6.404511,3.916303,0.304766,6.507609
3.740885,0.700703,6.568366,3.359615,1.343736,6.406827,3.916613,0.304975,6.508778
3.745907,0.690474,6.570055,3.365675,1.333320,6.409153,3.916934,0.305190,6.509987
3.750969,0.680129,6.571746,3.371815,1.322782,6.411490,3.917266,0.305410,6.511236
3.756073,0.669670,6.573440,3.378034,1.312123,6.413837,3.917609,0.305636,6.512527
3.761218,0.659095,6.575136,3.384333,1.301343,6.416194,3.917964,0.305867,6.513858
3.766403,0.648406,6.576836,3.390711,1.290441,6.418562,3.918329,0.306104,6.515229
3.771629,0.637602,6.578538,3.397169,1.279418,6.420940,3.918705,0.306347,6.516641
3.776896,0.626683,6.580243,3.403707,1.268274,6.423329,3.919092,0.306594,6.518094
3.782203,0.615649,6.581951,3.410324,1.257008,6.425728,3.919490,0.306848,6.519587
3.787551,0.604500,6.583662,3.417021,1.245620,6.428138,3.919899,0.307106,6.521121
3.792939,0.593236,6.585376,3.423797,1.234112,6.430558,3.920320,0.307371,6.522696
3.798368,0.581857,6.587092,3.430652,1.222482,6.432988,3.920751,0.307640,6.524311
3.803837,0.570363,6.588811,3.437587,1.210731,6.435429,3.921193,0.307915,6.525966
3.809347,0.558754,6.590533,3.444602,1.198858,6.437880,3.921647,0.308196,6.527662
3.814897,0.547030,6.592257,3.451696,1.186864,6.440342,3.922111,0.308482,6.529399
3.820487,0.535191,6.593985,3.458870,1.174748,6.442814,3.922586,0.308774,6.531177
3.826117,0.523238,6.595715,3.466123,1.162512,6.445297,3.923073,0.309071,6.532995
3.831788,0.511169,6.597448,3.473456,1.150154,6.447790,3.923570,0.309373,6.534853
3.837499,0.498986,6.599184,3.480868,1.137674,6.450293,3.924079,0.309681,6.536752
3.843250,0.486687,6.600923,3.488360,1.125073,6.452807,3.924598,0.309995,6.538692
3.849041,0.474274,6.602664,3.495932,1.112351,6.455331,3.925129,0.310314,6.540673
3.854873,0.461745,6.604408,3.503583,1.099507,6.457866,3.925670,0.310638,6.542694
3.860745,0.449102,6.606155,3.511313,1.086542,6.460411,3.926223,0.310968,6.544755
3.866657,0.436344,6.607905,3.519123,1.073456,6.462967,3.926786,0.311303,6.546857
3.872609,0.423471,6.609657,3.527013,1.060248,6.465533,3.927361,0.311644,6.549000
3.878601,0.410483,6.611413,3.534982,1.046919,6.468109,3.927947,0.311990,6.551183
3.884634,0.397379,6.613171,3.543030,1.033468,6.470696,3.928543,0.312342,6.553407
3.890707,0.384161,6.614932,3.551158,1.019896,6.473294,3.929151,0.312699,6.555672
3.896820,0.370828,6.616696,3.559366,1.006203,6.475901,3.929770,0.313062,6.557977
3.902973,0.357381,6.618462,3.567653,0.992388,6.478520,3.930400,0.313430,6.560323
