pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
3.509466,1.131701,6.474572,3.148633,1.780244,6.290662,3.92307,0.315074,6.521811
3.517527,1.129487,6.464093,3.146499,1.76772,6.281106,3.916738,0.301084,6.507588
3.517377,1.12948,6.466372,3.146573,1.767559,6.279975,3.917052,0.301361,6.507523
3.51701,1.128505,6.468129,3.144733,1.7628,6.276042,3.916947,0.301658,6.507629
3.516746,1.127048,6.469747,3.143593,1.76114,6.276185,3.916812,0.301378,6.507414
3.517004,1.12273,6.471775,3.142756,1.764409,6.281489,3.91712,0.301917,6.507962
3.517685,1.119048,6.47623,3.142863,1.763696,6.282362,3.917083,0.301937,6.507844
3.516945,1.116676,6.477266,3.140868,1.756456,6.286786,3.916972,0.301664,6.5079
3.516429,1.1152,6.478098,3.141474,1.754153,6.290254,3.917176,0.301667,6.507892
3.515808,1.112688,6.478754,3.139141,1.74628,6.28422,3.917021,0.301617,6.507864
3.514435,1.108731,6.478407,3.140221,1.742449,6.282897,3.916873,0.301698,6.507394
3.516345,1.108082,6.485175,3.142049,1.737402,6.283003,3.916972,0.301664,6.5079
3.520362,1.087178,6.479047,3.143364,1.735849,6.286119,3.916984,0.301637,6.507746
3.522338,1.075893,6.473543,3.146687,1.731662,6.288365,3.916984,0.301637,6.507746
3.524867,1.072032,6.474785,3.147342,1.725503,6.286612,3.917071,0.301964,6.507998
3.533065,1.074906,6.487165,3.148703,1.711668,6.283707,3.916904,0.301108,6.507461
3.53598,1.072338,6.489982,3.150321,1.705703,6.286999,3.91712,0.301917,6.507962
3.537006,1.068033,6.489857,3.149037,1.704835,6.286837,3.9168,0.301404,6.507568
3.537854,1.064374,6.488944,3.150297,1.708559,6.295405,3.916812,0.301378,6.507414
3.539007,1.062689,6.490042,3.1517,1.706582,6.298284,3.917089,0.301341,6.50764
3.542078,1.05715,6.492307,3.155739,1.709203,6.307289,3.917261,0.302433,6.508635
3.543882,1.05214,6.490369,3.154952,1.706129,6.305392,3.917052,0.301361,6.507523
3.545238,1.050013,6.490821,3.155809,1.704513,6.30598,3.91712,0.301084,6.507299
