pt1_dltres,pt2_dltres,pt3_dltres
0.125520,0.013093,0.083103
0.380646,0.279302,0.286842
0.364287,0.229798,0.281681
0.377031,0.218766,0.277060
0.407879,0.283055,0.278332
0.549311,0.380107,0.282746
0.381390,0.463270,0.275788
0.370470,0.567886,0.277339
0.310663,0.766113,0.273729
0.259149,0.678008,0.290977
0.163249,0.711853,0.263143
0.135289,0.676804,0.277339
0.510350,0.505362,0.284018
0.624171,0.462636,0.284018
0.616871,0.359207,0.269108
0.328531,0.919441,0.276273
0.306249,1.201000,0.282746
0.393963,1.206915,0.271653
0.435000,1.169019,0.278332
0.420058,1.008027,0.288639
0.305926,0.668960,0.297729
0.362871,0.703890,0.281681
0.383823,0.613192,0.279343
0.380638,0.741044,0.296384
0.373396,0.415053,0.284750
0.369824,0.164580,0.273729
0.333747,0.139555,0.281681
0.314136,0.292534,0.284018
0.584749,0.410500,0.189129
0.782068,0.448043,0.200802
0.775780,0.480251,0.073861
0.751782,0.626683,0.073861
0.668015,0.891040,0.343514
0.212935,1.225915,0.204180
0.074346,0.940329,0.210860
0.272194,0.606678,0.341175
0.399686,0.343145,0.341175
0.403450,0.588574,0.330155
0.586137,0.651722,0.480829
0.756524,0.404600,0.492185
0.781793,0.631320,0.492185
0.791260,0.762937,0.480829
0.766161,0.584642,0.359533
0.697805,0.619152,0.352854
0.501409,0.696014,0.355192
0.383537,0.892652,0.352854
0.367325,0.818724,0.350516
0.407091,0.648881,0.355192
0.600938,0.574598,0.359533
0.727862,0.773230,0.359533
0.800130,0.740403,0.355192
0.798818,1.328413,0.357195
0.607424,1.282601,0.352854
0.532142,1.486470,0.361871
0.466881,1.505750,0.352854
0.590291,1.637590,0.348178
0.636385,1.815331,0.350516
0.540736,1.260101,0.366212
0.712534,1.149580,0.355192
0.443860,1.070454,0.352854
0.510046,1.062903,0.368874
0.578155,1.130520,0.377891
0.638522,1.269075,0.371212
0.714717,1.252826,0.377891
0.697475,1.178084,0.371212
0.586744,0.274193,0.368874
0.766585,0.288090,0.368874
0.680739,0.252859,0.380230
0.575824,0.625540,0.204180
0.529158,0.870739,0.174440
0.487286,0.958224,0.151956
0.445017,0.982414,0.230270
0.834689,0.849823,0.230270
0.602913,0.843138,0.207788
0.737465,1.471859,0.207788
0.537455,1.052548,0.207788
0.245309,0.854897,0.107912
0.379356,0.742585,0.034514
0.344568,2.119179,0.150873
0.376821,1.369045,0.448244
0.277877,1.365948,0.560210
0.245167,1.218109,0.351580
0.277905,1.215426,0.429557
0.598028,0.967078,0.429557
0.451305,1.059560,0.194322
0.639713,0.864836,0.175967
0.838042,0.711218,0.368572
0.686179,0.414655,0.325518
0.505720,0.953954,0.384660
0.255440,0.981140,0.402995
0.320557,0.814840,0.200758
0.481336,0.855268,0.192953
0.503446,0.846836,0.197098
0.534269,0.921621,0.338003
0.536610,0.792036,0.338003
0.516539,1.246640,0.338003
0.511135,0.637586,0.293075
0.510437,0.274231,0.233981
0.544306,0.023530,0.233981
0.502259,0.082213,0.189051
