pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
585.486901,494.965844,632.402313,496.447437,575.542721,465.276411,651.393862,470.106966,605.193841,534.839807,607.894411,534.329751
585.714838,494.853298,631.980000,496.020000,575.542721,465.276411,651.821724,470.035655,604.990000,535.000000,608.020000,534.010000
585.942776,494.965844,631.950000,496.040000,575.683422,465.206060,651.679103,470.106966,604.990000,535.000000,608.000000,534.010000
586.018755,494.965844,631.940000,496.050000,575.824124,465.206060,651.607793,470.178276,604.990000,535.010000,608.000000,533.990000
586.170713,495.078391,631.910000,496.070000,575.824124,465.206060,651.536482,470.249586,605.000000,535.010000,608.010000,534.000000
586.170713,495.190937,631.900000,496.110000,575.753773,465.206060,651.536482,470.249586,605.000000,535.020000,608.010000,534.010000
586.170713,495.303484,631.880000,496.150000,575.683422,465.276411,651.179931,470.392207,605.000000,535.020000,608.000000,534.000000
586.246692,495.416030,631.890000,496.170000,575.683422,465.487463,650.609447,470.748759,604.990000,535.010000,608.010000,533.990000
586.322671,495.528577,631.890000,496.170000,575.542721,465.557813,650.609447,470.748759,605.000000,535.010000,608.000000,534.000000
586.550608,495.753670,630.760000,497.380000,575.472371,465.839216,650.466827,470.891380,605.000000,535.010000,608.010000,534.000000
586.626587,495.753670,630.990000,497.210000,575.542721,465.839216,650.181585,471.390553,605.010000,535.010000,608.010000,534.010000
586.702566,495.866216,631.030000,497.190000,575.683422,466.050267,649.896344,471.533173,605.000000,535.010000,608.010000,534.000000
586.930503,496.203856,630.990000,497.270000,575.753773,466.120618,649.753723,471.747104,604.990000,535.010000,608.000000,533.990000
587.082461,496.428949,630.940000,497.380000,575.964825,466.120618,649.539792,471.889725,604.990000,535.010000,608.010000,534.000000
587.310398,496.654041,630.910000,497.460000,575.964825,466.472371,649.397171,471.961036,604.990000,535.030000,607.990000,533.990000
587.538335,496.879134,630.560000,497.920000,575.964825,466.683422,649.111929,472.174967,604.990000,535.000000,608.010000,534.000000
587.766273,496.991681,630.370000,498.110000,576.105526,466.824124,649.183240,472.388898,605.000000,535.020000,608.000000,534.010000
587.766273,497.216774,630.360000,498.170000,576.527629,467.246227,648.969309,472.745450,605.000000,535.010000,608.020000,534.010000
588.070189,497.441867,630.320000,498.230000,576.668330,467.668330,649.325861,472.531519,604.990000,535.010000,608.020000,534.000000
588.298126,497.554413,630.280000,498.450000,576.738681,467.949733,649.111929,472.674139,605.000000,535.020000,608.010000,534.000000
588.450084,497.666960,630.050000,499.060000,576.809032,467.949733,648.969309,472.888071,604.990000,535.010000,608.010000,533.990000
588.526063,497.666960,630.080000,499.810000,576.949733,468.090434,648.755377,473.102002,604.990000,535.010000,608.020000,533.990000
588.602042,497.779506,630.100000,500.100000,576.949733,468.090434,648.327515,473.458554,605.000000,535.010000,608.010000,534.000000
588.981937,498.117146,630.070000,500.130000,577.020083,468.301486,647.828342,473.886416,605.000000,535.010000,608.000000,534.000000
589.513791,498.454785,630.050000,500.300000,577.231135,468.653238,647.543101,474.100347,604.990000,535.010000,608.010000,534.000000
589.513791,498.567332,629.930000,500.620000,577.371836,469.004991,647.543101,474.171658,605.000000,535.010000,608.010000,534.010000
590.425539,499.467704,629.820000,500.880000,577.442187,469.004991,648.042274,474.029037,605.000000,535.000000,608.000000,534.010000
590.729455,500.030436,629.830000,500.960000,577.582888,469.075342,647.970963,474.171658,605.000000,535.000000,608.010000,534.000000
589.930000,499.200000,629.820000,501.010000,577.653238,469.216043,647.899653,474.314278,604.990000,535.010000,608.010000,534.000000
590.030000,499.300000,629.820000,501.080000,577.723589,469.216043,647.685722,474.599520,604.990000,535.010000,608.010000,534.010000
590.090000,499.290000,629.820000,501.110000,577.723589,469.427095,647.685722,474.670830,604.990000,535.010000,608.020000,533.990000
590.210000,499.380000,629.780000,501.210000,577.723589,469.427095,647.614411,474.813451,605.000000,535.010000,608.000000,534.000000
590.270000,499.360000,629.270000,501.800000,577.934641,469.708497,647.400480,475.170003,605.000000,535.010000,608.010000,533.990000
590.840000,500.070000,629.160000,502.000000,578.075342,469.919549,647.400480,475.170003,605.010000,535.000000,608.010000,533.990000
591.150000,500.510000,629.160000,502.050000,578.145693,470.130601,647.115239,475.455245,605.010000,535.010000,608.000000,534.010000
591.280000,500.620000,629.160000,502.090000,578.356744,470.412003,647.043928,475.526555,605.010000,534.990000,608.010000,533.980000
591.360000,500.730000,629.160000,502.140000,578.497445,470.412003,647.043928,475.811796,605.010000,535.010000,608.010000,533.990000
591.510000,500.900000,629.130000,502.230000,578.567796,470.623055,646.829997,476.097038,605.010000,535.000000,608.000000,534.020000
591.630000,500.940000,629.120000,502.300000,579.060250,470.904457,646.687376,476.239659,605.000000,534.990000,608.000000,534.000000
591.760000,501.050000,629.030000,502.510000,579.482353,471.115509,646.544755,476.524900,605.010000,534.990000,608.020000,534.010000
591.870000,501.180000,628.930000,502.800000,579.834106,471.537612,646.402135,476.596211,605.020000,535.000000,608.000000,534.010000
591.930000,501.230000,628.890000,502.880000,579.623055,471.396911,646.402135,476.667521,605.010000,535.000000,608.010000,534.020000
592.040000,501.370000,628.880000,502.910000,579.693405,471.396911,646.330824,476.810142,605.010000,535.000000,608.000000,534.010000
592.180000,501.570000,628.830000,502.960000,579.763756,471.678313,646.616066,476.239659,605.020000,535.000000,608.010000,534.000000
592.330000,501.790000,628.830000,502.990000,579.763756,471.748664,646.544755,476.382280,605.020000,535.010000,608.010000,534.010000
592.390000,501.850000,628.820000,503.030000,579.974807,471.819014,646.473445,476.524900,605.010000,534.990000,608.010000,534.000000
592.610000,502.070000,628.760000,503.090000,580.185859,471.959715,646.473445,476.524900,605.030000,535.000000,608.020000,533.990000
592.780000,502.250000,628.720000,503.140000,580.309962,472.059285,646.402135,476.738831,605.010000,535.010000,608.010000,534.010000
592.880000,502.400000,628.650000,503.250000,580.309962,472.809691,646.330824,477.238004,605.020000,534.990000,608.010000,534.010000
593.020000,502.750000,628.170000,503.860000,580.435029,472.809691,646.330824,477.309315,605.020000,534.980000,608.000000,534.000000
593.050000,502.870000,628.050000,504.020000,580.685165,472.934759,646.116893,477.451935,605.010000,534.990000,608.020000,534.010000
593.050000,502.910000,628.000000,504.070000,580.810232,473.059826,646.054159,477.706485,605.020000,534.990000,608.020000,534.000000
593.070000,502.960000,627.940000,504.080000,581.185436,473.560097,646.054159,477.801566,605.020000,534.990000,608.010000,534.000000
593.060000,503.080000,627.850000,504.120000,581.185436,473.560097,645.863998,478.086808,605.010000,534.990000,608.020000,534.000000
593.060000,503.190000,627.780000,504.140000,581.310503,473.810232,645.768917,477.991727,605.030000,535.000000,608.010000,534.000000
593.060000,503.300000,627.550000,504.340000,581.310503,473.935300,645.578756,478.372049,605.030000,534.980000,608.000000,534.000000
593.090000,503.580000,627.130000,504.890000,581.560639,473.935300,645.483676,478.372049,605.030000,534.990000,608.010000,534.000000
593.090000,503.960000,626.980000,504.960000,581.685706,474.310503,645.388595,478.657291,605.030000,534.990000,608.000000,534.000000
593.100000,504.010000,626.910000,504.990000,581.685706,474.560639,645.198434,478.847452,605.020000,534.990000,608.010000,534.010000
593.080000,504.060000,626.810000,505.030000,581.935842,474.685706,645.103354,478.942532,605.030000,535.000000,607.990000,534.000000
593.050000,504.160000,626.670000,505.080000,582.060909,475.060909,645.008273,479.132693,605.030000,534.980000,608.000000,534.010000
593.040000,504.250000,626.460000,505.160000,581.935842,474.685706,644.818112,479.417935,605.020000,534.990000,608.000000,534.000000
593.030000,504.470000,626.280000,505.270000,582.060909,475.060909,644.818112,479.417935,605.020000,534.990000,608.010000,533.990000
593.040000,504.890000,626.150000,505.310000,582.060909,475.311045,644.723031,479.417935,605.020000,534.990000,608.000000,534.000000
593.030000,505.000000,626.080000,505.390000,582.060909,475.311045,644.532870,479.513015,605.020000,534.980000,608.010000,533.990000
