pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.022653,0.053924,0.057038,0.021213,0.053405,0.058653,0.023995,0.056688,0.056140
0.020776,0.054005,0.056898,0.021676,0.051913,0.058517,0.023329,0.056818,0.054656
0.022231,0.050289,0.052307,0.021775,0.051234,0.054950,0.025192,0.059961,0.062187
0.020574,0.055026,0.057224,0.021843,0.051965,0.057388,0.021245,0.056409,0.057094
0.021898,0.055803,0.057546,0.024086,0.055303,0.061994,0.023364,0.056209,0.055054
0.021325,0.052554,0.056210,0.023255,0.052984,0.056046,0.022425,0.058627,0.056961
0.020604,0.052089,0.058473,0.020927,0.050245,0.056493,0.023208,0.054001,0.056997
0.022285,0.054387,0.056355,0.021581,0.050047,0.057157,0.021971,0.054297,0.057465
0.022390,0.055094,0.056934,0.021647,0.051361,0.054902,0.023346,0.052537,0.053388
0.020321,0.055535,0.057038,0.021168,0.052682,0.057319,0.021213,0.057987,0.055972
0.022505,0.052291,0.054005,0.020818,0.050488,0.055665,0.020529,0.053778,0.051871
0.021891,0.054847,0.055895,0.022678,0.053463,0.059063,0.024305,0.055608,0.056117
0.021366,0.055952,0.058689,0.021475,0.051501,0.057155,0.022924,0.060092,0.060193
0.021444,0.055814,0.059864,0.023555,0.051338,0.057109,0.021040,0.060066,0.058150
0.022265,0.051139,0.053793,0.023124,0.051806,0.057630,0.022212,0.059494,0.059844
0.021901,0.054936,0.057429,0.021119,0.053148,0.055047,0.023481,0.054345,0.056533
0.020357,0.053839,0.056504,0.023047,0.052079,0.059743,0.021380,0.056253,0.055451
0.022291,0.052565,0.053838,0.021845,0.049792,0.054119,0.020969,0.058184,0.059724
0.022762,0.052116,0.055111,0.022234,0.048930,0.053099,0.022372,0.056870,0.056759
0.022716,0.054155,0.055621,0.024434,0.050564,0.054940,0.022556,0.058368,0.058611
0.022008,0.048822,0.053747,0.021086,0.053411,0.057078,0.022234,0.061384,0.063438
0.021923,0.057436,0.060727,0.023212,0.054617,0.057868,0.024723,0.057421,0.057856
0.022745,0.050119,0.054121,0.019953,0.054064,0.057255,0.020640,0.058109,0.059278
0.022520,0.055910,0.057373,0.022233,0.053877,0.055943,0.023480,0.059093,0.058212
0.020441,0.054922,0.058400,0.024597,0.053569,0.060861,0.020105,0.061675,0.060285
0.021351,0.050230,0.053804,0.021778,0.052537,0.056574,0.022652,0.054458,0.053588
0.019746,0.050937,0.055206,0.020160,0.053351,0.055849,0.022930,0.059981,0.056715
0.022212,0.057375,0.060843,0.021661,0.048258,0.054682,0.021787,0.054364,0.055090
0.022875,0.054805,0.057501,0.021797,0.052183,0.059160,0.022409,0.056218,0.058767
0.022313,0.057515,0.058155,0.022122,0.054452,0.057794,0.024151,0.052296,0.053367
0.023959,0.049725,0.051309,0.022111,0.050263,0.057135,0.023150,0.055588,0.054104
0.022380,0.051789,0.057709,0.022233,0.058276,0.057207,0.024805,0.061328,0.061702
0.022784,0.055229,0.058048,0.022208,0.053285,0.058445,0.022726,0.057587,0.055229
0.021772,0.054537,0.059759,0.021163,0.055537,0.059378,0.021200,0.058058,0.058898
0.021817,0.052822,0.054765,0.020114,0.051616,0.054121,0.022311,0.058863,0.058378
0.021759,0.056842,0.059907,0.023622,0.054161,0.058482,0.022381,0.057149,0.057895
0.021407,0.051485,0.058985,0.021708,0.051254,0.057516,0.022356,0.059760,0.060263
0.022366,0.055038,0.054427,0.022032,0.050301,0.055486,0.025180,0.057742,0.057496
0.024373,0.050215,0.051464,0.022256,0.053924,0.059661,0.020956,0.060125,0.059375
0.021785,0.055122,0.056658,0.023193,0.051551,0.055730,0.024327,0.060248,0.058457
0.022300,0.050792,0.055093,0.022310,0.051131,0.053608,0.023174,0.061635,0.061673
0.023105,0.057998,0.061500,0.022584,0.053445,0.057544,0.021287,0.053472,0.052466
0.021762,0.055843,0.060360,0.023862,0.054337,0.059065,0.023120,0.057494,0.057840
0.022439,0.053527,0.055773,0.021164,0.053456,0.057349,0.022705,0.057533,0.056921
0.024034,0.056129,0.056611,0.023005,0.052940,0.059360,0.021194,0.061987,0.062875
0.023274,0.054686,0.055520,0.023875,0.055094,0.060176,0.022464,0.057446,0.057161
0.022682,0.055953,0.057709,0.021298,0.050714,0.056719,0.022519,0.057534,0.060244
0.022557,0.054912,0.056097,0.024344,0.060180,0.064671,0.022048,0.061142,0.062828
0.022815,0.055192,0.058985,0.022329,0.054421,0.055349,0.021282,0.051469,0.054857
0.021543,0.055152,0.059809,0.021489,0.052201,0.057728,0.023199,0.062713,0.061798
0.022644,0.058124,0.062123,0.023440,0.055227,0.059941,0.022983,0.054156,0.056814
0.022215,0.052089,0.056492,0.021804,0.051843,0.054595,0.020936,0.057528,0.059348
0.021859,0.056006,0.056713,0.023062,0.049903,0.050658,0.023031,0.059210,0.057725
0.023192,0.055037,0.057097,0.022904,0.055188,0.059160,0.024059,0.059997,0.058871
0.023029,0.053239,0.053855,0.021170,0.057927,0.061622,0.023761,0.061902,0.060527
0.022207,0.054998,0.056749,0.021824,0.054360,0.055745,0.023448,0.066376,0.065180
0.022158,0.052703,0.056028,0.025356,0.053596,0.056283,0.022689,0.055957,0.055350
0.023569,0.052778,0.055042,0.023313,0.054003,0.056388,0.022095,0.058044,0.055185
0.021890,0.055049,0.056801,0.020909,0.054069,0.058459,0.026108,0.059901,0.056874
0.021559,0.054545,0.058351,0.022631,0.054010,0.057632,0.020493,0.052523,0.053510
0.021730,0.053847,0.055785,0.021960,0.050408,0.054891,0.020939,0.056117,0.056600
0.022244,0.053312,0.056119,0.022975,0.052742,0.059183,0.022362,0.060073,0.062279
0.022049,0.053002,0.057380,0.023304,0.054866,0.057899,0.023754,0.059163,0.057258
0.022426,0.053601,0.058745,0.022109,0.055231,0.061399,0.022043,0.055305,0.056009
0.023013,0.053139,0.055150,0.022807,0.054477,0.055173,0.022313,0.063195,0.064875
0.021248,0.056286,0.056504,0.020003,0.053869,0.057784,0.022922,0.063863,0.066078
0.022546,0.055336,0.055447,0.021719,0.049770,0.050831,0.023424,0.052727,0.056904
0.022026,0.055422,0.061981,0.022755,0.055178,0.062083,0.022055,0.056017,0.057626
0.019187,0.049437,0.052881,0.021357,0.053832,0.059118,0.021799,0.055598,0.054007
0.021412,0.059502,0.060119,0.022431,0.051598,0.055141,0.023109,0.056469,0.056715
