pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
4.418081,1.527526,4.066272,4.367226,2.341534,4.016072,4.434038,0.308418,4.114574
4.416360,1.520514,4.064809,4.365358,2.335114,4.014771,4.433888,0.308324,4.114889
4.414683,1.513552,4.063369,4.363531,2.328724,4.013475,4.433741,0.308233,4.115198
4.413051,1.506641,4.061951,4.361745,2.322364,4.012184,4.433597,0.308142,4.115500
4.411464,1.499781,4.060557,4.360001,2.316033,4.010898,4.433455,0.308053,4.115796
4.409921,1.492972,4.059185,4.358298,2.309733,4.009616,4.433316,0.307964,4.116086
4.408423,1.486213,4.057837,4.356636,2.303463,4.008340,4.433180,0.307878,4.116370
4.406969,1.479505,4.056511,4.355015,2.297223,4.007068,4.433047,0.307792,4.116647
4.405560,1.472847,4.055209,4.353435,2.291013,4.005801,4.432916,0.307708,4.116919
4.404196,1.466240,4.053929,4.351897,2.284833,4.004540,4.432789,0.307624,4.117183
4.402876,1.459684,4.052672,4.350400,2.278683,4.003283,4.432664,0.307542,4.117442
4.401601,1.453178,4.051438,4.348944,2.272563,4.002030,4.432542,0.307462,4.117694
4.400370,1.446723,4.050227,4.347529,2.266474,4.000783,4.432423,0.307382,4.117940
4.399184,1.440318,4.049039,4.346156,2.260415,3.999541,4.432306,0.307304,4.118179
4.398042,1.433964,4.047874,4.344824,2.254386,3.998303,4.432193,0.307227,4.118413
4.396945,1.427660,4.046732,4.343533,2.248387,3.997071,4.432082,0.307152,4.118640
4.395893,1.421406,4.045613,4.342283,2.242418,3.995843,4.431974,0.307077,4.118860
4.394885,1.415202,4.044517,4.341074,2.236480,3.994620,4.431869,0.307004,4.119075
4.393922,1.409047,4.043443,4.339907,2.230571,3.993402,4.431766,0.306932,4.119283
4.393003,1.402941,4.042393,4.338780,2.224693,3.992189,4.431666,0.306862,4.119485
4.392129,1.396885,4.041366,4.337695,2.218845,3.990981,4.431570,0.306792,4.119680
4.391299,1.390877,4.040361,4.336652,2.213027,3.989778,4.431476,0.306724,4.119869
4.390514,1.384916,4.039380,4.335649,2.207238,3.988579,4.431384,0.306657,4.120052
4.389773,1.379004,4.038421,4.334688,2.201480,3.987386,4.431296,0.306591,4.120229
4.389076,1.373137,4.037485,4.333768,2.195750,3.986197,4.431210,0.306527,4.120399
4.388424,1.367317,4.036573,4.332889,2.190049,3.985013,4.431127,0.306464,4.120563
4.387816,1.361542,4.035683,4.332051,2.184377,3.983834,4.431047,0.306402,4.120721
4.387252,1.355810,4.034816,4.331255,2.178734,3.982660,4.430970,0.306341,4.120872
4.386732,1.350122,4.033972,4.330499,2.173118,3.981491,4.430896,0.306282,4.121018
4.386256,1.344475,4.033151,4.329785,2.167529,3.980326,4.430824,0.306224,4.121156
4.385824,1.338869,4.032353,4.329112,2.161966,3.979167,4.430755,0.306167,4.121289
4.385435,1.333301,4.031578,4.328481,2.156429,3.978012,4.430689,0.306111,4.121415
4.385090,1.327771,4.030826,4.327890,2.150917,3.976863,4.430626,0.306057,4.121535
4.384789,1.322277,4.030096,4.327341,2.145429,3.975718,4.430565,0.306003,4.121649
4.384531,1.316816,4.029390,4.326833,2.139964,3.974578,4.430508,0.305951,4.121756
4.384315,1.311387,4.028707,4.326367,2.134521,3.973443,4.430453,0.305901,4.121857
4.384143,1.305988,4.028046,4.325941,2.129099,3.972312,4.430401,0.305851,4.121952
4.384013,1.300616,4.027409,4.325557,2.123696,3.971187,4.430351,0.305803,4.122040
4.383925,1.295270,4.026794,4.325214,2.118311,3.970067,4.430305,0.305756,4.122123
4.383880,1.289946,4.026203,4.324912,2.112942,3.968951,4.430261,0.305710,4.122198
4.383876,1.284641,4.025634,4.324651,2.107588,3.967840,4.430220,0.305666,4.122268
4.383914,1.279354,4.025088,4.324431,2.102247,3.966734,4.430182,0.305623,4.122331
4.383993,1.274080,4.024566,4.324253,2.096917,3.965634,4.430147,0.305581,4.122388
4.384112,1.268817,4.024066,4.324116,2.091595,3.964537,4.430114,0.305540,4.122439
4.384272,1.263562,4.023589,4.324020,2.086280,3.963446,4.430085,0.305501,4.122483
4.384472,1.258311,4.023135,4.323966,2.080970,3.962360,4.430058,0.305462,4.122521
4.384711,1.253060,4.022704,4.323952,2.075661,3.961278,4.430034,0.305425,4.122553
4.384990,1.247807,4.022296,4.323980,2.070351,3.960202,4.430012,0.305390,4.122579
4.385307,1.242546,4.021910,4.324049,2.065038,3.959130,4.429994,0.305355,4.122598
4.385662,1.237275,4.021548,4.324159,2.059718,3.958063,4.429978,0.305322,4.122611
4.386054,1.231989,4.021209,4.324311,2.054388,3.957001,4.429965,0.305290,4.122617
4.386484,1.226684,4.020893,4.324504,2.049045,3.955944,4.429955,0.305259,4.122618
4.386950,1.221357,4.020599,4.324737,2.043687,3.954892,4.429948,0.305230,4.122612
4.387451,1.216002,4.020329,4.325012,2.038308,3.953845,4.429943,0.305202,4.122600
4.387988,1.210615,4.020081,4.325329,2.032906,3.952802,4.429942,0.305175,4.122581
4.388560,1.205192,4.019856,4.325686,2.027477,3.951765,4.429943,0.305149,4.122556
4.389165,1.199728,4.019655,4.326085,2.022018,3.950732,4.429947,0.305124,4.122525
4.389803,1.194219,4.019476,4.326525,2.016523,3.949704,4.429953,0.305101,4.122487
4.390474,1.188660,4.019320,4.327006,2.010989,3.948681,4.429963,0.305079,4.122444
4.391177,1.183047,4.019187,4.327529,2.005412,3.947663,4.429975,0.305058,4.122394
4.391910,1.177374,4.019077,4.328092,1.999787,3.946650,4.429990,0.305039,4.122337
4.392674,1.171638,4.018990,4.328697,1.994109,3.945642,4.430008,0.305021,4.122275
4.393467,1.165833,4.018926,4.329343,1.988375,3.944638,4.430029,0.305004,4.122206
4.394289,1.159954,4.018885,4.330030,1.982580,3.943640,4.430052,0.304988,4.122130
4.395138,1.153998,4.018867,4.330759,1.976719,3.942646,4.430078,0.304973,4.122049
4.396015,1.147959,4.018872,4.331528,1.970786,3.941657,4.430108,0.304960,4.121961
4.396917,1.141833,4.018899,4.332339,1.964778,3.940673,4.430139,0.304948,4.121867
4.397845,1.135615,4.018950,4.333191,1.958689,3.939694,4.430174,0.304937,4.121766
4.398797,1.129302,4.019024,4.334085,1.952514,3.938720,4.430212,0.304928,4.121660
4.399772,1.122888,4.019120,4.335019,1.946249,3.937750,4.430252,0.304920,4.121547
4.400770,1.116369,4.019240,4.335995,1.939888,3.936786,4.430295,0.304912,4.121427
4.401790,1.109742,4.019382,4.337012,1.933426,3.935826,4.430341,0.304907,4.121302
4.402830,1.103003,4.019547,4.338070,1.926859,3.934872,4.430389,0.304902,4.121170
4.403890,1.096147,4.019736,4.339170,1.920180,3.933922,4.430441,0.304899,4.121032
4.404970,1.089171,4.019947,4.340310,1.913387,3.932977,4.430495,0.304897,4.120887
4.406067,1.082072,4.020181,4.341492,1.906472,3.932037,4.430552,0.304896,4.120736
4.407181,1.074846,4.020438,4.342715,1.899433,3.931102,4.430612,0.304897,4.120579
4.408312,1.067489,4.020718,4.343979,1.892263,3.930171,4.430675,0.304898,4.120416
4.409458,1.060000,4.021021,4.345285,1.884958,3.929246,4.430740,0.304901,4.120246
4.410619,1.052375,4.021347,4.346631,1.877514,3.928325,4.430808,0.304905,4.120070
4.411793,1.044611,4.021696,4.348019,1.869926,3.927410,4.430879,0.304911,4.119888
4.412979,1.036707,4.022067,4.349448,1.862190,3.926499,4.430953,0.304918,4.119699
4.414178,1.028660,4.022462,4.350919,1.854301,3.925593,4.431030,0.304926,4.119504
4.415387,1.020468,4.022880,4.352430,1.846255,3.924692,4.431109,0.304935,4.119303
4.416606,1.012130,4.023320,4.353983,1.838049,3.923796,4.431191,0.304945,4.119096
4.417835,1.003644,4.023784,4.355577,1.829679,3.922904,4.431277,0.304957,4.118882
4.419072,0.995009,4.024270,4.357212,1.821140,3.922018,4.431364,0.304970,4.118662
4.420317,0.986223,4.024780,4.358889,1.812430,3.921136,4.431455,0.304984,4.118435
4.421568,0.977287,4.025312,4.360606,1.803545,3.920260,4.431548,0.304999,4.118203
4.422825,0.968199,4.025867,4.362365,1.794483,3.919388,4.431645,0.305016,4.117964
4.424088,0.958960,4.026445,4.364165,1.785240,3.918521,4.431744,0.305034,4.117718
4.425355,0.949569,4.027046,4.366006,1.775814,3.917659,4.431845,0.305053,4.117467
4.426626,0.940026,4.027670,4.367889,1.766202,3.916802,4.431950,0.305074,4.117209
4.427899,0.930332,4.028317,4.369812,1.756403,3.915949,4.432057,0.305095,4.116945
4.429176,0.920487,4.028987,4.371777,1.746414,3.915102,4.432168,0.305118,4.116674
4.430453,0.910492,4.029680,4.373783,1.736234,3.914259,4.432281,0.305142,4.116398
4.431732,0.900348,4.030396,4.375831,1.725860,3.913422,4.432397,0.305168,4.116115
4.433011,0.890057,4.031135,4.377919,1.715293,3.912589,4.432515,0.305194,4.115825
4.434290,0.879618,4.031897,4.380049,1.704531,3.911761,4.432637,0.305222,4.115530
4.435568,0.869035,4.032681,4.382220,1.693574,3.910938,4.432761,0.305252,4.115228
4.436845,0.858309,4.033489,4.384432,1.682420,3.910120,4.432888,0.305282,4.114919
4.438120,0.847441,4.034319,4.386686,1.671069,3.909306,4.433018,0.305314,4.114605
4.439393,0.836433,4.035173,4.388980,1.659523,3.908498,4.433150,0.305346,4.114284
4.440662,0.825288,4.036049,4.391316,1.647780,3.907695,4.433286,0.305381,4.113957
4.441929,0.814008,4.036948,4.393693,1.635841,3.906896,4.433424,0.305416,4.113624
4.443191,0.802594,4.037871,4.396111,1.623706,3.906102,4.433565,0.305453,4.113284
4.444450,0.791051,4.038816,4.398571,1.611378,3.905313,4.433708,0.305491,4.112938
4.445703,0.779378,4.039784,4.401071,1.598856,3.904529,4.433855,0.305530,4.112586
4.446952,0.767580,4.040775,4.403613,1.586141,3.903750,4.434004,0.305570,4.112227
4.448196,0.755659,4.041789,4.406197,1.573235,3.902976,4.434157,0.305612,4.111862
4.449434,0.743618,4.042826,4.408821,1.560140,3.902206,4.434312,0.305655,4.111491
4.450666,0.731458,4.043886,4.411486,1.546856,3.901442,4.434469,0.305699,4.111113
4.451892,0.719183,4.044968,4.414193,1.533386,3.900682,4.434630,0.305744,4.110730
4.453111,0.706795,4.046074,4.416941,1.519731,3.899927,4.434793,0.305791,4.110340
4.454324,0.694296,4.047203,4.419730,1.505892,3.899177,4.434960,0.305839,4.109943
4.455530,0.681690,4.048355,4.422561,1.491873,3.898432,4.435129,0.305888,4.109540
4.456729,0.668979,4.049529,4.425432,1.477673,3.897692,4.435300,0.305938,4.109131
4.457920,0.656164,4.050727,4.428345,1.463296,3.896957,4.435475,0.305990,4.108716
4.459104,0.643248,4.051947,4.431299,1.448743,3.896226,4.435652,0.306043,4.108295
4.460280,0.630234,4.053190,4.434294,1.434015,3.895501,4.435832,0.306097,4.107867
4.461449,0.617124,4.054457,4.437331,1.419115,3.894780,4.436015,0.306152,4.107433
4.462610,0.603919,4.055746,4.440409,1.404044,3.894064,4.436201,0.306209,4.106992
4.463762,0.590622,4.057058,4.443528,1.388803,3.893353,4.436390,0.306267,4.106545
4.464907,0.577233,4.058393,4.446688,1.373395,3.892647,4.436581,0.306326,4.106092
4.466044,0.563755,4.059751,4.449889,1.357819,3.891946,4.436775,0.306386,4.105633
4.467172,0.550190,4.061132,4.453132,1.342079,3.891250,4.436972,0.306448,4.105167
4.468292,0.536538,4.062536,4.456415,1.326174,3.890558,4.437172,0.306510,4.104695
4.469404,0.522800,4.063963,4.459740,1.310105,3.889872,4.437374,0.306575,4.104217
4.470507,0.508977,4.065413,4.463106,1.293874,3.889190,4.437580,0.306640,4.103733
4.471602,0.495071,4.066886,4.466514,1.277481,3.888513,4.437788,0.306706,4.103242
4.472689,0.481082,4.068381,4.469962,1.260927,3.887842,4.437999,0.306774,4.102745
4.473767,0.467011,4.069900,4.473452,1.244212,3.887175,4.438213,0.306843,4.102241
4.474836,0.452858,4.071441,4.476983,1.227336,3.886512,4.438429,0.306914,4.101731
4.475897,0.438623,4.073006,4.480556,1.210300,3.885855,4.438649,0.306985,4.101215
4.476950,0.424306,4.074593,4.484169,1.193104,3.885203,4.438871,0.307058,4.100693
4.477994,0.409909,4.076204,4.487824,1.175748,3.884555,4.439096,0.307132,4.100165
4.479030,0.395430,4.077837,4.491520,1.158232,3.883912,4.439323,0.307208,4.099630
4.480057,0.380870,4.079493,4.495257,1.140556,3.883275,4.439554,0.307284,4.099088
4.481076,0.366229,4.081172,4.499035,1.122720,3.882642,4.439787,0.307362,4.098541
4.482086,0.351507,4.082874,4.502855,1.104724,3.882014,4.440023,0.307441,4.097987
4.483087,0.336705,4.084600,NaN,NaN,NaN,4.440262,0.307521,4.097427
