pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
4.418044,1.53924,4.090614,4.339511,2.323486,4.005624,4.428659,0.298997,4.11534
4.418316,1.520931,4.065908,4.336569,2.334302,4.015061,4.43164,0.307455,4.120399
4.415875,1.513565,4.061238,4.335317,2.327203,4.008357,4.431791,0.306882,4.119887
4.414909,1.5112,4.059261,4.333833,2.321759,4.004294,4.431861,0.306808,4.119679
4.413491,1.505949,4.056481,4.334228,2.320066,4.003689,4.431633,0.306824,4.11985
4.413942,1.505515,4.058315,4.335168,2.321942,4.005419,4.431657,0.30683,4.120148
4.414466,1.504812,4.059898,4.338704,2.314788,4.001515,4.431748,0.306517,4.119723
4.413779,1.502753,4.060015,4.343044,2.300336,3.995822,4.431786,0.307094,4.119935
4.413197,1.500384,4.059552,4.3452,2.303923,4.000159,4.431708,0.306537,4.119594
4.417368,1.465816,4.048303,4.348038,2.301735,4.004182,4.431633,0.306824,4.11985
4.414925,1.469492,4.049376,4.348344,2.293498,4.003543,4.43148,0.306553,4.119765
4.41408,1.468143,4.049581,4.349108,2.282182,3.997963,4.431633,0.306824,4.11985
4.412496,1.460109,4.048491,4.349125,2.276882,3.997071,4.431861,0.306808,4.119679
4.411521,1.454249,4.048115,4.34761,2.266021,3.988903,4.43177,0.307121,4.120104
4.409421,1.446737,4.045854,4.349899,2.261634,3.990897,4.432015,0.30648,4.119682
4.409063,1.431435,4.041812,4.352432,2.254207,3.989947,4.431731,0.307142,4.119975
4.407519,1.420095,4.035908,4.350251,2.252337,3.993498,4.431732,0.306543,4.119892
4.40838,1.419453,4.039505,4.34723,2.23518,3.988866,4.431542,0.307137,4.120275
4.405357,1.409484,4.034762,4.344791,2.239138,3.995994,4.431695,0.307407,4.12036
4.402662,1.402242,4.033127,4.346262,2.231343,3.994786,4.431672,0.306803,4.119979
4.401767,1.392864,4.035051,4.346002,2.226195,3.993009,4.431786,0.307094,4.119935
4.399327,1.393217,4.046331,4.345865,2.216983,3.98948,4.431711,0.30738,4.120192
4.398135,1.39202,4.051167,4.348365,2.206657,3.984695,4.431633,0.306824,4.11985
4.394495,1.37984,4.045694,4.351155,2.192229,3.980203,4.431708,0.306537,4.119594
4.388502,1.363972,4.039,4.351419,2.178754,3.975782,4.43177,0.307121,4.120104
4.389317,1.361193,4.042706,4.350804,2.174246,3.977849,4.431617,0.30685,4.120019
4.380902,1.331127,4.032883,4.346505,2.184954,3.986182,4.431653,0.306585,4.119634
4.378797,1.321778,4.03403,4.345182,2.179436,3.98415,4.431594,0.306844,4.119721
4.386357,1.345962,4.044018,4.345077,2.17564,3.98473,4.43177,0.307121,4.120104
4.385285,1.343081,4.043948,4.345216,2.168785,3.982354,4.431755,0.307147,4.120272
4.384385,1.341482,4.042819,4.345932,2.168411,3.98615,4.431711,0.30738,4.120192
4.383248,1.337045,4.041611,4.346217,2.166851,3.986718,4.431708,0.306537,4.119594
4.385166,1.32293,4.036789,4.345465,2.155659,3.98554,4.431649,0.306797,4.119682
4.380721,1.302726,4.032074,4.344409,2.151354,3.984689,4.431472,0.306521,4.1193
4.378168,1.293111,4.030739,4.34589,2.142135,3.983166,4.431555,0.306267,4.119509
4.376774,1.289289,4.029549,4.344566,2.134055,3.98085,4.431449,0.306515,4.119002
4.376042,1.2869,4.029777,4.342227,2.130824,3.982057,4.431511,0.3065,4.119429
4.374753,1.281678,4.028922,4.343196,2.123444,3.982309,4.4315,0.306315,4.119549
4.373245,1.278087,4.027335,4.338495,2.106049,3.972426,4.43163,0.306579,4.119336
4.372241,1.272197,4.026688,4.33423,2.090997,3.965746,4.431326,0.306881,4.119763
4.371535,1.266737,4.02787,4.332078,2.076899,3.959918,4.431379,0.305991,4.119127
