pt1_dltres,pt2_dltres,pt3_dltres
0.107099,0.187744,0.067221
0.239712,0.035969,0.257916
0.330862,0.146208,0.253133
0.332783,0.189709,0.273339
0.413002,0.254003,0.270509
0.463070,0.264398,0.270908
0.510712,0.406624,0.275118
0.589711,0.632830,0.275730
0.679438,0.604370,0.268118
0.200315,0.546359,0.270509
0.021772,0.933505,0.265289
0.090808,0.928547,0.270509
0.297630,1.044286,0.273339
0.392565,1.159194,0.269128
0.522989,0.994741,0.284948
0.325787,1.057337,0.262127
0.266211,1.061010,0.268516
0.381914,0.989754,0.266299
0.533934,0.445741,0.271519
0.490973,0.384445,0.277510
0.134419,0.549450,0.275730
0.340927,0.623081,0.278122
0.437227,0.961968,0.270509
0.173437,1.207028,0.268118
0.022383,1.140033,0.269128
0.138515,0.919905,0.263907
0.424483,0.693644,0.254515
0.811637,0.734783,0.263509
0.080616,0.737038,0.269128
0.118856,0.966342,0.262525
0.100695,0.865427,0.278122
0.105352,0.976522,0.268118
0.411986,1.034978,0.277112
0.008230,0.866559,0.271493
0.327622,0.965607,0.262897
0.396866,0.801891,0.271095
0.452380,0.968490,0.278494
0.526291,1.050088,0.249294
0.522927,0.909339,0.254116
0.458442,0.921840,0.253679
0.350002,0.656505,0.257278
0.331211,0.832792,0.251685
0.422736,0.933573,0.255896
0.537683,0.281857,0.266272
0.693328,0.343729,0.266670
0.715130,0.374620,0.257890
0.846476,0.245170,0.276648
0.954111,0.315215,0.265289
0.983987,0.135309,0.252669
0.731057,0.163800,0.249879
0.684921,0.185601,0.253679
0.667891,0.262269,0.261663
0.684631,0.080385,0.259271
0.719074,0.153489,0.260281
0.765955,0.079084,0.267654
0.655587,0.129714,0.251261
0.392041,0.116327,0.260653
0.575639,0.046056,0.258261
0.575371,0.042421,0.252669
0.556987,0.003985,0.262870
0.555918,0.128727,0.244658
0.514011,0.386028,0.256880
0.550612,0.105149,0.265874
0.788258,0.046657,0.256880
0.794227,0.062291,0.258873
0.795939,0.233700,0.259271
0.653024,0.233700,0.259271
0.590886,0.342645,0.258660
0.500390,0.449275,0.258261
0.706070,0.364872,0.258660
0.707478,0.513038,0.257278
0.720046,0.317871,0.271865
0.725286,0.145940,0.258834
0.419021,0.032780,0.274654
0.225955,0.093956,0.255870
0.315313,0.134160,0.265874
0.600721,0.139669,0.252669
0.614390,0.634936,0.265874
0.602890,0.783096,0.258261
0.402950,0.507190,0.255870
0.501505,0.419655,0.256482
0.495436,0.521758,0.258873
0.500550,0.623853,0.269101
0.476123,0.502926,0.247076
0.356685,0.307753,0.258288
0.297053,0.230839,0.265289
0.140951,0.212928,0.267282
0.373182,0.107463,0.271493
0.545950,0.051268,0.264890
0.407438,0.145163,0.274283
0.867478,0.144505,0.264890
0.898959,0.253380,0.257278
0.675310,0.122522,0.265900
0.748501,0.054405,0.257890
0.777440,0.228837,0.267680
0.467401,0.225062,0.247912
0.273430,0.177015,0.269499
0.316280,0.238786,0.282731
0.222687,0.084952,0.266710
0.134888,0.168710,0.270509
0.525200,0.090894,0.264890
0.827467,0.229869,0.279902
0.601654,0.259196,0.268118
0.579463,0.574781,0.263509
0.462328,0.348677,0.250304
0.051854,0.758739,0.267720
0.131265,0.768318,0.270111
0.110626,0.902353,0.270111
0.082771,0.800860,0.256906
0.129770,0.538129,0.263907
0.327668,0.186665,0.249507
0.016638,0.010131,0.007727
0.290685,0.319223,0.006346
0.370615,0.209973,0.000727
0.055500,0.037757,0.006346
0.130042,0.246892,0.020347
0.043631,0.734281,0.027348
0.190009,0.778844,0.085456
0.238504,0.470406,0.093839
0.295945,0.054542,0.199641
0.014312,0.106503,0.106459
0.265490,0.247987,0.118985
0.519922,0.604192,0.123130
0.385850,0.505318,0.115404
0.028967,0.267128,0.088782
0.202031,0.129714,0.003516
0.356635,0.455249,0.044969
0.136610,0.700071,0.074262
0.011695,0.437123,0.124557
0.445085,0.473942,0.085855
0.800781,1.523586,0.202019
0.936431,1.192970,0.072872
0.884025,0.719472,0.114927
0.815709,1.341865,0.043621
0.791810,1.233571,0.086574
0.211567,1.319845,0.137906
0.087567,1.152830,0.396099
0.096455,0.921538,0.501544
0.269450,0.859902,0.134736
0.548848,0.452922,0.089227
0.904887,NaN,0.035349
