pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
250.994891,604.703270,267.940272,411.190767,237.095756,575.444035,282.177584,378.416422,271.475913,641.920054,251.028244,453.916845
251.060000,604.990000,268.020000,411.020000,237.060000,574.930000,282.085045,378.416422,270.990000,641.990000,251.010000,454.000000
251.140000,604.980000,268.050000,411.040000,237.140000,574.860000,281.992507,378.416422,271.000000,642.000000,251.010000,454.010000
251.220000,604.980000,268.090000,411.070000,237.010000,574.300000,281.992507,378.416422,271.000000,641.980000,251.010000,454.000000
251.360000,605.000000,268.100000,411.100000,237.060000,574.180000,282.362660,377.583578,270.990000,641.980000,251.010000,454.000000
251.630000,605.070000,268.120000,411.140000,237.130000,574.130000,282.362660,377.491040,271.010000,641.990000,251.010000,454.010000
251.840000,605.150000,268.160000,411.170000,237.840000,575.010000,282.362660,377.583578,271.000000,641.990000,251.010000,454.010000
251.940000,605.230000,268.200000,411.270000,237.980000,575.140000,282.362660,377.768654,271.010000,641.990000,251.010000,454.000000
252.100000,605.320000,268.230000,411.340000,238.850000,576.360000,282.362660,378.138807,271.010000,641.990000,251.020000,454.000000
252.350000,605.530000,268.250000,411.430000,239.000000,576.590000,282.362660,378.231346,271.000000,642.000000,251.010000,454.000000
252.710000,605.870000,268.210000,411.830000,239.050000,576.460000,282.270122,379.064190,271.000000,641.990000,251.010000,454.010000
252.830000,605.920000,268.910000,412.870000,238.970000,576.000000,282.362660,379.341805,270.990000,641.980000,251.010000,454.000000
252.950000,605.950000,268.970000,413.230000,239.030000,575.930000,282.547737,379.434343,271.000000,641.980000,251.000000,453.990000
253.040000,605.950000,269.020000,413.300000,239.090000,575.860000,282.640275,379.526881,270.990000,641.990000,251.020000,454.000000
253.140000,605.950000,269.130000,413.220000,239.160000,575.810000,282.917890,379.619419,271.000000,641.990000,251.010000,454.010000
253.240000,605.970000,269.150000,413.350000,239.350000,575.940000,283.010428,379.897034,271.000000,641.980000,251.010000,454.010000
253.420000,606.040000,269.090000,413.560000,239.730000,576.220000,283.010428,380.174649,270.990000,641.990000,251.000000,454.010000
253.690000,606.220000,269.030000,413.820000,239.840000,576.230000,282.917890,380.267187,271.000000,641.990000,251.020000,453.990000
253.840000,606.300000,269.070000,413.900000,239.900000,576.200000,282.917890,380.452263,271.000000,641.980000,251.020000,454.010000
253.970000,606.420000,269.110000,413.940000,239.970000,576.130000,283.195504,380.267187,271.000000,641.980000,251.010000,454.000000
254.090000,606.730000,269.150000,413.990000,240.020000,576.070000,283.195504,380.267187,271.000000,641.990000,251.020000,454.010000
254.220000,606.780000,269.230000,414.030000,240.080000,576.030000,283.195504,380.544802,271.010000,641.970000,251.010000,454.000000
254.400000,606.870000,269.280000,414.100000,240.160000,575.990000,283.102966,380.729878,271.000000,642.000000,251.010000,454.010000
254.690000,606.950000,269.360000,414.150000,240.770000,576.740000,283.102966,381.007493,271.000000,642.000000,251.010000,454.000000
254.890000,607.000000,269.510000,414.180000,240.970000,577.020000,283.102966,381.285108,270.990000,641.990000,251.010000,454.000000
