pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.022219,0.052856,0.050772,0.024062,0.050892,0.056914,0.022369,0.052549,0.052287
0.021422,0.052632,0.057475,0.020560,0.053660,0.059599,0.021628,0.058489,0.061978
0.020867,0.057396,0.057791,0.020171,0.051377,0.058890,0.023079,0.058242,0.060597
0.020789,0.055081,0.058201,0.021325,0.053862,0.060120,0.021837,0.054683,0.055325
0.021183,0.054527,0.055749,0.022502,0.054836,0.058002,0.021595,0.057764,0.056947
0.021348,0.055140,0.057922,0.021981,0.050499,0.055329,0.021535,0.056096,0.056403
0.020672,0.054307,0.055747,0.023216,0.055725,0.059357,0.021950,0.055072,0.053331
0.022904,0.051742,0.053824,0.024089,0.052040,0.053752,0.021187,0.055232,0.054630
0.023189,0.051218,0.054590,0.021216,0.052770,0.058548,0.021914,0.058845,0.057025
0.021544,0.053984,0.055774,0.020707,0.057116,0.060382,0.021841,0.056477,0.056872
0.021433,0.052936,0.055636,0.022789,0.056593,0.059512,0.019751,0.051746,0.052603
0.021583,0.055905,0.058099,0.023440,0.052079,0.058694,0.022056,0.055801,0.055499
0.020933,0.050410,0.055100,0.022915,0.052627,0.056217,0.021834,0.057903,0.057958
0.020612,0.050968,0.055034,0.023942,0.055498,0.060670,0.022180,0.056192,0.058114
0.022496,0.054445,0.056262,0.021542,0.056236,0.056097,0.023047,0.059857,0.061432
0.021969,0.051342,0.051656,0.021759,0.053862,0.060267,0.021765,0.055594,0.055251
0.022149,0.056449,0.058495,0.021764,0.055727,0.059275,0.022161,0.051876,0.053596
0.021239,0.050624,0.055231,0.021113,0.054465,0.058276,0.023337,0.060101,0.059142
0.021286,0.051618,0.054110,0.019878,0.053790,0.055769,0.023009,0.059639,0.058094
0.023377,0.054813,0.058076,0.022476,0.056485,0.059772,0.022023,0.055471,0.056560
0.020567,0.053182,0.056236,0.021632,0.053987,0.058371,0.020759,0.056012,0.056191
0.023034,0.057760,0.060178,0.024670,0.054416,0.059518,0.023214,0.059002,0.056528
0.021647,0.053446,0.056820,0.023632,0.057405,0.062199,0.022058,0.056566,0.056625
0.023434,0.057071,0.056692,0.021778,0.054915,0.056328,0.023955,0.056697,0.058109
0.021564,0.051243,0.052992,0.023528,0.056109,0.057895,0.022449,0.056482,0.056767
0.021222,0.054817,0.058157,0.022117,0.055958,0.059015,0.022881,0.056855,0.059424
0.023301,0.055536,0.056333,0.022078,0.056799,0.058854,0.022469,0.057259,0.059173
0.022977,0.058235,0.059697,0.021168,0.054602,0.057535,0.021008,0.060752,0.059215
0.020443,0.054131,0.056300,0.023538,0.055855,0.060695,0.023240,0.058648,0.057213
0.021303,0.048785,0.051549,0.022775,0.051889,0.058129,0.021645,0.056454,0.056166
0.021719,0.057481,0.057218,0.020892,0.053288,0.057119,0.021383,0.059662,0.057177
0.021008,0.055157,0.054841,0.023653,0.054570,0.060279,0.020915,0.055473,0.055617
0.021485,0.051698,0.055466,0.021883,0.049662,0.053773,0.022383,0.059479,0.057486
0.021711,0.051728,0.052750,0.022533,0.052896,0.057938,0.022502,0.057828,0.055768
0.022533,0.055905,0.060285,0.022169,0.054658,0.057773,0.023333,0.056125,0.058407
0.021781,0.055943,0.057836,0.021842,0.054572,0.060713,0.022662,0.058200,0.056975
0.022058,0.056271,0.056879,0.023692,0.055971,0.060491,0.022447,0.055559,0.056542
0.020496,0.054033,0.056630,0.022355,0.058591,0.063111,0.020945,0.059845,0.060038
0.023572,0.050380,0.057866,0.023818,0.057693,0.061941,0.020925,0.057726,0.056992
0.021318,0.053591,0.060793,0.022660,0.055173,0.056317,0.021869,0.056322,0.057405
0.021464,0.053951,0.054836,0.023054,0.060739,0.063646,0.025049,0.056600,0.056663
0.019605,0.052459,0.056219,0.022560,0.055040,0.060863,0.022007,0.057514,0.052921
0.020727,0.052967,0.051703,0.022262,0.050883,0.054435,0.022726,0.057058,0.054846
0.023615,0.052352,0.055282,0.019896,0.053158,0.058423,0.021355,0.055184,0.054110
0.020217,0.053988,0.057085,0.023456,0.055775,0.061178,0.022202,0.055397,0.053421
0.024158,0.057573,0.061798,0.022472,0.049005,0.053271,0.021123,0.058290,0.059570
0.021319,0.053398,0.058948,0.022659,0.055848,0.058449,0.022423,0.057404,0.057401
0.022286,0.055040,0.056046,0.022992,0.052923,0.056524,0.022683,0.057488,0.058537
0.023212,0.058543,0.061338,0.021346,0.056427,0.056415,0.021261,0.058820,0.060574
0.023182,0.051855,0.056871,0.023139,0.051669,0.054463,0.021267,0.057369,0.055792
0.022468,0.051785,0.053054,0.024037,0.051416,0.056648,0.020125,0.057606,0.057376
0.021248,0.051102,0.051575,0.023591,0.055855,0.059156,0.019220,0.054382,0.052051
0.020836,0.059991,0.063096,0.023780,0.050879,0.058416,0.023700,0.062356,0.063592
0.024024,0.057101,0.057094,0.022318,0.054608,0.058631,0.022803,0.058868,0.060756
0.022134,0.055674,0.056910,0.023484,0.055799,0.061694,0.022145,0.058973,0.058080
0.022351,0.053922,0.055540,0.022503,0.056853,0.059434,0.023241,0.060267,0.058326
0.020493,0.050745,0.051729,0.021863,0.053328,0.056579,0.023496,0.059078,0.056918
0.021253,0.055669,0.058731,0.023510,0.054889,0.058544,0.021142,0.056120,0.058224
0.021277,0.056340,0.057825,0.022510,0.053814,0.057716,0.021802,0.057945,0.055990
0.021171,0.056006,0.055501,0.023680,0.054991,0.057749,0.021958,0.057504,0.058815
0.022815,0.054402,0.055584,0.022029,0.056906,0.060371,0.021735,0.054105,0.052937
