pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
12.178695,1.717728,4.363272,12.146297,2.501719,4.179985,12.236013,0.683076,4.585205
12.177433,1.715552,4.365199,12.143609,2.498512,4.180924,12.236381,0.683106,4.585713
12.176191,1.713362,4.367118,12.140962,2.495320,4.181865,12.236744,0.683136,4.586213
12.174968,1.711158,4.369029,12.138354,2.492144,4.182809,12.237103,0.683166,4.586707
12.173765,1.708941,4.370931,12.135785,2.488983,4.183756,12.237456,0.683195,4.587194
12.172581,1.706711,4.372826,12.133257,2.485839,4.184705,12.237804,0.683225,4.587675
12.171417,1.704467,4.374712,12.130768,2.482710,4.185657,12.238147,0.683254,4.588148
12.170272,1.702209,4.376591,12.128319,2.479597,4.186611,12.238486,0.683283,4.588616
12.169146,1.699938,4.378461,12.125910,2.476500,4.187568,12.238819,0.683313,4.589076
12.168040,1.697653,4.380323,12.123540,2.473419,4.188528,12.239148,0.683342,4.589530
12.166953,1.695354,4.382177,12.121210,2.470353,4.189490,12.239471,0.683371,4.589977
12.165886,1.693042,4.384023,12.118920,2.467303,4.190455,12.239790,0.683400,4.590417
12.164838,1.690716,4.385861,12.116669,2.464268,4.191423,12.240103,0.683429,4.590851
12.163809,1.688376,4.387691,12.114459,2.461250,4.192393,12.240412,0.683457,4.591277
12.162800,1.686023,4.389513,12.112288,2.458247,4.193366,12.240716,0.683486,4.591698
12.161810,1.683656,4.391326,12.110157,2.455259,4.194341,12.241015,0.683515,4.592111
12.160839,1.681275,4.393132,12.108065,2.452287,4.195320,12.241308,0.683543,4.592518
12.159888,1.678881,4.394929,12.106014,2.449330,4.196300,12.241597,0.683571,4.592918
12.158956,1.676473,4.396719,12.104002,2.446388,4.197284,12.241881,0.683600,4.593312
12.158044,1.674050,4.398500,12.102029,2.443462,4.198270,12.242160,0.683628,4.593698
12.157151,1.671614,4.400273,12.100097,2.440550,4.199258,12.242434,0.683656,4.594078
12.156277,1.669165,4.402038,12.098204,2.437654,4.200249,12.242703,0.683684,4.594452
12.155422,1.666701,4.403795,12.096351,2.434772,4.201243,12.242968,0.683712,4.594818
12.154587,1.664222,4.405544,12.094537,2.431905,4.202240,12.243227,0.683740,4.595178
12.153771,1.661730,4.407285,12.092763,2.429052,4.203239,12.243481,0.683767,4.595531
12.152974,1.659223,4.409018,12.091029,2.426213,4.204240,12.243730,0.683795,4.595878
12.152196,1.656702,4.410743,12.089334,2.423388,4.205245,12.243975,0.683823,4.596218
12.151438,1.654167,4.412459,12.087679,2.420576,4.206252,12.244214,0.683850,4.596551
12.150698,1.651617,4.414168,12.086063,2.417778,4.207261,12.244449,0.683877,4.596877
12.149978,1.649052,4.415868,12.084486,2.414992,4.208273,12.244678,0.683905,4.597197
12.149276,1.646472,4.417561,12.082949,2.412220,4.209288,12.244903,0.683932,4.597510
12.148594,1.643876,4.419245,12.081450,2.409459,4.210306,12.245122,0.683959,4.597817
12.147931,1.641266,4.420921,12.079991,2.406711,4.211326,12.245337,0.683986,4.598116
12.147286,1.638640,4.422589,12.078570,2.403973,4.212349,12.245547,0.684013,4.598409
12.146660,1.635998,4.424249,12.077188,2.401247,4.213374,12.245752,0.684039,4.598696
12.146053,1.633340,4.425901,12.075844,2.398531,4.214402,12.245952,0.684066,4.598975
12.145464,1.630666,4.427545,12.074539,2.395825,4.215432,12.246147,0.684093,4.599248
12.144894,1.627976,4.429180,12.073271,2.393128,4.216466,12.246336,0.684119,4.599514
12.144343,1.625268,4.430808,12.072042,2.390439,4.217501,12.246522,0.684145,4.599774
12.143810,1.622544,4.432428,12.070850,2.387759,4.218540,12.246702,0.684172,4.600027
12.143295,1.619802,4.434039,12.069695,2.385086,4.219581,12.246877,0.684198,4.600273
12.142799,1.617042,4.435643,12.068578,2.382420,4.220625,12.247047,0.684224,4.600512
12.142320,1.614264,4.437238,12.067497,2.379760,4.221671,12.247212,0.684250,4.600745
12.141860,1.611468,4.438825,12.066452,2.377105,4.222720,12.247372,0.684276,4.600971
12.141417,1.608653,4.440404,12.065444,2.374454,4.223772,12.247528,0.684302,4.601190
12.140992,1.605818,4.441975,12.064471,2.371807,4.224826,12.247678,0.684328,4.601403
12.140585,1.602964,4.443538,12.063533,2.369162,4.225883,12.247824,0.684353,4.601609
12.140196,1.600090,4.445093,12.062630,2.366518,4.226942,12.247964,0.684379,4.601808
12.139824,1.597195,4.446640,12.061761,2.363876,4.228004,12.248100,0.684404,4.602000
12.139469,1.594279,4.448178,12.060926,2.361233,4.229069,12.248230,0.684430,4.602186
12.139131,1.591341,4.449709,12.060124,2.358588,4.230136,12.248356,0.684455,4.602365
12.138810,1.588382,4.451231,12.059355,2.355942,4.231206,12.248477,0.684480,4.602538
12.138507,1.585399,4.452746,12.058618,2.353291,4.232279,12.248592,0.684505,4.602704
12.138219,1.582394,4.454252,12.057913,2.350636,4.233354,12.248703,0.684530,4.602863
12.137949,1.579365,4.455750,12.057240,2.347975,4.234432,12.248809,0.684555,4.603015
12.137694,1.576311,4.457241,12.056596,2.345306,4.235512,12.248910,0.684580,4.603161
12.137456,1.573233,4.458723,12.055983,2.342629,4.236595,12.249006,0.684605,4.603300
12.137234,1.570130,4.460197,12.055399,2.339943,4.237681,12.249097,0.684629,4.603432
12.137028,1.567000,4.461663,12.054843,2.337245,4.238769,12.249183,0.684654,4.603557
12.136837,1.563843,4.463120,12.054315,2.334536,4.239860,12.249264,0.684678,4.603676
12.136662,1.560660,4.464570,12.053815,2.331812,4.240954,12.249341,0.684702,4.603789
12.136503,1.557448,4.466012,12.053341,2.329074,4.242050,12.249412,0.684727,4.603894
12.136358,1.554208,4.467445,12.052894,2.326319,4.243149,12.249478,0.684751,4.603993
12.136228,1.550939,4.468871,12.052471,2.323547,4.244250,12.249539,0.684775,4.604085
12.136113,1.547639,4.470288,12.052073,2.320755,4.245354,12.249596,0.684799,4.604170
12.136013,1.544310,4.471697,12.051698,2.317943,4.246461,12.249647,0.684823,4.604249
12.135927,1.540948,4.473099,12.051346,2.315108,4.247570,12.249694,0.684846,4.604321
12.135855,1.537555,4.474492,12.051017,2.312250,4.248682,12.249735,0.684870,4.604386
12.135796,1.534130,4.475877,12.050709,2.309367,4.249797,12.249772,0.684894,4.604445
12.135752,1.530671,4.477254,12.050422,2.306457,4.250914,12.249804,0.684917,4.604497
12.135721,1.527178,4.478622,12.050155,2.303518,4.252034,12.249831,0.684940,4.604542
12.135704,1.523650,4.479983,12.049907,2.300550,4.253156,12.249852,0.684964,4.604580
12.135699,1.520087,4.481336,12.049678,2.297551,4.254281,12.249869,0.684987,4.604612
12.135707,1.516488,4.482680,12.049467,2.294518,4.255409,12.249881,0.685010,4.604637
12.135729,1.512852,4.484017,12.049273,2.291451,4.256539,12.249888,0.685033,4.604656
12.135762,1.509179,4.485345,12.049095,2.288348,4.257672,12.249890,0.685056,4.604668
12.135808,1.505468,4.486666,12.048933,2.285208,4.258808,12.249887,0.685079,4.604673
12.135865,1.501718,4.487978,12.048786,2.282028,4.259946,12.249879,0.685102,4.604671
12.135935,1.497928,4.489282,12.048654,2.278807,4.261087,12.249866,0.685124,4.604663
12.136016,1.494098,4.490578,12.048535,2.275544,4.262231,12.249849,0.685147,4.604648
12.136108,1.490228,4.491866,12.048429,2.272237,4.263377,12.249826,0.685169,4.604626
12.136212,1.486316,4.493146,12.048336,2.268884,4.264525,12.249798,0.685192,4.604597
12.136327,1.482363,4.494418,12.048255,2.265484,4.265677,12.249766,0.685214,4.604562
12.136452,1.478366,4.495681,12.048186,2.262036,4.266831,12.249728,0.685236,4.604520
12.136588,1.474327,4.496937,12.048127,2.258537,4.267987,12.249685,0.685258,4.604472
12.136734,1.470244,4.498185,12.048079,2.254986,4.269146,12.249638,0.685280,4.604417
12.136890,1.466117,4.499424,12.048041,2.251382,4.270308,12.249586,0.685302,4.604355
12.137056,1.461945,4.500655,12.048012,2.247723,4.271473,12.249528,0.685324,4.604286
12.137231,1.457727,4.501879,12.047992,2.244008,4.272640,12.249466,0.685345,4.604211
12.137416,1.453464,4.503094,12.047980,2.240235,4.273809,12.249399,0.685367,4.604129
12.137610,1.449155,4.504301,12.047977,2.236403,4.274982,12.249326,0.685388,4.604040
12.137813,1.444799,4.505500,12.047982,2.232510,4.276157,12.249249,0.685410,4.603945
12.138025,1.440396,4.506691,12.047994,2.228555,4.277334,12.249167,0.685431,4.603842
12.138246,1.435946,4.507874,12.048014,2.224536,4.278514,12.249080,0.685452,4.603734
12.138475,1.431448,4.509048,12.048040,2.220453,4.279697,12.248988,0.685474,4.603618
12.138712,1.426902,4.510215,12.048073,2.216304,4.280883,12.248891,0.685495,4.603496
12.138957,1.422307,4.511374,12.048112,2.212087,4.282071,12.248789,0.685516,4.603367
12.139210,1.417664,4.512524,12.048158,2.207803,4.283262,12.248683,0.685536,4.603231
12.139470,1.412973,4.513666,12.048209,2.203449,4.284455,12.248571,0.685557,4.603089
12.139738,1.408232,4.514801,12.048266,2.199024,4.285651,12.248454,0.685578,4.602940
12.140013,1.403442,4.515927,12.048329,2.194528,4.286849,12.248333,0.685598,4.602785
12.140294,1.398603,4.517045,12.048397,2.189959,4.288051,12.248206,0.685619,4.602622
12.140583,1.393715,4.518155,12.048470,2.185316,4.289254,12.248074,0.685639,4.602453
12.140878,1.388778,4.519257,12.048549,2.180600,4.290461,12.247938,0.685659,4.602277
12.141179,1.383791,4.520351,12.048632,2.175808,4.291670,12.247796,0.685680,4.602095
12.141487,1.378755,4.521437,12.048721,2.170941,4.292882,12.247650,0.685700,4.601906
12.141800,1.373670,4.522514,12.048814,2.165997,4.294096,12.247499,0.685720,4.601710
12.142120,1.368536,4.523584,12.048911,2.160976,4.295313,12.247342,0.685740,4.601507
12.142444,1.363354,4.524646,12.049014,2.155878,4.296532,12.247181,0.685759,4.601298
12.142774,1.358123,4.525699,12.049120,2.150701,4.297755,12.247015,0.685779,4.601082
12.143110,1.352843,4.526744,12.049231,2.145447,4.298980,12.246844,0.685799,4.600859
12.143450,1.347516,4.527782,12.049345,2.140114,4.300207,12.246668,0.685818,4.600630
12.143795,1.342141,4.528811,12.049464,2.134702,4.301437,12.246487,0.685838,4.600394
12.144145,1.336718,4.529832,12.049587,2.129211,4.302670,12.246301,0.685857,4.600151
12.144499,1.331249,4.530845,12.049713,2.123641,4.303905,12.246110,0.685876,4.599902
12.144857,1.325734,4.531850,12.049842,2.117993,4.305143,12.245914,0.685896,4.599646
12.145219,1.320173,4.532847,12.049975,2.112267,4.306384,12.245713,0.685915,4.599383
12.145586,1.314567,4.533835,12.050110,2.106462,4.307627,12.245508,0.685934,4.599113
12.145955,1.308916,4.534816,12.050249,2.100579,4.308873,12.245297,0.685952,4.598837
12.146329,1.303222,4.535788,12.050389,2.094619,4.310121,12.245081,0.685971,4.598554
12.146705,1.297484,4.536753,12.050532,2.088582,4.311372,12.244861,0.685990,4.598265
12.147085,1.291704,4.537709,12.050676,2.082470,4.312626,12.244635,0.686008,4.597968
12.147467,1.285882,4.538658,12.050822,2.076282,4.313882,12.244405,0.686027,4.597665
12.147852,1.280019,4.539598,12.050969,2.070020,4.315141,12.244169,0.686045,4.597356
12.148240,1.274117,4.540530,12.051116,2.063684,4.316403,12.243929,0.686064,4.597039
12.148630,1.268175,4.541454,12.051264,2.057277,4.317667,12.243684,0.686082,4.596716
12.149023,1.262195,4.542370,12.051411,2.050799,4.318934,12.243433,0.686100,4.596386
12.149417,1.256179,4.543278,12.051556,2.044251,4.320203,12.243178,0.686118,4.596050
12.149813,1.250126,4.544177,12.051701,2.037635,4.321475,12.242918,0.686136,4.595707
12.150211,1.244038,4.545069,12.051842,2.030953,4.322750,12.242653,0.686154,4.595357
12.150610,1.237917,4.545953,12.051981,2.024206,4.324027,12.242383,0.686172,4.595000
12.151011,1.231762,4.546828,12.052116,2.017396,4.325307,12.242108,0.686189,4.594637
12.151412,1.225577,4.547696,12.052247,2.010524,4.326590,12.241828,0.686207,4.594267
12.151815,1.219360,4.548555,12.052372,2.003594,4.327875,12.241543,0.686224,4.593890
12.152218,1.213115,4.549406,12.052491,1.996606,4.329163,12.241253,0.686242,4.593507
12.152622,1.206842,4.550249,12.052603,1.989564,4.330453,12.240958,0.686259,4.593117
12.153027,1.200542,4.551084,12.052707,1.982470,4.331746,12.240659,0.686276,4.592720
12.153431,1.194216,4.551911,12.052802,1.975325,4.333042,12.240354,0.686293,4.592317
12.153836,1.187867,4.552730,12.052886,1.968133,4.334340,12.240044,0.686310,4.591907
12.154241,1.181495,4.553541,12.052960,1.960895,4.335641,12.239730,0.686327,4.591490
12.154645,1.175102,4.554344,12.053021,1.953616,4.336945,12.239410,0.686344,4.591066
12.155049,1.168689,4.555139,12.053068,1.946297,4.338251,12.239086,0.686360,4.590636
12.155453,1.162257,4.555925,12.053101,1.938942,4.339560,12.238756,0.686377,4.590199
12.155856,1.155808,4.556704,12.053117,1.931552,4.340871,12.238422,0.686394,4.589755
12.156258,1.149344,4.557474,12.053117,1.924133,4.342185,12.238083,0.686410,4.589305
12.156659,1.142865,4.558236,12.053098,1.916686,4.343502,12.237738,0.686426,4.588848
12.157058,1.136374,4.558990,12.053058,1.909214,4.344821,12.237389,0.686443,4.588384
