pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
12.199934,1.738288,4.389366,12.13986,2.512185,4.214428,12.242103,0.669538,4.582959
12.199815,1.737288,4.390631,12.140092,2.512379,4.206605,12.244868,0.684792,4.598192
12.198857,1.735597,4.389248,12.140751,2.508087,4.201464,12.244796,0.684466,4.598199
12.197744,1.734134,4.388366,12.140119,2.513296,4.197666,12.24479,0.68449,4.597781
12.196766,1.730075,4.385438,12.137783,2.519511,4.190586,12.244845,0.684813,4.598057
12.195013,1.722164,4.379964,12.137645,2.517457,4.186646,12.244718,0.684164,4.597788
12.193373,1.716531,4.376567,12.13549,2.494496,4.180107,12.244773,0.684487,4.598065
12.19206,1.714374,4.377232,12.134303,2.490266,4.18068,12.244758,0.684146,4.597638
12.190698,1.710073,4.375716,12.13097,2.46212,4.178362,12.244616,0.684396,4.59786
12.189182,1.702531,4.3734,12.130328,2.457258,4.17865,12.244836,0.684447,4.598049
12.186975,1.690331,4.373032,12.127738,2.454905,4.185646,12.244773,0.684487,4.598065
12.172587,1.704656,4.401094,12.124722,2.46079,4.187821,12.244845,0.684813,4.598057
12.169741,1.70285,4.404812,12.121328,2.463511,4.190646,12.244972,0.68422,4.597409
12.168274,1.701375,4.404465,12.1192,2.464122,4.191447,12.244726,0.685042,4.598413
12.16651,1.700802,4.402952,12.114534,2.468608,4.196286,12.244773,0.684487,4.598065
12.165214,1.69835,4.402821,12.111441,2.465118,4.198866,12.24475,0.684508,4.59793
12.164391,1.691543,4.400577,12.108922,2.453539,4.196182,12.244971,0.684559,4.59812
12.163131,1.681792,4.398058,12.10924,2.44826,4.192617,12.244711,0.684701,4.597987
12.161619,1.678069,4.397054,12.108108,2.446777,4.193278,12.244608,0.684759,4.598152
12.160468,1.674813,4.396545,12.104487,2.450985,4.193793,12.24479,0.68449,4.597781
12.159778,1.671455,4.398996,12.104067,2.449649,4.191623,12.244631,0.684738,4.598286
12.157907,1.669309,4.398435,12.102547,2.448303,4.193509,12.244712,0.684188,4.59737
12.156151,1.664865,4.396814,12.102545,2.444144,4.191467,12.244796,0.684466,4.598199
12.153425,1.657745,4.392396,12.099878,2.424614,4.188668,12.244836,0.684447,4.598049
12.15023,1.6551,4.391303,12.09835,2.418354,4.190939,12.244868,0.684792,4.598192
12.147961,1.654103,4.393033,12.09751,2.416829,4.189847,12.24487,0.684279,4.597574
12.139545,1.65312,4.412681,12.093484,2.419688,4.195919,12.244877,0.683916,4.597282
12.135333,1.647374,4.417921,12.085964,2.426186,4.207534,12.244948,0.684581,4.597985
12.134474,1.641845,4.419926,12.081956,2.411298,4.206185,12.244694,0.684698,4.598271
12.133482,1.636921,4.419995,12.081663,2.396673,4.212052,12.244838,0.683934,4.597432
12.132928,1.632645,4.419945,12.081707,2.39627,4.204712,12.244767,0.684511,4.597646
12.132476,1.629004,4.419844,12.076205,2.399613,4.21608,12.244836,0.684447,4.598049
12.131789,1.626695,4.420243,12.074369,2.398342,4.219598,12.244758,0.684146,4.597638
12.13098,1.624421,4.420898,12.072674,2.403899,4.218034,12.244718,0.684164,4.597788
12.130553,1.622317,4.42125,12.071751,2.408538,4.211698,12.244767,0.684511,4.597646
12.129535,1.62035,4.421727,12.069953,2.407941,4.21538,12.24479,0.68449,4.597781
12.12878,1.6131,4.421589,12.0685,2.409975,4.212075,12.244767,0.684511,4.597646
12.127953,1.609012,4.420396,12.067353,2.384314,4.210028,12.244807,0.684492,4.597497
12.127378,1.606313,4.420532,12.062593,2.382096,4.221643,12.244775,0.684148,4.597354
12.127099,1.603632,4.420562,12.06451,2.376804,4.217712,12.244781,0.684124,4.597773
12.126822,1.602447,4.422023,12.064231,2.374264,4.216441,12.244712,0.684188,4.59737
12.128023,1.595926,4.424007,12.063227,2.371949,4.21788,12.244877,0.683916,4.597282
12.128005,1.593699,4.425803,12.0619,2.351585,4.213531,12.244963,0.683855,4.597401
12.127928,1.59158,4.428867,12.061528,2.345976,4.21963,12.244798,0.684127,4.597489
12.127707,1.590703,4.430604,12.058211,2.349809,4.226112,12.244718,0.684164,4.597788
12.127253,1.58992,4.433406,12.05335,2.357306,4.232047,12.244767,0.684511,4.597646
12.118201,1.596109,4.457972,12.054631,2.352844,4.231237,12.244744,0.684532,4.597512
12.117585,1.591135,4.462138,12.055002,2.350054,4.231095,12.244712,0.684188,4.59737
12.117514,1.583037,4.459023,12.055994,2.346788,4.227704,12.24502,0.683665,4.59706
