pt1_dltres,pt2_dltres,pt3_dltres
0.094963,0.224070,0.078860
0.254326,0.635120,0.151905
0.252909,0.696578,0.149340
0.254956,1.135041,0.157954
0.273962,0.610260,0.159367
0.345476,0.579016,0.155390
0.426447,0.129029,0.156803
0.447209,0.131593,0.149078
0.500858,0.944056,0.146835
0.642561,1.080812,0.143029
0.689063,0.448156,0.156803
0.249660,0.060472,0.159367
0.077085,0.119052,0.153886
0.057705,0.198930,0.149661
0.147743,0.219739,0.156803
0.100227,0.246341,0.164265
0.033327,0.153281,0.160460
0.030379,0.208376,0.141937
0.070997,0.337652,0.162022
0.163689,0.199464,0.157954
0.390514,0.236705,0.154559
0.440019,0.431444,0.164003
0.501057,0.586455,0.149340
0.590191,0.107336,0.143029
0.672186,0.041736,0.151905
0.694206,0.135459,0.173971
0.010788,0.280179,0.158785
0.123097,0.516184,0.167922
0.062474,0.168583,0.140785
0.012498,0.426398,0.165096
0.026469,0.141809,0.165417
0.003402,0.526100,0.143029
0.027485,0.763998,0.149078
0.113116,0.702863,0.155390
0.182622,0.852810,0.165417
0.248125,1.116142,0.157954
0.513680,0.847360,0.165417
0.549608,0.441747,0.159105
0.542128,0.043497,0.150230
0.550952,0.145491,0.141616
0.617219,0.081090,0.164003
0.331219,0.132736,0.158785
0.390537,0.281035,0.137548
0.565416,0.232740,0.142767
0.630212,0.177188,0.155390
0.583645,0.324848,0.165417
0.065632,0.096294,0.172879
0.213909,0.036506,0.164003
0.196427,0.066666,0.161028
0.035726,0.126119,0.164265
0.074251,0.250780,0.170315
0.147821,0.469157,0.155128
0.158069,0.742566,0.147724
0.078166,0.956736,0.160198
0.005281,1.608549,0.140465
0.195603,1.630954,0.142447
0.218592,1.049808,0.147665
0.250349,0.826649,0.142767
0.273254,0.776084,0.152473
0.277933,0.698598,0.147665
0.334431,1.131645,0.155448
0.419976,0.239829,0.156600
0.535318,0.001437,0.170635
0.328421,0.052381,0.165155
0.301556,0.132048,0.168130
0.308569,0.097725,0.170373
0.315219,0.105006,0.184206
0.295821,0.133183,0.156658
0.335850,0.097352,0.177894
0.350716,0.457678,0.195063
0.411386,0.015391,0.170753
0.192368,0.569524,0.180138
0.193313,0.498084,0.180721
0.216806,0.490616,0.166775
0.226256,0.353526,0.200544
0.244839,0.907360,0.173258
0.247558,0.613964,0.180721
0.294469,0.700341,0.171845
0.282320,0.922063,0.172996
0.322477,0.460500,0.177894
0.403325,0.016023,0.186449
0.388122,0.128560,0.179308
0.492227,0.292914,0.179308
0.645028,0.306297,0.170753
0.631979,0.464025,0.171845
0.635947,0.723079,0.155507
0.445908,0.395477,0.194233
0.348127,0.270295,0.165534
0.416855,0.165889,0.172996
0.478195,0.121024,0.179308
0.574228,0.364795,0.177894
0.673616,0.874699,0.170753
0.246228,0.620102,0.171845
0.093109,0.603660,0.178156
0.173237,0.626064,0.185619
0.105393,0.983384,0.175651
0.077991,1.364615,0.183375
0.025119,0.141015,0.192819
0.084625,0.320703,0.162139
0.194610,0.979011,0.163290
0.201271,1.452584,0.180721
0.007472,0.862655,0.177064
0.023558,0.350982,0.184526
0.032204,0.059144,0.169602
0.093285,0.161224,0.191727
0.180513,0.247522,0.173258
0.285913,0.240000,0.168188
0.343631,0.237000,0.162139
0.194530,0.293516,0.156920
0.192229,0.734263,0.178156
0.273240,0.420034,0.169602
0.412974,0.415535,0.186770
0.547175,0.162317,0.165796
0.507758,0.546505,0.175913
0.200886,0.139751,0.156658
0.144251,0.555334,0.169602
0.204121,0.438164,0.172107
0.042321,0.166629,0.188183
0.182944,0.029922,0.178477
0.092956,0.224164,0.185619
0.119615,0.205332,0.175913
0.030651,0.586912,0.185357
0.079328,0.007086,0.175651
0.110682,0.040256,0.184526
0.003340,0.281452,0.160726
0.095246,0.116931,0.167778
0.325809,0.107303,0.181962
0.224486,0.026441,0.193402
0.081258,0.522750,0.163290
0.163906,0.346678,0.173258
0.389112,0.245760,0.168712
0.446308,0.468897,0.175913
0.141028,0.659194,0.168450
0.054853,0.986124,0.164383
0.129049,1.279699,0.180869
0.153966,0.855667,0.170694
0.091572,1.116733,0.181132
0.023661,2.259242,0.189686
0.120107,1.797418,0.169602
0.112307,2.664600,0.175651
0.026673,3.201058,0.176743
0.131668,1.930497,0.174820
0.146586,0.325812,0.176743
0.133363,0.937800,0.190838
0.265859,1.315896,0.168188
0.419839,0.784435,0.168450
0.361159,0.638514,0.165534
0.136165,0.567906,0.175913
0.005591,0.058968,0.162139
0.178908,0.232075,0.169340
0.067440,0.473519,0.172996
0.120985,0.456745,0.173638
0.022090,0.718646,0.178446
0.048933,0.802602,0.170153
0.218667,0.379048,0.172545
0.080721,0.728130,0.140700
0.212523,0.976460,0.118461
0.203311,1.389107,0.078891
0.069507,1.202860,0.031028
0.154994,1.232637,0.006736
0.059837,0.476552,0.022767
0.047195,0.314460,0.025179
0.190512,0.260596,0.087153
0.302782,0.039620,0.102941
0.057079,0.105885,0.128850
0.155887,0.161000,0.206751
0.057594,0.323406,0.271245
0.068324,0.237727,0.402664
0.051522,0.225150,0.533643
0.091632,0.079076,1.126334
0.158877,0.011328,1.590717
0.235951,0.056132,1.515548
0.193862,0.153274,1.171530
0.378050,0.185321,0.705631
0.369098,0.042359,0.693241
0.215406,0.138380,0.612512
0.203580,0.273164,0.660639
0.169030,0.203035,0.648310
0.186429,0.478145,0.661763
0.175995,0.063943,0.676307
0.179589,0.009939,0.671916
0.216820,0.269625,0.226370
0.034288,0.148699,0.102077
0.074151,0.255286,0.118120
0.154488,0.228929,0.076624
0.163910,0.183252,0.261885
0.169856,0.187418,0.190034
0.155517,0.149351,0.200682
0.131185,0.026890,0.202568
0.132606,0.138734,0.245046
0.156131,0.211343,0.274634
0.160486,0.268496,0.277133
0.197568,0.246487,0.313579
0.214193,0.301654,0.310438
0.273900,0.553380,0.329937
0.220284,0.649253,0.326838
0.218454,0.498069,0.318280
0.218843,0.292894,0.348632
0.250764,0.439374,0.376589
0.288087,0.524102,0.695053
0.281408,0.443401,0.643120
0.255574,0.417308,0.611466
0.223013,0.400197,0.588917
0.226647,0.487250,0.446737
0.172276,0.139527,0.435347
0.040995,0.087161,0.528290
0.040199,0.069172,0.501017
0.021374,0.002644,0.423384
0.029853,0.035742,0.361812
0.133190,0.028970,0.354987
