pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
870.944505,399.916121,871.084728,549.198266,844.119250,383.944921,865.277005,525.614973,907.508135,415.360555,875.423964,573.394446
871.020000,399.970000,871.040000,548.990000,844.237966,383.944921,865.672727,525.694117,908.000000,414.980000,874.990000,573.030000
871.120000,399.970000,871.090000,548.990000,844.237966,383.944921,865.910161,525.852406,907.980000,415.000000,874.980000,572.990000
871.110000,399.940000,871.160000,549.000000,844.237966,383.944921,865.910161,525.852406,908.000000,414.990000,874.990000,573.030000
871.140000,399.890000,871.200000,548.990000,844.237966,383.588771,865.989305,525.931551,908.010000,414.990000,874.980000,573.020000
871.190000,399.850000,871.240000,548.960000,844.237966,383.588771,866.147594,525.931551,907.990000,414.980000,874.990000,573.010000
871.230000,399.820000,871.320000,548.960000,844.594116,383.351338,866.147594,525.931551,907.990000,414.970000,874.990000,573.020000
871.260000,399.780000,871.410000,548.970000,844.594116,383.351338,866.147594,525.931551,907.990000,414.980000,874.970000,573.010000
871.290000,399.760000,871.530000,548.960000,844.594116,383.232621,866.305883,526.089839,908.000000,414.980000,874.960000,573.020000
871.310000,399.690000,871.610000,548.950000,844.831549,382.995188,866.305883,525.694117,908.020000,414.980000,874.990000,573.020000
871.250000,399.550000,871.680000,548.920000,844.712833,382.995188,866.543316,525.694117,907.970000,414.980000,874.970000,573.000000
871.220000,399.400000,871.750000,548.900000,844.712833,382.995188,866.780749,525.694117,907.990000,414.980000,874.970000,573.010000
871.270000,399.360000,871.820000,548.880000,844.950266,382.995188,867.097326,525.694117,908.000000,414.980000,874.990000,572.970000
871.430000,399.390000,871.890000,548.900000,844.950266,382.995188,867.176471,525.694117,908.010000,414.960000,874.970000,573.000000
871.800000,399.450000,871.940000,548.870000,844.950266,382.876471,867.334760,525.931551,908.020000,414.980000,874.990000,573.020000
871.820000,399.360000,872.000000,548.850000,845.068982,382.876471,867.493048,525.931551,908.000000,414.980000,874.980000,573.030000
871.800000,399.190000,872.040000,548.780000,845.068982,382.639038,867.560639,525.938549,907.970000,414.970000,874.980000,573.000000
871.900000,399.120000,872.130000,548.740000,845.306416,382.639038,868.060909,526.063617,908.020000,414.980000,874.980000,573.020000
871.960000,399.090000,872.210000,548.730000,845.306416,382.639038,868.060909,526.063617,908.010000,414.980000,874.980000,572.970000
872.020000,399.070000,872.300000,548.720000,845.306416,382.639038,868.311045,526.063617,907.990000,414.990000,874.980000,573.010000
872.220000,399.020000,872.500000,548.780000,845.425132,382.639038,868.436112,526.063617,908.000000,414.970000,874.990000,573.000000
872.200000,398.880000,872.600000,548.740000,845.425132,382.639038,868.686248,526.063617,907.990000,414.990000,874.980000,573.000000
872.350000,398.850000,872.700000,548.750000,845.425132,382.520322,868.811315,526.063617,908.010000,414.970000,874.980000,573.020000
872.560000,398.830000,872.790000,548.740000,845.781282,382.282888,869.061451,526.063617,908.000000,414.990000,874.990000,573.020000
872.920000,398.870000,872.910000,548.760000,845.781282,382.282888,869.041689,525.958311,907.990000,414.970000,874.980000,573.010000
872.990000,398.800000,873.010000,548.740000,846.018715,382.164172,869.041689,525.958311,907.990000,414.980000,874.990000,573.010000
873.040000,398.680000,873.060000,548.730000,846.256148,381.926739,868.874932,525.708175,908.000000,414.970000,874.980000,573.030000
873.110000,398.520000,873.150000,548.700000,846.493581,381.689305,869.041689,525.708175,908.000000,414.990000,874.970000,573.000000
873.130000,398.330000,873.270000,548.710000,846.493581,381.926739,869.041689,525.708175,907.990000,414.980000,875.000000,573.040000
873.200000,398.280000,873.480000,548.730000,846.374865,381.926739,869.458582,525.791554,908.010000,414.980000,874.980000,573.010000
873.290000,398.190000,873.610000,548.710000,846.493581,381.926739,869.375203,525.791554,908.000000,414.970000,874.980000,573.040000
873.410000,398.110000,873.680000,548.610000,846.612298,381.808022,869.375203,525.874932,907.980000,414.990000,874.950000,573.030000
873.780000,398.100000,873.780000,548.610000,847.087164,381.451872,869.792095,525.958311,908.010000,414.970000,874.980000,573.030000
873.870000,398.040000,873.860000,548.590000,847.205881,381.333156,869.875474,526.208446,908.000000,414.970000,874.970000,573.030000
874.020000,398.010000,873.970000,548.640000,847.443314,381.214439,869.875474,526.208446,908.000000,414.970000,874.970000,572.990000
874.140000,397.970000,874.040000,548.600000,847.680747,381.095722,870.125609,526.458582,908.020000,414.950000,875.000000,573.000000
874.250000,397.870000,874.170000,548.620000,847.680747,381.095722,870.292366,526.541960,907.990000,414.970000,874.970000,573.030000
874.310000,397.710000,874.280000,548.610000,848.274330,381.095722,870.375745,526.792095,908.010000,414.980000,874.980000,573.010000
874.460000,397.590000,874.470000,548.660000,849.105347,380.977006,870.709258,526.958852,908.010000,414.980000,874.980000,573.040000
874.890000,397.650000,874.620000,548.650000,848.986630,381.095722,870.709258,527.042231,908.000000,414.990000,874.980000,573.020000
875.050000,397.570000,874.750000,548.720000,848.867913,381.214439,871.126151,527.042231,907.980000,414.960000,875.000000,573.030000
875.170000,397.470000,874.860000,548.780000,848.986630,381.333156,871.209529,527.125609,908.000000,414.990000,874.980000,573.020000
875.220000,397.300000,874.930000,548.760000,849.461496,381.333156,871.209529,527.375745,908.000000,414.990000,874.990000,573.020000
875.390000,397.260000,874.990000,548.720000,849.698929,381.451872,871.292908,527.876015,907.980000,414.980000,874.980000,573.010000
875.940000,397.380000,875.070000,548.760000,849.817646,381.570589,871.209529,527.125609,908.010000,414.990000,874.990000,573.010000
876.050000,397.330000,875.210000,548.880000,849.817646,381.570589,871.376286,527.959394,908.000000,414.990000,874.970000,572.990000
876.200000,397.330000,875.360000,549.040000,850.173796,381.570589,871.292908,528.459665,907.980000,414.990000,874.970000,573.030000
876.420000,397.330000,875.580000,549.190000,850.648662,381.451872,871.626421,528.793178,907.990000,414.970000,874.980000,573.010000
876.890000,397.440000,875.680000,549.230000,850.886095,381.451872,872.389099,528.833243,907.990000,414.990000,874.980000,573.040000
877.010000,397.440000,875.790000,549.350000,851.360962,381.451872,872.277928,529.055586,907.960000,414.990000,875.000000,573.010000
877.100000,397.360000,875.870000,549.520000,851.835828,381.689305,872.500271,529.166757,907.970000,415.000000,874.980000,573.020000
877.240000,397.360000,875.930000,549.840000,852.191978,381.689305,872.500271,529.166757,907.980000,415.000000,875.010000,573.030000
877.400000,397.340000,876.000000,549.940000,852.310695,381.689305,872.833785,529.389099,907.980000,414.990000,874.970000,573.010000
877.920000,397.520000,876.040000,549.990000,852.666844,381.689305,872.944956,529.722613,908.000000,414.990000,874.980000,573.010000
878.140000,397.610000,876.090000,550.060000,852.904278,381.689305,872.944956,529.722613,907.980000,414.990000,874.980000,573.030000
878.210000,397.510000,876.180000,550.150000,853.141711,381.689305,872.944956,529.722613,908.000000,415.000000,874.990000,573.010000
878.390000,397.490000,876.260000,550.280000,853.497860,381.570589,873.389641,528.722072,908.000000,414.990000,874.990000,573.020000
878.970000,397.780000,876.400000,550.440000,854.685026,381.333156,873.945497,529.166757,907.980000,414.980000,874.980000,573.010000
879.160000,397.810000,876.530000,550.630000,854.685026,381.808022,874.612525,529.611442,907.980000,415.020000,875.000000,573.040000
879.510000,397.840000,876.560000,550.800000,855.041176,382.045455,873.945497,529.833785,907.970000,415.010000,875.010000,573.020000
879.980000,397.990000,876.580000,550.920000,855.634759,382.282888,873.945497,530.167298,907.990000,414.980000,875.000000,573.030000
880.200000,398.070000,876.620000,551.070000,855.990909,382.520322,873.945497,530.389641,907.990000,415.000000,874.970000,573.000000
