pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.026608,0.056994,0.057965,0.025577,0.051084,0.056604,0.027001,0.052312,0.056804
0.026831,0.051983,0.057793,0.025498,0.053154,0.057391,0.029864,0.059899,0.062644
0.026575,0.053522,0.060765,0.029047,0.056794,0.063156,0.030042,0.059889,0.062211
0.027687,0.052082,0.054313,0.026554,0.054113,0.060218,0.029095,0.056649,0.061110
0.027337,0.055793,0.058842,0.027081,0.056531,0.061224,0.028167,0.058767,0.064494
0.025394,0.050935,0.056029,0.025756,0.054110,0.058329,0.030159,0.062169,0.065976
0.028696,0.055610,0.059879,0.027439,0.059267,0.063750,0.027213,0.056941,0.061561
0.026995,0.055822,0.059030,0.026453,0.054198,0.057943,0.027847,0.061596,0.065484
0.029350,0.055566,0.062327,0.027526,0.056540,0.061983,0.027610,0.055936,0.059468
0.026294,0.054069,0.060822,0.026646,0.058285,0.060284,0.028442,0.059633,0.061120
0.029558,0.059571,0.064162,0.025118,0.053300,0.061565,0.026995,0.053945,0.054932
0.027026,0.059375,0.061235,0.026447,0.058163,0.059988,0.030080,0.055066,0.057636
0.025483,0.055953,0.058557,0.027305,0.055191,0.057834,0.028639,0.059651,0.061828
0.027611,0.055444,0.059348,0.027532,0.053625,0.061994,0.027788,0.057625,0.062576
0.027149,0.054528,0.056799,0.028924,0.055123,0.058722,0.027192,0.055972,0.055905
0.025742,0.054134,0.057792,0.026438,0.055669,0.058228,0.028289,0.059992,0.062938
0.028230,0.057939,0.063832,0.024624,0.056599,0.059013,0.030187,0.060079,0.062182
0.027611,0.054639,0.060638,0.027288,0.054264,0.060721,0.027447,0.054591,0.058548
0.025689,0.055304,0.061621,0.025497,0.053689,0.058042,0.028554,0.060552,0.060701
0.027445,0.056066,0.059613,0.025729,0.056245,0.059540,0.028304,0.060463,0.065108
0.027353,0.056651,0.062523,0.027270,0.055665,0.059827,0.028320,0.058220,0.063046
0.026891,0.058048,0.062217,0.028248,0.053138,0.059434,0.030031,0.057814,0.061155
0.028944,0.056628,0.058460,0.028376,0.058626,0.061719,0.028138,0.057519,0.060834
0.028130,0.056028,0.059923,0.027464,0.054804,0.059012,0.027217,0.055086,0.061211
0.028654,0.059505,0.062091,0.026915,0.053317,0.061356,0.028123,0.058332,0.058663
0.027521,0.055894,0.061670,0.027497,0.059139,0.063698,0.029504,0.061540,0.064714
0.025703,0.057534,0.060015,0.028503,0.054349,0.057302,0.027497,0.058532,0.058817
0.028274,0.056597,0.059240,0.026279,0.054621,0.060166,0.029200,0.061745,0.064474
0.029322,0.055515,0.059257,0.025846,0.050251,0.056140,0.027425,0.057254,0.057164
0.026445,0.058344,0.060990,0.026961,0.051971,0.055517,0.027915,0.061856,0.061753
0.028074,0.054259,0.058050,0.027642,0.055343,0.059968,0.030714,0.058532,0.059792
0.026588,0.054096,0.059467,0.026839,0.053393,0.059198,0.026961,0.058155,0.062341
0.026983,0.054669,0.057877,0.028044,0.060544,0.065017,0.025161,0.054882,0.058234
0.025452,0.055583,0.059951,0.028046,0.053666,0.057885,0.030478,0.059157,0.063387
0.030069,0.058487,0.065104,0.027250,0.056257,0.062085,0.029227,0.063656,0.065386
0.027227,0.055107,0.061526,0.026710,0.054966,0.061127,0.028344,0.061089,0.063297
0.027715,0.055337,0.058048,0.026799,0.057821,0.063007,0.026348,0.061544,0.063751
0.026360,0.056037,0.061710,0.028154,0.059337,0.063918,0.026642,0.058819,0.063421
0.026374,0.055186,0.058843,0.028319,0.055055,0.060325,0.028137,0.056645,0.060526
