pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-1.694744,0.854354,3.263017,-1.296618,1.380590,3.138277,-2.316882,0.052152,3.123265
-1.695288,0.859136,3.262227,-1.296628,1.386096,3.138041,-2.316774,0.051333,3.122701
-1.695930,0.863736,3.261439,-1.296762,1.391421,3.137814,-2.316667,0.050533,3.122153
-1.696671,0.868154,3.260653,-1.297018,1.396565,3.137596,-2.316560,0.049752,3.121620
-1.697511,0.872390,3.259868,-1.297398,1.401527,3.137387,-2.316454,0.048991,3.121102
-1.698449,0.876443,3.259085,-1.297900,1.406307,3.137187,-2.316348,0.048249,3.120599
-1.699486,0.880315,3.258303,-1.298526,1.410906,3.136997,-2.316244,0.047527,3.120111
-1.700622,0.884004,3.257523,-1.299274,1.415324,3.136815,-2.316140,0.046824,3.119638
-1.701856,0.887511,3.256744,-1.300146,1.419560,3.136643,-2.316036,0.046141,3.119180
-1.703189,0.890835,3.255967,-1.301140,1.423614,3.136481,-2.315933,0.045477,3.118737
-1.704621,0.893977,3.255192,-1.302258,1.427487,3.136327,-2.315831,0.044833,3.118310
-1.706151,0.896937,3.254418,-1.303499,1.431177,3.136182,-2.315730,0.044208,3.117898
-1.707780,0.899713,3.253645,-1.304862,1.434686,3.136047,-2.315629,0.043602,3.117500
-1.709507,0.902307,3.252875,-1.306349,1.438012,3.135921,-2.315529,0.043016,3.117118
-1.711333,0.904718,3.252105,-1.307960,1.441156,3.135804,-2.315430,0.042449,3.116751
-1.713257,0.906944,3.251338,-1.309693,1.444118,3.135696,-2.315331,0.041902,3.116399
-1.715280,0.908987,3.250571,-1.311549,1.446896,3.135598,-2.315233,0.041374,3.116062
-1.717402,0.910846,3.249807,-1.313529,1.449491,3.135508,-2.315135,0.040866,3.115740
-1.719621,0.912520,3.249044,-1.315633,1.451901,3.135428,-2.315039,0.040377,3.115434
-1.721939,0.914008,3.248282,-1.317860,1.454128,3.135357,-2.314942,0.039907,3.115142
-1.724356,0.915310,3.247522,-1.320210,1.456170,3.135295,-2.314847,0.039457,3.114866
-1.726870,0.916426,3.246764,-1.322684,1.458026,3.135243,-2.314752,0.039026,3.114604
-1.729482,0.917354,3.246007,-1.325282,1.459697,3.135199,-2.314658,0.038615,3.114358
-1.732192,0.918094,3.245251,-1.328004,1.461181,3.135165,-2.314565,0.038223,3.114127
-1.735000,0.918644,3.244498,-1.330849,1.462477,3.135140,-2.314472,0.037851,3.113911
-1.737905,0.919004,3.243745,-1.333819,1.463586,3.135124,-2.314380,0.037498,3.113710
-1.740907,0.919173,3.242995,-1.336912,1.464506,3.135117,-2.314288,0.037165,3.113524
-1.744007,0.919150,3.242246,-1.340130,1.465236,3.135120,-2.314197,0.036851,3.113354
-1.747203,0.918932,3.241498,-1.343472,1.465776,3.135132,-2.314107,0.036556,3.113198
-1.750496,0.918520,3.240752,-1.346938,1.466124,3.135153,-2.314018,0.036281,3.113057
-1.753886,0.917912,3.240008,-1.350528,1.466280,3.135183,-2.313929,0.036025,3.112932
-1.757371,0.917106,3.239265,-1.354243,1.466242,3.135222,-2.313841,0.035789,3.112822
-1.760951,0.916102,3.238523,-1.358082,1.466010,3.135270,-2.313753,0.035572,3.112727
-1.764627,0.914896,3.237784,-1.362045,1.465582,3.135328,-2.313666,0.035375,3.112647
-1.768397,0.913490,3.237045,-1.366132,1.464957,3.135395,-2.313580,0.035197,3.112582
-1.772262,0.911879,3.236309,-1.370344,1.464134,3.135471,-2.313495,0.035039,3.112532
-1.776220,0.910065,3.235573,-1.374680,1.463111,3.135556,-2.313410,0.034899,3.112497
-1.780272,0.908044,3.234840,-1.379140,1.461887,3.135651,-2.313326,0.034780,3.112477
-1.784416,0.905815,3.234108,-1.383724,1.460462,3.135754,-2.313242,0.034680,3.112473
-1.788651,0.903377,3.233377,-1.388432,1.458832,3.135867,-2.313159,0.034599,3.112483
-1.792978,0.900729,3.232648,-1.393264,1.456998,3.135989,-2.313077,0.034538,3.112509
-1.797395,0.897869,3.231921,-1.398219,1.454958,3.136120,-2.312995,0.034496,3.112550
-1.801902,0.894797,3.231195,-1.403298,1.452711,3.136261,-2.312914,0.034473,3.112606
-1.806497,0.891510,3.230471,-1.408499,1.450254,3.136410,-2.312834,0.034470,3.112677
-1.811179,0.888008,3.229748,-1.413823,1.447587,3.136569,-2.312755,0.034487,3.112763
-1.815948,0.884290,3.229027,-1.419268,1.444708,3.136737,-2.312676,0.034523,3.112864
-1.820803,0.880355,3.228307,-1.424836,1.441617,3.136914,-2.312598,0.034578,3.112980
-1.825742,0.876203,3.227589,-1.430525,1.438312,3.137101,-2.312520,0.034653,3.113112
-1.830765,0.871832,3.226873,-1.436334,1.434791,3.137296,-2.312443,0.034747,3.113258
-1.835869,0.867243,3.226158,-1.442263,1.431055,3.137501,-2.312367,0.034861,3.113420
-1.841053,0.862435,3.225445,-1.448312,1.427101,3.137715,-2.312291,0.034994,3.113597
-1.846317,0.857408,3.224733,-1.454479,1.422930,3.137938,-2.312216,0.035146,3.113789
-1.851658,0.852162,3.224022,-1.460764,1.418539,3.138170,-2.312142,0.035318,3.113995
-1.857075,0.846699,3.223314,-1.467165,1.413930,3.138412,-2.312068,0.035510,3.114218
-1.862567,0.841017,3.222606,-1.473681,1.409101,3.138662,-2.311995,0.035720,3.114455
-1.868131,0.835120,3.221901,-1.480313,1.404053,3.138922,-2.311923,0.035951,3.114707
