pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
-1.69928,0.886802,3.260606,-1.289171,1.393888,3.105555,-2.302662,0.06845,3.152697
-1.700555,0.882669,3.254331,-1.291857,1.402611,3.115444,-2.314627,0.040409,3.116197
-1.702487,0.881504,3.253374,-1.292091,1.410021,3.12512,-2.314173,0.040463,3.115878
-1.702507,0.883992,3.255437,-1.292091,1.410021,3.12512,-2.314575,0.040387,3.116323
-1.703371,0.884482,3.255061,-1.293937,1.413394,3.124409,-2.314781,0.039753,3.115593
-1.704577,0.884353,3.253961,-1.294154,1.418038,3.128922,-2.314453,0.040617,3.116059
-1.705557,0.885772,3.254929,-1.301907,1.409236,3.117407,-2.314494,0.040674,3.116123
-1.706399,0.887816,3.256485,-1.301907,1.409236,3.117407,-2.314449,0.039977,3.115467
-1.707184,0.890663,3.258781,-1.302624,1.414603,3.123359,-2.314632,0.039413,3.115118
-1.707997,0.892677,3.259545,-1.308425,1.407816,3.107428,-2.315032,0.039816,3.11552
-1.707663,0.896627,3.260696,-1.306557,1.417906,3.117062,-2.314067,0.0405,3.115763
-1.707938,0.899827,3.26119,-1.306879,1.424872,3.123833,-2.314449,0.039977,3.115467
-1.709164,0.900637,3.261137,-1.311683,1.427924,3.127148,-2.314695,0.040198,3.115056
-1.712076,0.898466,3.260062,-1.311789,1.430245,3.129404,-2.314958,0.039427,3.114538
-1.71882,0.889847,3.252835,-1.312458,1.435821,3.136799,-2.315032,0.039816,3.11552
-1.719724,0.89127,3.252591,-1.314858,1.437346,3.138455,-2.314625,0.040089,3.115901
-1.720302,0.893187,3.25081,-1.316134,1.439904,3.13757,-2.314121,0.040841,3.115933
-1.722657,0.893271,3.249392,-1.321105,1.448681,3.148406,-2.31503,0.039496,3.115224
-1.724021,0.894126,3.249698,-1.321105,1.448681,3.148406,-2.31489,0.039599,3.114516
-1.725343,0.895261,3.250416,-1.32144,1.456004,3.155524,-2.314399,0.040276,3.115889
-1.7295,0.896259,3.251866,-1.323793,1.456556,3.156235,-2.314714,0.040325,3.1155
-1.729955,0.900017,3.252738,-1.324127,1.463877,3.163351,-2.31441,0.040241,3.115699
-1.733018,0.899129,3.251835,-1.324887,1.467813,3.165438,-2.314885,0.039796,3.115341
-1.737171,0.896249,3.248963,-1.332968,1.46637,3.161079,-2.314586,0.040352,3.116133
-1.743855,0.890219,3.244666,-1.333004,1.465502,3.158588,-2.314503,0.040319,3.115637
-1.745636,0.891472,3.244626,-1.337974,1.459566,3.151426,-2.314453,0.040617,3.116059
-1.747242,0.891887,3.243188,-1.343474,1.44833,3.133453,-2.314677,0.04011,3.115774
-1.74948,0.893008,3.241554,-1.349263,1.447552,3.129564,-2.314605,0.039642,3.11516
-1.75092,0.896566,3.242349,-1.348072,1.446996,3.132504,-2.314422,0.041043,3.116926
-1.75266,0.901229,3.246463,-1.346376,1.462546,3.148758,-2.314845,0.039739,3.115277
-1.754945,0.902901,3.246559,-1.348457,1.456997,3.143536,-2.314666,0.040145,3.115965
-1.757761,0.901688,3.242855,-1.351192,1.454397,3.140746,-2.314173,0.039665,3.115625
-1.76489,0.894839,3.236751,-1.362229,1.455242,3.138349,-2.314874,0.039831,3.115531
-1.76698,0.894929,3.235783,-1.364969,1.455551,3.141001,-2.314675,0.03979,3.115478
-1.770021,0.894468,3.23591,-1.369948,1.449614,3.133835,-2.314721,0.039649,3.114717
-1.772585,0.893348,3.233814,-1.375092,1.451705,3.138396,-2.315213,0.04013,3.115057
-1.775266,0.89463,3.234049,-1.375253,1.456823,3.144677,-2.314479,0.040069,3.115721
-1.777315,0.896687,3.233603,-1.386167,1.444422,3.137408,-2.314845,0.039739,3.115277
-1.780879,0.898855,3.234916,-1.402441,1.433176,3.128567,-2.314811,0.039845,3.115848
-1.788841,0.891732,3.229503,-1.399597,1.43624,3.134417,-2.314584,0.040032,3.115837
-1.792325,0.891785,3.229717,-1.397329,1.451285,3.150607,-2.314341,0.04133,3.116727
-1.795145,0.892316,3.22988,-1.39898,1.450572,3.153132,-2.314584,0.040032,3.115837
-1.797031,0.893421,3.228213,-1.4076,1.438841,3.146344,-2.314586,0.040352,3.116133
-1.800536,0.89066,3.224632,-1.411178,1.436193,3.153692,-2.314255,0.040576,3.116006
-1.810375,0.878214,3.215998,-1.413157,1.42825,3.136136,-2.314794,0.040038,3.115699
-1.812724,0.879996,3.219002,-1.412829,1.43548,3.156217,-2.314616,0.039606,3.11497
-1.81555,0.881022,3.222701,-1.418989,1.425124,3.154516,-2.314178,0.040305,3.116217
-1.819765,0.882269,3.226556,-1.428561,1.423701,3.157316,-2.314503,0.040319,3.115637
-1.828159,0.872597,3.220296,-1.433859,1.439956,3.174071,-2.314365,0.040381,3.11646
-1.830418,0.873091,3.22282,-1.442368,1.424897,3.163632,-2.313813,0.041753,3.117211
-1.83245,0.873808,3.225128,-1.450169,1.418727,3.163554,-2.313942,0.040847,3.116692
-1.834879,0.872861,3.229442,-1.456769,1.409394,3.15502,-2.314134,0.041564,3.117528
-1.837983,0.871054,3.229237,-1.459216,1.41671,3.165775,-2.3142,0.040235,3.115836
-1.846922,0.858086,3.221105,-1.465725,1.411596,3.166558,-2.314596,0.039997,3.115646
-1.850617,0.853723,3.219698,-1.470128,1.405373,3.160871,-2.31418,0.040625,3.116513
-1.852446,0.855085,3.221044,-1.474533,1.399148,3.155181,-2.314546,0.040296,3.116069
-1.855914,0.853138,3.221207,-1.482931,1.400334,3.139442,-2.314586,0.040352,3.116133
-1.865417,0.84169,3.217935,-1.506514,1.387377,3.132105,-2.314255,0.040576,3.116006
-1.868804,0.84107,3.221039,-1.504574,1.407145,3.165202,-2.314016,0.041236,3.117674
-1.875179,0.833051,3.217052,-1.509094,1.378244,3.144653,-2.313896,0.041786,3.117707
-1.883263,0.821081,3.210464,-1.518708,1.363052,3.139499,-2.314433,0.041008,3.116736
-1.886937,0.816678,3.210131,-1.523986,1.353773,3.137991,-2.314356,0.039899,3.115529
-1.891627,0.8119,3.209528,-1.526042,1.351285,3.139239,-2.314379,0.040666,3.116566
-1.899872,0.801674,3.208338,-1.528666,1.361604,3.151154,-2.314783,0.040073,3.11589
-1.903729,0.797534,3.211497,-1.530553,1.352243,3.144001,-2.314444,0.040973,3.116546
-1.914113,0.781216,3.205102,-1.537195,1.350401,3.147968,-2.314557,0.04026,3.115878
-1.91802,0.777392,3.206898,-1.543828,1.341044,3.13943,-2.314318,0.040562,3.11569
-1.921756,0.77284,3.210512,-1.550507,1.335285,3.136119,-2.314051,0.04153,3.117032
-1.931734,0.761937,3.208661,-1.553479,1.339332,3.140219,-2.313922,0.041238,3.117369
-1.935032,0.759174,3.211408,-1.56301,1.334339,3.137832,-2.314607,0.039962,3.115456
-1.94118,0.750612,3.211335,-1.58323,1.329932,3.12975,-2.314191,0.04059,3.116323
-1.950234,0.741556,3.212921,-1.591682,1.327671,3.133485,-2.314274,0.040623,3.116818
-1.959109,0.72898,3.208926,-1.589803,1.327153,3.139938,-2.314492,0.040354,3.115827
-1.9663,0.720705,3.20862,-1.597505,1.317723,3.136729,-2.314403,0.040916,3.116482
-1.972504,0.715326,3.214626,-1.606603,1.311822,3.131718,-2.314089,0.040867,3.116871
-1.979894,0.706103,3.213131,-1.606619,1.322963,3.149472,-2.314412,0.040561,3.115995
-1.982446,0.705196,3.223722,-1.613029,1.31456,3.147095,-2.313883,0.041501,3.117601
-1.989888,0.690214,3.217881,-1.613191,1.313922,3.142991,-2.314453,0.040617,3.116059
-1.998415,0.677922,3.212796,-1.624294,1.30947,3.146532,-2.314331,0.041285,3.117284
-2.0098,0.663819,3.20609,-1.639242,1.287332,3.128083,-2.314456,0.040937,3.116356
-2.015124,0.653634,3.210038,-1.66065,1.27031,3.134452,-2.314661,0.040303,3.115626
-2.02525,0.637219,3.204223,-1.669554,1.255448,3.134901,-2.314502,0.040756,3.117126
-2.03062,0.629245,3.204554,-1.678565,1.243888,3.138548,-2.314401,0.040596,3.116186
-2.037083,0.620024,3.207257,-1.691686,1.22483,3.13182,-2.314691,0.040395,3.11588
-2.046495,0.606634,3.204925,-1.701005,1.203588,3.124405,-2.314362,0.040859,3.116418
-2.05645,0.59232,3.205199,-1.700661,1.204882,3.132632,-2.30868,0.049458,3.122459
-2.061572,0.585924,3.207628,-1.714591,1.189061,3.125565,-2.309957,0.050227,3.119346
-2.06652,0.580888,3.213678,-1.730579,1.167099,3.11451,-2.311214,0.051389,3.116913
-2.076208,0.565761,3.211134,-1.739687,1.151545,3.110859,-2.311216,0.051709,3.117209
-2.080957,0.557627,3.2128,-1.755012,1.133269,3.108608,-2.311266,0.052206,3.117038
-2.090753,0.542024,3.210211,-1.774916,1.108374,3.098607,-2.308772,0.052765,3.124573
-2.096376,0.53274,3.209493,-1.781363,1.097553,3.108093,-2.308767,0.05376,3.125651
-2.104096,0.518856,3.208462,-1.795909,1.071171,3.10857,-2.307472,0.055658,3.131703
-2.110005,0.508571,3.208895,-1.810661,1.052594,3.107821,-2.306125,0.055106,3.13596
-2.1163,0.498021,3.207992,-1.819523,1.045332,3.120917,-2.30604,0.054391,3.136402
-2.123968,0.48652,3.208748,-1.820935,1.05297,3.139069,-2.305993,0.052578,3.135197
-2.130166,0.473739,3.208978,-1.827545,1.048851,3.140303,-2.305944,0.052078,3.135365
-2.138367,0.454714,3.208468,-1.835909,1.045776,3.144448,-2.302659,0.054287,3.138269
-2.146591,0.438742,3.204905,-1.842328,1.042338,3.155774,-2.302457,0.065557,3.152544
-2.156863,0.422278,3.198021,-1.854473,1.028219,3.151432,-2.302094,0.066687,3.158634
-2.167251,0.405992,3.196461,-1.870666,1.002151,3.133094,-2.303356,0.062759,3.137342
-2.171387,0.398292,3.200838,-1.879084,0.996453,3.147099,-2.303379,0.066217,3.140542
-2.178578,0.390942,3.206952,-1.895022,0.973717,3.146529,-2.302843,0.06789,3.149656
-2.184808,0.379547,3.208561,-1.897095,0.980868,3.160517,-2.304096,0.068404,3.146627
-2.193085,0.360703,3.202057,-1.914115,0.951939,3.147795,-2.304096,0.068404,3.146627
-2.198401,0.346031,3.201777,-1.925012,0.927812,3.135087,-2.304144,0.075314,3.153018
-2.203886,0.331286,3.198442,-1.934662,0.905628,3.137625,-2.304144,0.075314,3.153018
-2.213985,0.311556,3.191684,-1.95269,0.87804,3.127433,-2.304144,0.075314,3.153018
-2.222485,0.293694,3.188751,-1.959008,0.874934,3.136102,-2.304276,0.067843,3.143584
-2.230142,0.279095,3.182811,-1.961127,0.872755,3.141208,-2.304397,0.085115,3.159563
-2.240196,0.257671,3.176616,-1.95883,0.87278,3.151661,-2.304397,0.085115,3.159563
-2.243846,0.246911,3.178664,-1.968582,0.864542,3.151585,-2.304397,0.085115,3.159563
-2.24937,0.23985,3.178299,-1.968309,0.894353,3.193902,-2.304397,0.085115,3.159563
-2.257704,0.220323,3.17525,-1.98611,0.873086,3.203233,-2.304217,0.085673,3.1626
-2.264854,0.208668,3.171363,-1.991395,0.860161,3.209327,-2.304217,0.085673,3.1626
-2.266122,0.206137,3.170331,-1.99525,0.849683,3.208665,-2.303832,0.083342,3.165487
-2.268383,0.199913,3.161988,-2.009716,0.837711,3.202717,-2.303651,0.083905,3.168529
-2.271484,0.197067,3.157607,-2.01735,0.824082,3.203301,-2.303626,0.080454,3.165338
