pt1_dltres,pt2_dltres,pt3_dltres
0.111368,0.071555,0.136233
0.066314,0.006580,0.182209
0.093281,0.053283,0.146696
0.082848,0.053283,0.175536
0.070685,0.325974,0.169827
0.081723,0.285312,0.169851
0.087772,0.393225,0.183397
0.081431,0.393225,0.174950
0.109830,0.539977,0.182985
0.093094,0.395812,0.172565
0.029252,0.351988,0.170850
0.043868,0.290981,0.174950
0.031982,0.175272,0.140977
0.015038,0.154935,0.178653
0.140975,0.355530,0.172565
0.112571,0.297674,0.184758
0.053985,0.444484,0.174974
0.071667,0.366660,0.175114
0.087398,0.366660,0.142141
0.112385,0.302374,0.165727
0.117445,0.253049,0.168267
0.073809,0.188760,0.158855
0.093756,0.236314,0.183174
0.140020,0.279863,0.168664
0.234897,0.213278,0.179074
0.237230,0.258602,0.169851
0.183617,0.256255,0.191432
0.129976,0.338392,0.160018
0.029498,0.179011,0.187918
0.046047,0.145762,0.169628
0.045520,0.150012,0.198304
0.095276,0.269260,0.188505
0.166671,0.389124,0.190046
0.173432,0.600431,0.193981
0.168610,0.645737,0.166493
0.204130,0.796985,0.176292
0.172414,0.810859,0.195367
0.108835,0.873779,0.169628
0.064267,0.860944,0.190244
0.210681,0.855228,0.171213
0.165264,0.685532,0.195779
0.102505,0.624020,0.171213
0.027427,0.725633,0.168664
0.067494,0.930838,0.173786
0.218960,0.344488,0.160406
0.154899,0.869354,0.153146
0.105177,1.179973,0.183406
0.090147,1.332350,0.179074
0.228660,1.129193,0.186343
0.191777,1.240593,0.164786
0.055223,1.031257,0.168698
0.128442,0.979801,0.166536
0.169616,1.028343,0.169662
0.000562,1.175513,0.164341
0.056875,1.141221,0.180857
0.038623,1.106930,0.155118
0.094939,0.339068,0.168664
0.107643,0.486769,0.173786
0.057930,0.299785,0.162610
0.018937,0.412256,0.154376
0.108843,0.394667,0.181046
0.101108,0.335618,0.154731
0.094594,0.470030,0.176922
0.123570,0.414312,0.167278
0.123300,0.530143,0.174174
0.284961,0.648924,0.148246
0.246279,0.597563,0.173588
0.087814,0.593398,0.176946
0.165073,0.674461,0.179892
0.138184,0.779962,0.157469
0.154818,0.710154,0.173985
0.108979,0.627942,0.163575
0.217104,0.465074,0.185946
0.209236,0.284739,0.160628
0.012255,0.159119,0.158089
0.010213,0.376596,0.156306
0.033343,0.552759,0.163797
0.065880,0.401112,0.169851
0.017938,0.533130,0.165150
0.031304,0.333930,0.167302
0.068104,0.136256,0.161593
0.088531,0.191595,0.180057
0.042711,0.218435,0.163178
0.130513,0.095878,0.182011
0.079457,0.096416,0.147083
0.104540,0.399949,0.290428
0.155572,0.060863,0.434549
0.288250,0.190711,0.589862
0.234899,0.286619,0.587313
0.245213,0.494250,0.554727
0.325626,0.811684,0.221155
0.340344,0.510642,0.220379
0.334612,0.176428,0.076480
0.456959,0.462867,0.026408
0.496344,0.235473,0.029344
0.754646,0.023743,0.065254
0.523946,0.089904,0.097840
0.336263,0.069103,0.188822
0.266287,0.088624,0.273932
0.259715,0.184561,0.494180
0.360612,0.558335,0.276669
0.107107,0.530047,0.304248
0.024121,0.114671,0.026111
0.080890,0.096412,0.186522
0.034066,0.249968,0.186522
0.163786,0.529478,0.131365
0.144473,0.381266,0.131365
0.025715,0.365640,0.131365
0.159390,0.591218,0.076402
0.100052,0.305622,0.061497
0.135397,0.367017,0.061497
0.002425,0.175549,0.061497
0.091132,0.204963,0.061497
0.052687,0.142527,0.048626
0.121834,0.557314,0.048626
0.143174,0.774419,0.296455
0.068699,0.599829,0.406582
0.045747,0.565567,0.434159
0.116269,0.591046,0.434159
0.151645,1.042714,0.434159
0.066697,0.887680,0.428846
0.060462,0.812637,0.401270
0.068347,0.668689,0.016156
0.102551,0.550266,0.061497
0.146016,0.192274,0.061497
0.110541,1.139463,0.006334
0.030446,1.120817,0.033918
0.049892,0.484285,0.048626
0.054691,0.558691,0.021042
0.012910,0.040220,0.048420
0.111479,0.130588,0.048420
0.046387,0.356138,0.048420
0.080134,0.356138,0.048420
0.255846,0.048278,0.034335
0.211786,0.114814,0.034335
0.208580,0.065204,0.089506
0.294802,0.295403,0.117093
0.326927,0.156778,0.117093
0.337101,0.258320,0.117093
0.236660,0.359867,0.144680
0.089280,0.202575,0.496848
0.117595,0.217956,0.496848
0.035436,0.427045,0.496848
0.077439,0.439153,0.138857
0.043732,0.493262,0.138857
0.088959,0.460919,0.301658
0.150112,0.243359,0.081403
0.188418,0.265058,0.026213
0.217053,0.225304,0.026213
0.162989,0.204261,0.026213
0.236645,0.089730,0.028975
