pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
597.725924,774.879815,616.129062,787.707695,576.838729,740.910856,624.869273,751.756584,622.255734,808.473535,607.831607,826.41181
597.99,775.04,615.99,788.06,576.838729,740.910856,624.869273,751.756584,622.571742,808.067314,607.882154,826.41181
598.01,775.08,616.01,788.13,576.838729,740.910856,624.869273,752.048683,622.577338,808.091978,607.882154,826.41181
598.03,775.12,616.03,788.2,576.924206,740.910856,624.869273,752.048683,622.869932,808.1515,607.932701,826.486684
598.04,775.16,616.04,788.26,577.009682,741.03747,624.869273,752.048683,622.907681,808.170168,607.983248,826.486684
598.04,775.2,616.05,788.33,577.009682,741.03747,624.737811,752.243416,622.935596,808.122542,608.033795,826.486684
598.04,775.24,616.08,788.43,577.009682,741.2907,624.737811,752.243416,622.598252,808.078116,608.134889,826.486684
598.07,775.29,616.09,788.92,576.838729,741.417315,624.737811,752.243416,622.678961,808.10556,608.235983,826.486684
598.12,775.36,616.09,788.96,576.838729,741.417315,624.737811,752.243416,622.548331,808.092105,608.235983,826.486684
598.13,775.43,616.11,789,576.838729,741.417315,624.737811,752.340782,622.923268,808.160216,608.337077,826.486684
598.18,775.44,616.12,789.04,576.838729,741.417315,624.737811,752.340782,622.853268,808.137562,608.337077,826.486684
598.2,775.48,616.17,789.12,576.924206,741.417315,624.737811,752.340782,622.939921,808.148325,608.337077,826.486684
598.35,775.99,616.19,789.18,577.009682,741.54393,624.737811,752.438149,622.691961,808.441773,608.337077,826.486684
598.38,776.03,616.19,789.25,577.009682,741.54393,624.606349,752.632882,622.626427,808.118909,608.539265,826.486684
598.4,776.07,616.2,789.33,577.009682,741.797159,624.803542,752.340782,622.634194,808.090404,608.539265,826.486684
598.44,776.1,616.19,789.45,577.009682,741.923774,624.737811,752.438149,622.630025,808.105119,608.539265,826.486684
598.48,776.17,616.19,789.93,577.009682,742.050389,624.737811,752.535515,622.595998,808.102894,608.690906,826.486684
598.79,776.31,616.21,789.98,577.095158,742.177004,624.737811,752.535515,622.579445,808.131003,608.690906,826.41181
598.84,776.38,616.2,790.02,577.095158,742.303619,624.67208,752.632882,622.591355,808.099765,608.539265,826.336935
598.9,776.49,616.21,790.07,577.095158,742.430233,624.606349,752.924981,622.899139,808.111825,608.539265,826.336935
599.01,776.94,616.24,790.16,577.180635,742.430233,624.474887,753.509179,622.62343,808.075615,608.539265,826.336935
599.04,776.99,616.26,790.25,577.180635,742.430233,624.343425,753.801279,622.846736,808.123333,608.589812,826.336935
599.07,777.05,616.28,790.39,577.351588,742.683463,624.343425,754.093378,622.622181,808.10164,608.741453,826.561559
599.1,777.09,616.28,790.92,577.266111,742.936693,624.343425,754.385477,622.592703,808.090469,608.842548,826.486684
599.17,777.14,616.3,790.98,577.437064,743.189922,624.146231,754.774943,622.577192,808.094599,608.842548,826.41181
599.18,777.17,616.36,791.05,577.608017,743.316537,624.146231,754.774943,622.621585,808.125736,608.842548,826.41181
599.21,777.23,616.42,791.09,577.693493,743.569767,624.146231,754.969676,622.606751,808.119497,608.893095,826.41181
599.26,777.29,616.44,791.15,577.864446,743.822996,624.0805,755.164408,622.589371,808.066985,608.893095,826.41181
599.31,777.38,616.47,791.19,577.864446,743.822996,624.0805,755.456508,622.939709,808.140144,608.842548,826.41181
599.38,777.46,616.49,791.27,578.035399,744.076226,624.0805,755.845973,622.596525,808.105449,608.842548,826.41181
599.61,777.95,616.64,791.33,578.206352,744.076226,624.146231,756.040706,622.522062,808.057948,608.842548,826.41181
599.85,778.01,616.68,791.41,578.291828,744.45607,624.0805,756.040706,622.834356,808.119052,608.842548,826.41181
599.89,778.06,616.68,791.58,578.377305,744.7093,624.146231,756.040706,622.881665,808.13185,608.842548,826.41181
599.94,778.09,616.73,792.05,578.462781,745.089144,624.277693,756.040706,622.890627,808.146767,608.792,826.486684
599.98,778.13,616.7,792.09,578.633734,745.215759,624.343425,756.138073,622.863142,808.14602,608.792,826.486684
600.01,778.16,616.7,792.15,578.633734,745.468989,624.409156,756.430172,622.590269,808.111087,608.792,826.486684
600.09,778.23,616.75,792.25,578.804687,745.468989,624.343425,756.722271,622.859455,808.138871,608.792,826.486684
600.15,778.32,616.77,792.32,578.804687,745.468989,624.211962,756.819637,622.670603,808.061663,608.792,826.486684
600.22,778.37,616.75,792.38,578.804687,745.722218,624.277693,756.917004,622.580728,808.129119,608.792,826.486684
600.34,778.47,616.73,792.53,578.97564,745.848833,624.277693,757.01437,622.678486,808.448887,608.792,826.486684
600.67,779.02,616.77,793.01,578.97564,745.975448,624.277693,757.209103,622.606775,808.112071,608.792,826.486684
600.9,779.1,616.77,793.06,578.97564,746.228678,624.277693,757.403836,622.591597,808.089761,608.690906,826.41181
600.94,779.15,616.78,793.16,579.061116,746.228678,624.343425,757.403836,622.665354,808.133921,608.690906,826.41181
601,779.22,616.8,793.28,579.146593,746.355292,624.343425,757.403836,622.893223,808.143135,608.690906,826.41181
601.04,779.3,616.81,793.4,579.146593,746.355292,624.277693,757.695935,622.582663,808.130796,608.690906,826.41181
601.11,779.4,616.8,793.95,579.146593,746.355292,624.277693,757.793302,622.47236,808.10633,608.690906,826.41181
601.17,779.48,616.81,794.02,579.232069,746.481907,624.277693,757.890668,622.846442,808.131678,608.690906,826.41181
601.38,779.98,616.84,794.06,579.317545,746.481907,624.211962,758.085401,622.891368,808.12573,608.690906,826.41181
601.65,780.05,616.85,794.11,579.488498,746.735137,624.211962,758.182767,622.649959,808.079573,608.690906,826.41181
601.74,780.12,616.84,794.18,579.573975,746.735137,624.146231,758.3775,622.816279,808.132938,608.690906,826.41181
601.82,780.16,616.86,794.23,579.573975,746.735137,624.146231,758.669599,622.642061,808.107173,608.690906,826.41181
601.89,780.21,616.85,794.31,579.744928,746.988366,624.146231,758.669599,622.620858,808.106595,608.690906,826.41181
601.96,780.27,616.85,794.44,579.744928,747.114981,624.146231,758.669599,622.593892,808.101141,608.690906,826.41181
602.02,780.36,616.9,794.94,579.830404,747.62144,624.146231,758.669599,622.898865,808.131831,608.690906,826.41181
602.1,780.41,616.92,795.01,580.001357,747.62144,624.146231,758.669599,622.90791,808.127045,608.690906,826.41181
602.16,780.5,616.89,795.07,580.086833,748.001285,624.146231,758.669599,622.916606,808.147334,608.690906,826.41181
602.36,780.97,616.94,795.13,580.257786,748.001285,624.211962,759.059065,622.713392,808.44715,608.690906,826.41181
602.68,781.07,616.92,795.21,580.343262,748.1279,624.211962,759.448531,622.602163,808.132502,608.690906,826.41181
602.68,781.07,616.89,795.3,580.428739,748.381129,624.211962,759.837996,622.863344,808.138773,608.690906,826.41181
602.77,781.11,616.86,795.44,580.428739,748.381129,624.211962,760.227462,622.599084,808.120809,608.690906,826.41181
602.88,781.19,616.85,795.97,580.599692,748.507744,624.211962,760.714294,622.853267,808.112925,608.690906,826.41181
603.02,781.36,616.86,796.04,580.599692,748.760974,624.0805,761.10376,622.584903,808.097832,608.690906,826.41181
603.26,781.95,616.86,796.15,580.514215,748.887589,624.0805,761.201126,622.852855,808.158394,608.690906,826.41181
603.32,782,616.87,796.28,580.514215,748.887589,624.014769,761.882691,622.581064,808.112894,608.690906,826.41181
603.41,782.06,616.88,796.44,580.599692,749.014203,623.949038,762.272157,622.833151,808.083483,608.690906,826.41181
603.49,782.13,616.88,796.94,580.770645,749.140818,624.014769,762.077424,622.883528,808.117577,608.690906,826.486684
603.83,782.29,616.87,797.03,580.941597,749.267433,624.014769,762.077424,622.619758,808.100599,608.690906,826.486684
603.9,782.4,616.87,797.11,581.027074,749.394048,624.014769,762.272157,622.564907,808.07235,608.741453,826.486684
604.09,782.91,616.87,797.21,581.198027,749.520663,624.014769,762.272157,622.660677,808.454977,609.01,826
604.16,782.97,616.86,797.34,581.36898,749.773892,624.014769,762.272157,622.631286,808.130888,608.99,826.01
