pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.017413,0.050521,0.039508,0.018997,0.045580,0.036429,0.032289,0.086006,0.067246
0.018684,0.053697,0.040964,0.018363,0.046914,0.039251,0.032255,0.082895,0.067230
0.020461,0.045625,0.037258,0.018297,0.041825,0.036087,0.032628,0.089945,0.071929
0.019428,0.049807,0.037432,0.020013,0.048045,0.038220,0.033157,0.087205,0.065127
0.021038,0.047716,0.036185,0.019318,0.048720,0.041225,0.034069,0.083191,0.066676
0.019131,0.047455,0.036357,0.019989,0.049128,0.039177,0.032408,0.083741,0.066546
0.020012,0.049268,0.038218,0.018204,0.046815,0.039406,0.035331,0.086326,0.061275
0.018424,0.051732,0.039078,0.017792,0.047655,0.040556,0.034254,0.084696,0.064704
0.019316,0.049692,0.039411,0.020124,0.044386,0.038844,0.035170,0.088966,0.068793
0.020046,0.046111,0.037048,0.019240,0.045143,0.037008,0.033738,0.087378,0.068343
0.018807,0.048356,0.038506,0.019617,0.047475,0.037728,0.032162,0.091866,0.068067
0.021272,0.047844,0.040031,0.019349,0.044179,0.036421,0.034144,0.092178,0.070351
0.019917,0.046105,0.037037,0.017615,0.046966,0.037612,0.033671,0.085091,0.066618
0.019133,0.046898,0.037308,0.019096,0.047003,0.040539,0.032985,0.085521,0.062475
0.019582,0.048851,0.037568,0.019639,0.043099,0.035056,0.032262,0.081119,0.064120
0.018642,0.051842,0.038319,0.019813,0.047421,0.036770,0.032278,0.086752,0.065447
0.019476,0.048894,0.037379,0.019377,0.045674,0.039260,0.035552,0.088757,0.065058
0.020194,0.049725,0.039339,0.018866,0.045601,0.036078,0.031381,0.081871,0.060823
0.018674,0.046136,0.037132,0.019244,0.044590,0.038883,0.033109,0.083596,0.062325
0.018887,0.045992,0.037860,0.018981,0.048486,0.040223,0.035517,0.090320,0.069069
0.018986,0.045422,0.036106,0.018783,0.044967,0.036512,0.035210,0.079510,0.062744
0.018733,0.050152,0.038832,0.019064,0.047209,0.039429,0.034462,0.088790,0.067875
0.017560,0.047321,0.037365,0.018172,0.048467,0.040511,0.033012,0.089638,0.069939
0.019201,0.052349,0.040453,0.019068,0.043948,0.037040,0.036592,0.080355,0.064623
0.018455,0.045151,0.039246,0.017889,0.050034,0.038230,0.032100,0.083928,0.065003
0.018422,0.048732,0.039039,0.018559,0.047777,0.038847,0.033509,0.086240,0.067395
0.019308,0.045428,0.034613,0.018763,0.047650,0.037784,0.033537,0.079831,0.061737
0.016994,0.050967,0.038022,0.019582,0.044140,0.036326,0.032089,0.090522,0.066844
0.020038,0.048807,0.039566,0.018712,0.051883,0.042981,0.031854,0.087747,0.066277
0.019074,0.051176,0.039161,0.017219,0.046683,0.038016,0.035073,0.087844,0.069318
