pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
4.927457,0.858203,10.799999,5.059999,1.566175,10.485026,4.736311,0.066755,11.119154
4.926756,0.857382,10.802257,5.059600,1.565234,10.487609,4.736651,0.066666,11.119025
4.926049,0.856528,10.804508,5.059191,1.564274,10.490185,4.736985,0.066579,11.118897
4.925336,0.855641,10.806752,5.058771,1.563296,10.492754,4.737313,0.066494,11.118771
4.924617,0.854720,10.808989,5.058339,1.562299,10.495315,4.737636,0.066411,11.118647
4.923892,0.853767,10.811219,5.057898,1.561284,10.497869,4.737953,0.066329,11.118525
4.923161,0.852780,10.813443,5.057445,1.560250,10.500415,4.738264,0.066248,11.118404
4.922424,0.851759,10.815659,5.056981,1.559197,10.502953,4.738570,0.066170,11.118286
4.921681,0.850706,10.817869,5.056507,1.558126,10.505484,4.738870,0.066093,11.118169
4.920932,0.849619,10.820071,5.056022,1.557036,10.508008,4.739165,0.066017,11.118054
4.920177,0.848499,10.822267,5.055526,1.555927,10.510524,4.739454,0.065943,11.117940
4.919415,0.847345,10.824456,5.055020,1.554801,10.513032,4.739737,0.065871,11.117829
4.918648,0.846159,10.826638,5.054502,1.553655,10.515533,4.740015,0.065801,11.117719
4.917875,0.844939,10.828813,5.053974,1.552491,10.518026,4.740286,0.065732,11.117611
4.917095,0.843685,10.830981,5.053435,1.551308,10.520512,4.740553,0.065665,11.117505
4.916310,0.842399,10.833143,5.052886,1.550107,10.522990,4.740814,0.065599,11.117401
4.915518,0.841079,10.835297,5.052325,1.548887,10.525461,4.741069,0.065535,11.117298
4.914721,0.839726,10.837445,5.051754,1.547648,10.527924,4.741318,0.065473,11.117197
4.913917,0.838339,10.839585,5.051172,1.546391,10.530380,4.741562,0.065413,11.117099
4.913108,0.836920,10.841719,5.050579,1.545115,10.532828,4.741800,0.065354,11.117001
4.912292,0.835467,10.843846,5.049975,1.543821,10.535269,4.742033,0.065296,11.116906
4.911471,0.833981,10.845966,5.049361,1.542507,10.537702,4.742259,0.065241,11.116813
4.910643,0.832461,10.848079,5.048736,1.541175,10.540128,4.742481,0.065187,11.116721
4.909809,0.830908,10.850185,5.048100,1.539824,10.542546,4.742696,0.065134,11.116631
4.908970,0.829322,10.852284,5.047453,1.538454,10.544956,4.742906,0.065084,11.116543
4.908124,0.827703,10.854377,5.046795,1.537066,10.547359,4.743111,0.065035,11.116456
4.907272,0.826050,10.856462,5.046127,1.535658,10.549755,4.743309,0.064987,11.116372
4.906414,0.824364,10.858541,5.045448,1.534231,10.552143,4.743502,0.064941,11.116289
4.905550,0.822645,10.860612,5.044758,1.532785,10.554523,4.743690,0.064897,11.116208
4.904680,0.820893,10.862677,5.044057,1.531320,10.556896,4.743872,0.064855,11.116129
4.903804,0.819107,10.864735,5.043346,1.529835,10.559262,4.744048,0.064814,11.116052
4.902922,0.817288,10.866785,5.042624,1.528331,10.561620,4.744218,0.064775,11.115976
4.902034,0.815436,10.868829,5.041891,1.526807,10.563970,4.744383,0.064737,11.115902
4.901140,0.813550,10.870866,5.041147,1.525263,10.566313,4.744542,0.064701,11.115831
4.900240,0.811631,10.872896,5.040392,1.523699,10.568648,4.744696,0.064667,11.115760
4.899334,0.809679,10.874919,5.039627,1.522115,10.570976,4.744844,0.064634,11.115692
4.898422,0.807693,10.876935,5.038851,1.520511,10.573296,4.744986,0.064603,11.115625
4.897504,0.805675,10.878945,5.038064,1.518886,10.575609,4.745123,0.064574,11.115561
4.896579,0.803623,10.880947,5.037266,1.517240,10.577914,4.745254,0.064546,11.115498
4.895649,0.801538,10.882942,5.036458,1.515573,10.580212,4.745379,0.064520,11.115437
4.894713,0.799419,10.884930,5.035638,1.513885,10.582502,4.745499,0.064496,11.115377
4.893770,0.797267,10.886911,5.034808,1.512175,10.584784,4.745613,0.064473,11.115320
4.892822,0.795082,10.888886,5.033968,1.510442,10.587059,4.745722,0.064452,11.115264
4.891868,0.792864,10.890853,5.033116,1.508688,10.589327,4.745825,0.064433,11.115210
4.890907,0.790612,10.892813,5.032254,1.506910,10.591587,4.745922,0.064415,11.115158
4.889941,0.788327,10.894766,5.031380,1.505110,10.593840,4.746013,0.064399,11.115107
4.888968,0.786009,10.896712,5.030496,1.503286,10.596085,4.746099,0.064384,11.115059
4.887989,0.783657,10.898651,5.029602,1.501438,10.598322,4.746180,0.064371,11.115012
4.887005,0.781273,10.900583,5.028696,1.499566,10.600552,4.746254,0.064360,11.114967
4.886014,0.778854,10.902508,5.027780,1.497668,10.602774,4.746323,0.064351,11.114924
4.885018,0.776403,10.904425,5.026853,1.495746,10.604989,4.746387,0.064343,11.114883
4.884015,0.773919,10.906336,5.025915,1.493798,10.607197,4.746444,0.064336,11.114843
4.883006,0.771401,10.908239,5.024966,1.491823,10.609396,4.746496,0.064332,11.114805
4.881991,0.768849,10.910136,5.024007,1.489822,10.611589,4.746543,0.064329,11.114769
4.880970,0.766265,10.912025,5.023037,1.487793,10.613773,4.746584,0.064328,11.114735
4.879943,0.763647,10.913906,5.022056,1.485736,10.615951,4.746619,0.064328,11.114703
4.878911,0.760996,10.915781,5.021064,1.483651,10.618120,4.746649,0.064330,11.114672
4.877872,0.758312,10.917648,5.020061,1.481537,10.620283,4.746672,0.064333,11.114643
4.876827,0.755594,10.919508,5.019048,1.479393,10.622437,4.746691,0.064339,11.114617
4.875776,0.752843,10.921361,5.018024,1.477218,10.624584,4.746703,0.064346,11.114591
4.874718,0.750059,10.923207,5.016989,1.475012,10.626724,4.746710,0.064354,11.114568
4.873655,0.747242,10.925045,5.015943,1.472775,10.628856,4.746712,0.064364,11.114546
4.872586,0.744391,10.926875,5.014887,1.470505,10.630981,4.746708,0.064376,11.114527
4.871511,0.741507,10.928699,5.013820,1.468202,10.633098,4.746698,0.064390,11.114509
4.870430,0.738590,10.930514,5.012741,1.465865,10.635207,4.746682,0.064405,11.114492
4.869343,0.735639,10.932323,5.011653,1.463494,10.637309,4.746661,0.064421,11.114478
4.868249,0.732656,10.934124,5.010553,1.461087,10.639404,4.746634,0.064440,11.114465
4.867150,0.729638,10.935917,5.009443,1.458645,10.641490,4.746602,0.064460,11.114455
4.866045,0.726588,10.937702,5.008322,1.456165,10.643570,4.746564,0.064482,11.114446
4.864933,0.723504,10.939481,5.007190,1.453648,10.645642,4.746520,0.064505,11.114439
4.863816,0.720387,10.941251,5.006047,1.451093,10.647706,4.746470,0.064530,11.114433
4.862692,0.717237,10.943014,5.004893,1.448499,10.649763,4.746415,0.064557,11.114430
4.861563,0.714054,10.944769,5.003729,1.445864,10.651812,4.746355,0.064585,11.114428
4.860427,0.710837,10.946516,5.002554,1.443189,10.653854,4.746288,0.064615,11.114428
4.859285,0.707587,10.948255,5.001368,1.440473,10.655888,4.746217,0.064646,11.114430
4.858138,0.704304,10.949987,5.000172,1.437714,10.657915,4.746139,0.064680,11.114433
4.856984,0.700987,10.951711,4.998964,1.434913,10.659934,4.746056,0.064715,11.114439
4.855824,0.697637,10.953426,4.997746,1.432067,10.661946,4.745967,0.064751,11.114446
4.854659,0.694254,10.955134,4.996517,1.429177,10.663950,4.745872,0.064789,11.114455
4.853487,0.690837,10.956834,4.995277,1.426241,10.665946,4.745772,0.064829,11.114466
4.852309,0.687388,10.958525,4.994027,1.423260,10.667935,4.745667,0.064870,11.114478
4.851125,0.683905,10.960209,4.992765,1.420231,10.669917,4.745555,0.064914,11.114493
4.849935,0.680388,10.961884,4.991493,1.417155,10.671891,4.745438,0.064958,11.114509
4.848739,0.676839,10.963551,4.990210,1.414030,10.673858,4.745316,0.065005,11.114527
4.847537,0.673256,10.965209,4.988917,1.410856,10.675817,4.745187,0.065053,11.114547
4.846329,0.669640,10.966860,4.987612,1.407632,10.677768,4.745053,0.065102,11.114568
4.845115,0.665990,10.968502,4.986297,1.404357,10.679712,4.744914,0.065154,11.114592
4.843895,0.662308,10.970135,4.984971,1.401031,10.681648,4.744768,0.065207,11.114617
4.842669,0.658592,10.971760,4.983634,1.397653,10.683577,4.744618,0.065261,11.114644
4.841437,0.654842,10.973376,4.982287,1.394222,10.685498,4.744461,0.065318,11.114673
4.840199,0.651060,10.974984,4.980928,1.390738,10.687412,4.744299,0.065376,11.114703
4.838955,0.647244,10.976583,4.979559,1.387200,10.689319,4.744131,0.065435,11.114736
4.837704,0.643395,10.978173,4.978179,1.383607,10.691217,4.743958,0.065496,11.114770
4.836448,0.639513,10.979755,4.976788,1.379960,10.693109,4.743779,0.065559,11.114806
4.835186,0.635597,10.981327,4.975387,1.376256,10.694992,4.743594,0.065624,11.114843
4.833917,0.631648,10.982890,4.973975,1.372496,10.696868,4.743404,0.065690,11.114883
4.832643,0.627666,10.984445,4.972552,1.368680,10.698737,4.743208,0.065758,11.114924
4.831363,0.623650,10.985990,4.971118,1.364806,10.700598,4.743006,0.065827,11.114968
4.830076,0.619602,10.987526,4.969673,1.360875,10.702452,4.742799,0.065898,11.115013
4.828784,0.615520,10.989053,4.968218,1.356885,10.704298,4.742586,0.065971,11.115059
4.827485,0.611404,10.990571,4.966752,1.352838,10.706136,4.742368,0.066045,11.115108
4.826180,0.607256,10.992079,4.965275,1.348731,10.707967,4.742143,0.066121,11.115158
4.824870,0.603074,10.993578,4.963787,1.344565,10.709791,4.741914,0.066199,11.115211
