pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
4.927309,0.854937,10.816273,5.048324,1.569042,10.506676,4.754886,0.055874,11.11416
4.925308,0.845455,10.815834,5.048324,1.569042,10.506676,4.749626,0.049835,11.10609
4.924967,0.845525,10.817114,5.047945,1.569635,10.510312,4.749633,0.049639,11.106244
4.924626,0.845595,10.818395,5.046977,1.567569,10.508952,4.745925,0.043451,11.104042
4.924484,0.845647,10.819544,5.046382,1.565233,10.508838,4.745176,0.043721,11.104459
4.924445,0.845971,10.820976,5.047074,1.562548,10.509109,4.74435,0.044383,11.104381
4.924227,0.846853,10.823109,5.047821,1.56201,10.511601,4.747468,0.055753,11.110841
4.923364,0.84739,10.829418,5.050131,1.565875,10.515566,4.745881,0.056179,11.111497
4.922945,0.846093,10.829821,5.050131,1.565875,10.515566,4.747377,0.059578,11.113397
4.922844,0.846281,10.831178,5.050005,1.566072,10.516778,4.74245,0.052327,11.109874
4.922178,0.84535,10.831154,5.050005,1.566072,10.516778,4.743207,0.054181,11.110742
4.92161,0.846174,10.833048,5.049037,1.564006,10.515418,4.742219,0.051922,11.109499
4.921163,0.842019,10.836784,5.048315,1.561869,10.516516,4.745993,0.05772,11.116228
4.92085,0.841352,10.837581,5.049008,1.559182,10.516788,4.744383,0.065204,11.117373
4.920569,0.841201,10.838823,5.048716,1.562679,10.518876,4.744208,0.065063,11.116974
4.920123,0.840179,10.839827,5.049435,1.561068,10.520257,4.7443,0.06514,11.117182
4.919289,0.84016,10.845885,5.049683,1.560998,10.522715,4.743617,0.069869,11.120153
4.915927,0.832747,10.843348,5.049088,1.558666,10.522604,4.743976,0.070031,11.119738
4.915579,0.831207,10.843589,5.049807,1.557055,10.523986,4.744903,0.065735,11.115836
4.915079,0.829846,10.844517,5.050274,1.555835,10.527787,4.741321,0.05777,11.111167
4.914808,0.827127,10.848831,5.049494,1.55187,10.531541,4.744456,0.064957,11.115101
4.914358,0.826974,10.850301,5.050061,1.549385,10.533027,4.741611,0.060381,11.112917
4.913876,0.826918,10.852494,5.048492,1.545309,10.536435,4.742865,0.070685,11.121502
4.91301,0.827327,10.859037,5.049829,1.547436,10.543916,4.742543,0.073825,11.122545
4.912136,0.826107,10.859506,5.049552,1.538937,10.545314,4.742819,0.07401,11.121879
4.911595,0.827422,10.861494,5.047988,1.534529,10.543842,4.742389,0.072802,11.121494
4.910948,0.828107,10.863089,5.047514,1.532321,10.547396,4.742186,0.074479,11.122485
4.910333,0.827365,10.863969,5.046543,1.526501,10.548519,4.742237,0.075035,11.122241
4.909759,0.826759,10.865057,5.046167,1.527104,10.552156,4.738691,0.06457,11.116691
4.908948,0.825525,10.866071,5.044473,1.52323,10.556778,4.742624,0.07349,11.121685
4.906591,0.822591,10.870474,5.041813,1.521038,10.557565,4.74336,0.075506,11.122378
4.90362,0.817647,10.868956,5.042434,1.516612,10.558861,4.739868,0.06733,11.118122
4.903101,0.816943,10.870942,5.041738,1.515548,10.561066,4.73935,0.066084,11.117512
4.901693,0.817953,10.877132,5.040944,1.515764,10.565593,4.739565,0.064746,11.117645
4.901515,0.816236,10.876911,5.038781,1.513103,10.566412,4.739886,0.065456,11.118065
4.901186,0.815568,10.877485,5.038679,1.514711,10.573605,4.742991,0.072564,11.121964
4.899992,0.814883,10.878982,5.036837,1.509625,10.573451,4.739908,0.065566,11.118052
4.899338,0.813855,10.880126,5.037655,1.506736,10.572515,4.741902,0.070594,11.120232
4.898749,0.811661,10.879946,5.037803,1.507945,10.577287,4.743156,0.072773,11.122288
4.897622,0.808328,10.880598,5.036113,1.503739,10.577033,4.742941,0.069598,11.123898
4.89457,0.801078,10.88748,5.036235,1.503871,10.580697,4.7428,0.072136,11.121717
4.892093,0.795294,10.885293,5.03673,1.503737,10.585605,4.743713,0.069803,11.119145
4.891587,0.794674,10.88657,5.035289,1.503212,10.585324,4.742975,0.06781,11.118431
4.890815,0.793804,10.888142,5.034693,1.500877,10.585216,4.740323,0.061914,11.114979
4.890373,0.793169,10.889962,5.034789,1.49993,10.587771,4.743937,0.069949,11.119686
4.889275,0.792272,10.896555,5.034664,1.50013,10.58898,4.745162,0.072843,11.12116
4.888663,0.79102,10.897438,5.033943,1.497993,10.590081,4.74084,0.063144,11.115594
4.887444,0.785587,10.900051,5.033195,1.494779,10.590075,4.740294,0.061998,11.114837
4.884403,0.779067,10.897306,5.031877,1.490304,10.591066,4.742997,0.068319,11.118139
4.883558,0.776598,10.897299,5.031129,1.487089,10.591061,4.741198,0.06392,11.116075
4.88255,0.775126,10.897391,5.030755,1.487695,10.594694,4.74317,0.068466,11.118531
4.881864,0.77322,10.897624,5.029561,1.483015,10.594473,4.743418,0.069014,11.118855
4.881078,0.771657,10.898742,5.029933,1.482747,10.595716,4.743719,0.06972,11.119221
4.879699,0.772378,10.905742,5.030454,1.479612,10.599341,4.740224,0.061792,11.11478
4.878696,0.770933,10.906182,5.028514,1.475469,10.596637,4.740103,0.061568,11.114593
4.87841,0.76866,10.90639,5.028663,1.472608,10.599024,4.74006,0.061302,11.114656
4.877051,0.764075,10.909443,5.025752,1.470806,10.602224,4.743326,0.065931,11.12075
4.873696,0.755578,10.906102,5.024656,1.469268,10.606951,4.743713,0.069442,11.119399
4.873803,0.755056,10.906737,5.023933,1.467467,10.612923,4.740662,0.062694,11.115401
4.872929,0.752322,10.906984,5.023436,1.468273,10.61776,4.743715,0.069546,11.119333
4.871336,0.750423,10.912508,5.021247,1.464874,10.622351,4.740704,0.063007,11.115304
4.870063,0.746988,10.913026,5.022438,1.462056,10.627533,4.743815,0.069959,11.119328
4.868889,0.740055,10.916448,5.023655,1.464062,10.631333,4.740842,0.062924,11.115756
4.868117,0.739006,10.917787,5.02326,1.463953,10.638742,4.743904,0.070027,11.119535
4.866993,0.737258,10.919131,5.022638,1.46089,10.642411,4.740855,0.063586,11.115329
4.865683,0.736303,10.924811,5.020847,1.457604,10.639594,4.74028,0.062423,11.115827
4.862187,0.727444,10.922037,5.019278,1.453186,10.638133,4.743331,0.069261,11.119761
4.861606,0.72566,10.923024,5.018433,1.451254,10.640446,4.743534,0.072015,11.121158
4.860786,0.720116,10.926318,5.016864,1.446836,10.638986,4.742155,0.074247,11.121629
4.86007,0.718306,10.927275,5.015667,1.442148,10.638766,4.741684,0.07518,11.11871
4.858937,0.71581,10.927693,5.015069,1.439805,10.638657,4.742076,0.077195,11.119326
4.857492,0.713962,10.933237,5.0135,1.435388,10.6372,4.738358,0.068119,11.114514
4.85661,0.712974,10.934416,5.012654,1.433454,10.639513,4.738257,0.068577,11.114627
4.853399,0.705081,10.932151,5.011683,1.43138,10.638164,4.737761,0.067431,11.114011
4.852253,0.701328,10.932003,5.00992,1.433624,10.643718,4.738979,0.069447,11.11536
4.851438,0.695731,10.934827,5.007734,1.430228,10.648311,4.74158,0.076179,11.118621
4.85074,0.693925,10.936008,5.007984,1.43051,10.655631,4.738652,0.069168,11.115165
4.849634,0.693493,10.941902,5.006628,1.429806,10.667777,4.738309,0.067804,11.114229
4.848796,0.691587,10.942591,5.006999,1.429534,10.669013,4.741605,0.075645,11.118702
4.847642,0.689963,10.943252,5.005593,1.424841,10.665945,4.7395,0.070405,11.115812
4.846437,0.689388,10.945698,5.006337,1.424302,10.668422,4.741529,0.075185,11.118805
4.843064,0.680389,10.944607,5.004603,1.420159,10.668582,4.74142,0.075358,11.118373
4.842119,0.677063,10.95336,5.004302,1.416297,10.670276,4.738468,0.068277,11.114896
4.841501,0.675602,10.953666,5.003167,1.414497,10.670544,4.741516,0.075828,11.118861
4.84093,0.673944,10.954059,5.000598,1.412415,10.669276,4.742171,0.076976,11.119386
4.840402,0.67191,10.954662,4.999027,1.407995,10.667823,4.742197,0.077517,11.119625
4.839595,0.669392,10.954632,4.99613,1.406462,10.669783,4.738156,0.067869,11.114291
4.838526,0.668219,10.955586,4.99316,1.411148,10.678789,4.741484,0.075821,11.118775
4.837548,0.66619,10.95719,4.990662,1.404936,10.680457,4.741806,0.076743,11.118871
4.836614,0.665952,10.963093,4.989461,1.400247,10.680244,4.738191,0.067816,11.114428
4.834548,0.658525,10.965585,4.988861,1.397904,10.680138,4.737698,0.066637,11.113667
4.832495,0.653227,10.963942,4.982723,1.398168,10.687771,4.738711,0.068566,11.114844
4.832054,0.651282,10.96437,4.980321,1.388804,10.687358,4.741843,0.073782,11.121237
4.831778,0.648796,10.964223,4.978356,1.382057,10.688663,4.742345,0.077518,11.11987
4.831285,0.646588,10.965039,4.977103,1.380804,10.694999,4.742692,0.078617,11.120269
4.830602,0.645338,10.971254,4.974373,1.371987,10.697813,4.739271,0.069949,11.115475
4.83017,0.639204,10.973944,4.970946,1.363978,10.702605,4.738615,0.068695,11.115024
4.829249,0.636149,10.974113,4.969627,1.359851,10.708473,4.741992,0.076925,11.119454
4.826325,0.629062,10.972478,4.967937,1.355988,10.7131,4.73869,0.069455,11.115247
4.825716,0.627094,10.974543,4.963766,1.348507,10.715413,4.737742,0.063899,11.115721
4.824504,0.6254,10.980294,4.962792,1.341037,10.717569,4.741935,0.076081,11.11934
4.824006,0.624399,10.981337,4.960569,1.343109,10.719073,4.738695,0.06873,11.114507
4.823807,0.618253,10.984343,4.960015,1.341052,10.723432,4.74195,0.076177,11.118595
4.823059,0.615327,10.984045,4.960128,1.335098,10.720859,4.738825,0.069799,11.115215
4.822667,0.612587,10.983744,4.959203,1.333307,10.723981,4.74169,0.075779,11.118674
4.822527,0.609476,10.983513,4.959042,1.333586,10.725594,4.742178,0.076442,11.119237
4.823197,0.600952,10.98162,4.956195,1.337735,10.728518,4.741693,0.075716,11.118903
4.820115,0.592222,10.983748,4.954274,1.33829,10.731825,4.738897,0.069468,11.115289
4.819503,0.584545,10.990569,4.954667,1.333599,10.731537,4.73821,0.068152,11.11407
4.819014,0.582695,10.991498,4.953329,1.333897,10.738929,4.737821,0.067531,11.114114
4.818387,0.580227,10.991937,4.950385,1.325058,10.738895,4.741796,0.076444,11.11923
4.817924,0.577813,10.99262,4.951128,1.324527,10.741372,4.738505,0.068835,11.11461
4.817431,0.575601,10.993438,4.950806,1.325082,10.744592,4.738656,0.068992,11.115109
4.816588,0.572816,10.994023,4.948716,1.316776,10.742003,4.738372,0.068175,11.114515
4.814911,0.564441,10.997563,4.946625,1.308467,10.739413,4.738043,0.06722,11.114057
4.812658,0.554524,11.00538,4.942311,1.302233,10.738327,4.73767,0.066752,11.113683
4.81192,0.552015,11.006247,4.937303,1.296822,10.739228,4.741112,0.075,11.117743
4.811112,0.549387,11.006808,4.936007,1.295302,10.741115,4.742488,0.077372,11.119471
4.810482,0.54609,11.007257,4.9324,1.283805,10.736516,4.739096,0.070446,11.115713
4.809276,0.544099,11.008899,4.932168,1.281193,10.737656,4.738266,0.068057,11.114649
4.80718,0.541594,11.013959,4.930354,1.274153,10.737361,4.73783,0.067563,11.113938
4.804872,0.533675,11.011456,4.927634,1.267914,10.736193,4.738785,0.069318,11.115616
4.803677,0.531096,11.012862,4.928875,1.263909,10.742382,4.738608,0.068413,11.114658
4.802412,0.525603,11.017868,4.927806,1.265151,10.745248,4.743232,0.076717,11.12315
4.801839,0.522984,11.023211,4.925623,1.262974,10.749579,4.737278,0.066947,11.112423
4.800923,0.519018,11.023153,4.925623,1.262974,10.749579,4.737947,0.066409,11.115263
4.800276,0.514784,11.022802,4.923566,1.262189,10.755682,4.737894,0.066035,11.114285
4.79917,0.507661,11.022079,4.922021,1.258894,10.753567,4.737763,0.066516,11.114484
4.798507,0.490388,11.021396,4.921544,1.259742,10.758408,4.739307,0.067405,11.119551
4.797702,0.483802,11.029638,4.920697,1.256453,10.765044,4.738557,0.067286,11.115672
4.796375,0.48006,11.035732,4.916121,1.242291,10.764069,4.737958,0.066381,11.115137
4.794924,0.477773,11.037426,4.913109,1.228793,10.766861,4.738018,0.066155,11.1151
4.79297,0.472286,11.036899,4.910446,1.222058,10.766203,4.738089,0.065901,11.114938
4.790221,0.464333,11.035279,4.909633,1.217099,10.769464,4.738089,0.065901,11.114938
4.789277,0.460549,11.036769,4.904336,1.210957,10.767925,4.737958,0.066381,11.115137
4.787542,0.452956,11.045172,4.899533,1.201329,10.763193,4.738007,0.066182,11.115227
4.784056,0.443657,11.053346,4.89872,1.196367,10.766456,4.738029,0.066128,11.114974
4.780765,0.436238,11.052318,4.898066,1.19112,10.768105,4.737561,0.064742,11.114239
4.779882,0.432788,11.052707,4.899424,1.187372,10.772062,4.737408,0.065277,11.114691
4.779075,0.42912,11.053281,4.89645,1.173124,10.766441,4.737408,0.065277,11.114691
4.777273,0.424122,11.05371,4.89688,1.172993,10.770015,4.73749,0.064996,11.114402
4.774499,0.42211,11.060763,4.89514,1.162622,10.769743,4.737561,0.064742,11.114239
4.77028,0.410482,11.057921,4.895388,1.156377,10.770119,4.737501,0.064969,11.114276
4.769068,0.402946,11.060445,4.891667,1.143175,10.773668,4.737419,0.06525,11.114565
4.767269,0.393208,11.06339,4.888869,1.138657,10.775351,4.737085,0.063957,11.114519
4.763464,0.387272,11.068457,4.886502,1.132004,10.779581,4.736028,0.06164,11.113122
4.762364,0.383131,11.068527,4.881903,1.115762,10.777578,4.736181,0.061105,11.11267
4.761009,0.379136,11.069355,4.880344,1.10829,10.781503,4.735305,0.060615,11.111771
4.759102,0.375443,11.075735,4.875152,1.092445,10.777538,4.735376,0.060361,11.111608
4.757257,0.372773,11.081475,4.871355,1.075364,10.775233,4.73493,0.058921,11.11062
4.752592,0.358501,11.083662,4.867555,1.058279,10.772933,4.73433,0.058016,11.110084
4.751528,0.348605,11.08647,4.866211,1.05319,10.775614,4.733479,0.055536,11.109213
